first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,votes_with_party_pct,dw_nominate,crp_id,fec_candidate_id
Sherrod,1952-11-09,M,sen,OH,,Democrat,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136.0,N00003535,S307,5051,400050,27018.0,Sherrod Brown,,29389.0,Sherrod Brown,93.87,-0.44,N00003535,S6OH00163
Maria,1958-10-13,F,sen,WA,,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172.0,N00007836,S275,26137,300018,27122.0,Maria Cantwell,,39310.0,Maria Cantwell,96.91,-0.287,N00007836,S8WA00194
Benjamin,1943-10-05,M,sen,MD,,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174.0,N00001955,S308,4004,400064,26888.0,Ben Cardin,,15408.0,Ben Cardin,96.17,-0.329,N00001955,S6MD03177
Thomas,1947-01-23,M,sen,DE,,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179.0,N00012508,S277,663,300019,22421.0,Tom Carper,,15015.0,Tom Carper,90.63,-0.174,N00012508,S8DE00079
Robert,1960-04-13,M,sen,PA,,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828.0,N00027503,S309,47036,412246,2541.0,"Bob Casey, Jr.",,40703.0,Bob Casey Jr.,96.55,-0.298,N00027503,S6PA00217
Bob,1952-08-24,M,sen,TN,,Republican,https://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825.0,N00027441,S310,1021114,412248,65905.0,Bob Corker,,40705.0,Bob Corker,94.98,0.391,N00027441,S6TN00216
Dianne,1933-06-22,F,sen,CA,,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332.0,N00007364,S221,13061,300043,53273.0,Dianne Feinstein,,49300.0,Dianne Feinstein,94.09,-0.263,N00007364,S0CA00199
Orrin,1934-03-22,M,sen,UT,,Republican,https://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351.0,N00009869,S118,189,300052,53352.0,Orrin Hatch,,14503.0,Orrin Hatch,98.47,0.382,N00009869,S6UT00063
Amy,1960-05-25,F,sen,MN,,Democrat,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826.0,N00027500,S311,83701,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar,96.55,-0.239,N00027500,S6MN00267
Claire,1953-07-24,F,sen,MO,,Democrat,https://www.mccaskill.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820.0,N00027694,S312,1012014,412243,2109.0,Claire McCaskill,,40701.0,Claire McCaskill,85.89,-0.147,N00027694,S6MO00305
