"","full_set_id","member_id","vote_position","bill_id","broke_from_party"
"1",1920411,"W000822","Yes","hr2061-115",0
"2",1925603,"C001106","Yes","hr469-115",0
"3",1920530,"D000623","No","hr3823-115",0
"4",1928925,"S001198","Yes","hconres71-115",0
"5",1919627,"B000755","Yes","hres533-115",0
"6",1919864,"M001160","No","hres533-115",0
"7",1922684,"F000462","Yes","hr2611-115",0
"8",1883275,"B001250","Yes","hr2288-115",0
"9",1930212,"B001257","Yes","hres562-115",0
"10",1908155,"S001183","Yes","hr3364-115",0
"11",1909322,"M001177","Yes","hr3218-115",0
"12",1883664,"Y000063","Yes","hr2288-115",0
"13",1922180,"B001257","Yes","hres513-115",0
"14",1927594,"W000819","Yes","hr2142-115",0
"15",1930022,"M001163","Yes","hr452-115",0
"16",1922803,"M001143","Yes","hr2611-115",0
"17",1909466,"W000806","Yes","hr3218-115",0
"18",1926408,"C000059","Yes","hr3898-115",0
"19",1906566,"B001296","No","hr3219-115",0
"20",1932919,"K000378","Yes","hr965-115",0
"21",1924127,"S000250","Yes","hr2864-115",0
"22",1920195,"J000297","Yes","hr2061-115",0
"23",1918221,"P000606","Yes","hr2792-115",0
"24",1922837,"P000609","Yes","hr2611-115",0
"25",1926988,"K000362","Yes","hr732-115",0
"26",1928720,"P000197","Yes","hr3551-115",0
"27",1928768,"S000185","Yes","hr3551-115",0
"28",1907962,"G000553","Yes","hr3364-115",0
"29",1920636,"K000382","Yes","hr3823-115",1
"30",1883372,"E000298","Yes","hr2288-115",0
"31",1909785,"R000591","Yes","s114-115",0
"32",1928715,"P000613","Yes","hr3551-115",0
"33",1918516,"H001068","No","hr3823-115",0
"34",1921443,"D000624","No","hr3354-115",0
"35",1922986,"B001303","No","hres504-115",0
"36",1917880,"L000575","Yes","hr2430-115",0
"37",1925332,"R000598","Yes","hr1698-115",0
"38",1933286,"H001038","Yes","hr1547-115",0
"39",1883454,"K000381","Yes","hr2288-115",0
"40",1860284,"W000816","Yes","hr1117-115",0
"41",1927206,"A000372","Yes","hr2142-115",0
"42",1909273,"K000380","Yes","hr3218-115",0
"43",1924589,"W000800","Yes","hr3110-115",0
"44",1921998,"M001143","No","hr3697-115",0
"45",1922885,"S001190","Yes","hr2611-115",0
"46",1907849,"B001284","Yes","hr3364-115",0
"47",1909269,"K000376","Yes","hr3218-115",0
"48",1921120,"J000174","Yes","hr3284-115",0
"49",1919190,"B001292","No","hr2824-115",0
"50",1929933,"H001050","Yes","hr452-115",0
"51",1927819,"K000381","No","hres577-115",0
"52",1924593,"W000808","Yes","hr3110-115",0
"53",1929292,"S001154","Yes","s585-115",0
"54",1909831,"S000510","No","s114-115",0
"55",1909523,"B001248","Yes","s114-115",0
"56",1929917,"G000585","Yes","hr452-115",0
"57",1921519,"J000298","No","hr3354-115",0
"58",1925793,"M001194","Yes","hr469-115",0
"59",1920197,"J000299","Yes","hr2061-115",0
"60",1932996,"P000601","Yes","hr965-115",0
"61",1918266,"S001189","Yes","hr2792-115",0
"62",1926029,"C001038","No","hres580-115",0
"63",1925143,"G000552","Yes","hr1698-115",0
"64",1923585,"L000564","Yes","hres500-115",0
"65",1923778,"W000816","Yes","hres500-115",0
"66",1932955,"M001185","Yes","hr965-115",0
"67",1913718,"B001301","Yes","hjres76-115",0
"68",1928862,"C001095","Yes","hconres71-115",0
"69",1923775,"W000800","No","hres500-115",0
"70",1905446,"M001177","Yes","s114-115",0
"71",1920226,"L000567","Yes","hr2061-115",0
"72",1932151,"M001202","No","hr36-115",0
"73",1931056,"B000490","No","hres553-115",0
"74",1930488,"P000606","Yes","hres562-115",0
"75",1930520,"R000599","No","hres562-115",0
"76",1926893,"E000288","No","hr732-115",0
"77",1926144,"K000386","Yes","hres580-115",0
"78",1929290,"S000344","Yes","s585-115",0
"79",1919384,"K000382","No","hr2824-115",0
"80",1927230,"B001296","Yes","hr2142-115",0
"81",1909406,"S001180","Yes","hr3218-115",0
"82",1909369,"P000598","Yes","hr3218-115",0
"83",1919282,"D000482","No","hr2824-115",0
"84",1913753,"C001103","Yes","hjres76-115",0
"85",1919147,"W000798","Yes","hres538-115",0
"86",1920293,"O000171","Yes","hr2061-115",0
"87",1930666,"C001066","No","hconres71-115",0
"88",1926558,"K000375","Yes","hr3898-115",0
"89",1932812,"D000617","Yes","hr965-115",0
"90",1918214,"P000588","Yes","hr2792-115",0
"91",1928860,"C001056","Yes","hconres71-115",0
"92",1899548,"R000608","Yes","hr1873-115",1
"93",1926266,"R000592","Yes","hres580-115",0
"94",1913740,"B001260","Yes","hjres76-115",0
"95",1931015,"W000797","No","hconres71-115",0
"96",1909437,"T000460","Yes","hr3218-115",0
"97",1928856,"C000567","Yes","hconres71-115",0
"98",1930272,"C001087","Yes","hres562-115",0
"99",1918864,"D000399","No","hres538-115",0
"100",1883596,"S001189","Yes","hr2288-115",0
"101",1924435,"M001179","Yes","hr3110-115",0
"102",1923846,"C000266","Yes","hr2864-115",0
"103",1932119,"L000562","No","hr36-115",0
"104",1909758,"P000034","No","s114-115",0
"105",1933313,"K000376","Yes","hr1547-115",0
"106",1920016,"A000371","Yes","hr2061-115",0
"107",1925281,"N000189","Yes","hr1698-115",0
"108",1932306,"A000367","Yes","hres548-115",0
"109",1928617,"J000174","Yes","hr3551-115",0
"110",1929243,"P000523","Yes","s585-115",0
"111",1918896,"G000580","Yes","hres538-115",0
"112",1928540,"D000533","Yes","hr3551-115",0
"113",1925060,"C001101","Yes","hr1698-115",0
"114",1928981,"B001248","Yes","s585-115",0
"115",1925890,"S001200","No","hr469-115",0
"116",1883387,"G000571","Yes","hr2288-115",0
"117",1928875,"G000562","Yes","hconres71-115",0
"118",1922791,"L000580","Yes","hr2611-115",0
"119",1923370,"A000370","No","hres500-115",0
"120",1922446,"P000588","Yes","hres513-115",0
"121",1918132,"K000391","No","hr2792-115",0
"122",1925075,"C001094","Yes","hr1698-115",0
"123",1921600,"M001188","No","hr3354-115",0
"124",1906543,"B001298","Yes","hr3219-115",0
"125",1932526,"L000263","No","hres548-115",0
"126",1922002,"M001180","Yes","hr3697-115",0
"127",1922094,"S001154","Yes","hr3697-115",0
"128",1927486,"P000594","Yes","hr2142-115",0
"129",1926796,"B001301","Yes","hr732-115",0
"130",1926118,"H001072","Yes","hres580-115",0
"131",1930695,"C001111","No","hconres71-115",0
"132",1909553,"C001062","Yes","s114-115",0
"133",1909177,"D000624","Yes","hr3218-115",0
"134",1905454,"M001197","Yes","s114-115",0
"135",1931260,"L000586","No","hres553-115",0
"136",1930311,"F000460","Yes","hres562-115",0
"137",1918500,"H001078","Yes","hr3823-115",0
"138",1925945,"A000055","Yes","hres580-115",0
"139",1928798,"T000460","Yes","hr3551-115",0
"140",1923638,"M001194","Yes","hres500-115",0
"141",1927806,"J000255","Yes","hres577-115",0
"142",1923216,"M001181","Yes","hres504-115",0
"143",1929349,"W000804","Yes","s585-115",0
"144",1926728,"S001200","Yes","hr3898-115",0
"145",1913899,"K000380","Yes","hjres76-115",0
"146",1922244,"C001048","Yes","hres513-115",0
"147",1909496,"B001287","No","s114-115",0
"148",1922748,"K000009","Yes","hr2611-115",0
"149",1919364,"J000255","No","hr2824-115",1
"150",1930564,"T000478","Yes","hres562-115",0
"151",1925008,"B001298","Yes","hr1698-115",0
"152",1919532,"S000480","No","hr2824-115",0
"153",1928883,"H001069","No","hconres71-115",0
"154",1924462,"N000002","Yes","hr3110-115",0
"155",1926187,"L000562","No","hres580-115",0
"156",1909116,"B001275","Yes","hr3218-115",0
"157",1928693,"M001201","Yes","hr3551-115",0
"158",1899259,"B001290","Yes","hr1873-115",0
"159",1930135,"S000583","Yes","hr452-115",0
"160",1906728,"J000174","Yes","hr3219-115",0
"161",1933297,"H001073","Yes","hr1547-115",0
"162",1919941,"S001157","No","hres533-115",0
"163",1925320,"R000591","Yes","hr1698-115",0
"164",1930857,"M000087","No","hconres71-115",0
"165",1918481,"G000563","Yes","hr3823-115",0
"166",1930139,"S001196","Yes","hr452-115",0
"167",1906645,"D000482","No","hr3219-115",0
"168",1909583,"D000399","No","s114-115",0
"169",1924346,"G000576","Yes","hr3110-115",0
"170",1931965,"C001107","Yes","hr36-115",0
"171",1925560,"B001304","No","hr469-115",0
"172",1919341,"H001071","No","hr2824-115",1
"173",1899278,"C001103","Yes","hr1873-115",0
"174",1920743,"R000582","Yes","hr3823-115",0
"175",1906944,"W000814","Yes","hr3219-115",0
"176",1906447,"C001047","Yes","hr3364-115",0
"177",1924023,"L000562","Yes","hr2864-115",0
"178",1918116,"K000009","No","hr2792-115",0
"179",1918385,"C000059","Yes","hr3823-115",0
"180",1920171,"H001053","Yes","hr2061-115",0
"181",1921851,"D000610","No","hr3697-115",0
"182",1922004,"M001166","No","hr3697-115",0
"183",1927566,"S001192","Yes","hr2142-115",0
"184",1909251,"H001073","Yes","hr3218-115",0
"185",1914679,"H001058","Yes","hr2210-115",0
"186",1925549,"B001294","Yes","hr469-115",0
"187",1929182,"M001185","Yes","s585-115",0
"188",1925546,"B001250","Yes","hr469-115",0
"189",1920364,"S001148","Yes","hr2061-115",0
"190",1929107,"H001077","Yes","s585-115",0
"191",1926993,"K000382","No","hr732-115",0
"192",1930195,"A000371","No","hres562-115",0
"193",1930685,"C001078","No","hconres71-115",0
"194",1922397,"M001193","Yes","hres513-115",0
"195",1927718,"D000600","Yes","hres577-115",0
"196",1925139,"G000559","Yes","hr1698-115",0
"197",1921113,"J000294","Yes","hr3284-115",0
"198",1926981,"K000376","Yes","hr732-115",0
"199",1907979,"H001077","Yes","hr3364-115",0
"200",1929047,"D000482","Yes","s585-115",0
"201",1930020,"M001184","Yes","hr452-115",0
"202",1930377,"J000288","No","hres562-115",0
"203",1922421,"M001195","Yes","hres513-115",0
"204",1931298,"M001181","Yes","hres553-115",0
"205",1928004,"V000131","No","hres577-115",0
"206",1929119,"I000056","Yes","s585-115",0
"207",1927900,"P000034","No","hres577-115",0
"208",1930296,"D000399","No","hres562-115",0
"209",1932186,"Q000023","No","hr36-115",0
"210",1925979,"B001274","Yes","hres580-115",0
"211",1925960,"B001287","No","hres580-115",0
"212",1905524,"R000599","Yes","s114-115",0
"213",1883657,"W000816","Yes","hr2288-115",0
"214",1927408,"K000392","Yes","hr2142-115",0
"215",1909633,"G000576","Yes","s114-115",0
"216",1925108,"D000625","Yes","hr1698-115",0
"217",1921067,"G000579","Yes","hr3284-115",0
"218",1927745,"F000448","Yes","hres577-115",0
"219",1927761,"G000583","No","hres577-115",0
"220",1927811,"K000375","No","hres577-115",0
"221",1913931,"L000579","Yes","hjres76-115",0
"222",1932488,"J000290","Yes","hres548-115",0
"223",1925649,"F000466","Yes","hr469-115",0
"224",1919674,"C001106","Yes","hres533-115",0
"225",1899374,"G000377","Yes","hr1873-115",0
"226",1922226,"C001053","Yes","hres513-115",0
"227",1925339,"R000604","Yes","hr1698-115",0
"228",1920559,"F000372","Yes","hr3823-115",0
"229",1929118,"H001073","Yes","s585-115",0
"230",1909179,"D000625","Yes","hr3218-115",0
"231",1907812,"A000370","Yes","hr3364-115",0
"232",1926673,"R000586","Yes","hr3898-115",0
