,last_name,first_name,birthday,type,state,district,party,url,phone,contact_form,twitter,facebook,id,sample,votes_with_party_pct,dw_nominate
1,Brown,Sherrod,11/9/1952,sen,OH,,Democrat,https://www.brown.senate.gov,202-224-2315,http://www.brown.senate.gov/contact/,SenSherrodBrown,SenatorSherrodBrown,B000944,1,95.67,
2,Cantwell,Maria,10/13/1958,sen,WA,,Democrat,https://www.cantwell.senate.gov,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,SenatorCantwell,senatorcantwell,C000127,1,91.92,
3,Cardin,Benjamin,10/5/1943,sen,MD,,Democrat,https://www.cardin.senate.gov,202-224-4524,http://www.cardin.senate.gov/contact/,SenatorCardin,senatorbencardin,C000141,1,96.78,
4,Carper,Thomas,1/23/1947,sen,DE,,Democrat,https://www.carper.senate.gov/public,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,SenatorCarper,tomcarper,C000174,1,86.31,
5,Casey,Robert,4/13/1960,sen,PA,,Democrat,https://www.casey.senate.gov,202-224-6324,https://www.casey.senate.gov/contact/,SenBobCasey,SenatorBobCasey,C001070,1,94.37,
6,Corker,Bob,8/24/1952,sen,TN,,Republican,https://www.corker.senate.gov,202-224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,SenBobCorker,bobcorker,C001071,1,86.24,
7,Feinstein,Dianne,6/22/1933,sen,CA,,Democrat,https://www.feinstein.senate.gov,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,SenFeinstein,senatorfeinstein,F000062,1,,
8,Hatch,Orrin,3/22/1934,sen,UT,,Republican,https://www.hatch.senate.gov,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,SenOrrinHatch,senatororrinhatch,H000338,1,,
9,Klobuchar,Amy,5/25/1960,sen,MN,,Democrat,https://www.klobuchar.senate.gov,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,K000367,1,93.85,
10,McCaskill,Claire,7/24/1953,sen,MO,,Democrat,https://www.mccaskill.senate.gov,202-224-6154,http://www.mccaskill.senate.gov/contact,McCaskillOffice,senatormccaskill,M001170,1,84.4,
11,Mení©ndez,Robert,1/1/1954,sen,NJ,,Democrat,https://www.menendez.senate.gov,202-224-4744,https://www.menendez.senate.gov/contact,SenatorMenendez,senatormenendez,M000639,1,91.73,
12,Nelson,Bill,9/29/1942,sen,FL,,Democrat,https://www.billnelson.senate.gov,202-224-5274,https://www.billnelson.senate.gov/contact-bill,SenBillNelson,,N000032,1,89.81,
13,Sanders,Bernard,9/8/1941,sen,VT,,Independent,https://www.sanders.senate.gov,202-224-5141,http://www.sanders.senate.gov/contact/,SenSanders,senatorsanders,S000033,1,93.7,
14,Stabenow,Debbie,4/29/1950,sen,MI,,Democrat,https://www.stabenow.senate.gov,202-224-4822,https://www.stabenow.senate.gov/contact,SenStabenow,SenatorStabenow,S000770,1,93.83,
15,Tester,Jon,8/21/1956,sen,MT,,Democrat,https://www.tester.senate.gov,202-224-2644,https://www.tester.senate.gov/?p=email_senator,SenatorTester,senatortester,T000464,1,89.38,
16,Whitehouse,Sheldon,10/20/1955,sen,RI,,Democrat,https://www.whitehouse.senate.gov,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,SenWhitehouse,SenatorWhitehouse,W000802,1,94.8,
17,Barrasso,John,7/21/1952,sen,WY,,Republican,https://www.barrasso.senate.gov,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,SenJohnBarrasso,johnbarrasso,B001261,1,84.92,
18,Wicker,Roger,7/5/1951,sen,MS,,Republican,https://www.wicker.senate.gov,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,SenatorWicker,SenatorWicker,W000437,1,88.29,
19,Alexander,Lamar,7/3/1940,sen,TN,,Republican,https://www.alexander.senate.gov/public,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,SenAlexander,senatorlamaralexander,A000360,1,95.92,
20,Cochran,Thad,12/7/1937,sen,MS,,Republican,https://www.cochran.senate.gov,202-224-5054,https://www.cochran.senate.gov/public/index.cfm/email-me,SenThadCochran,,C000567,1,,
21,Collins,Susan,12/7/1952,sen,ME,,Republican,https://www.collins.senate.gov,202-224-2523,http://www.collins.senate.gov/contact,SenatorCollins,susancollins,C001035,1,78.59,
22,Cornyn,John,2/2/1952,sen,TX,,Republican,https://www.cornyn.senate.gov,202-224-2934,https://www.cornyn.senate.gov/contact,JohnCornyn,sen.johncornyn,C001056,1,,
23,Durbin,Richard,11/21/1944,sen,IL,,Democrat,https://www.durbin.senate.gov,202-224-2152,https://www.durbin.senate.gov/contact/,SenatorDurbin,SenatorDurbin,D000563,1,91.09,
24,Enzi,Michael,2/1/1944,sen,WY,,Republican,https://www.enzi.senate.gov,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,SenatorEnzi,mikeenzi,E000285,1,92.56,
25,Graham,Lindsey,7/9/1955,sen,SC,,Republican,https://www.lgraham.senate.gov/public,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,GrahamBlog,USSenatorLindseyGraham,G000359,1,93.22,
26,Inhofe,James,11/17/1934,sen,OK,,Republican,https://www.inhofe.senate.gov,202-224-4721,https://www.inhofe.senate.gov/contact,InhofePress,jiminhofe,I000024,1,,
27,McConnell,Mitch,2/20/1942,sen,KY,,Republican,https://www.mcconnell.senate.gov,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,McConnellPress,mitchmcconnell,M000355,1,,
28,Merkley,Jeff,10/24/1956,sen,OR,,Democrat,https://www.merkley.senate.gov,202-224-3753,http://www.merkley.senate.gov/contact/,SenJeffMerkley,jeffmerkley,M001176,1,95.25,
29,Reed,John,11/12/1949,sen,RI,,Democrat,https://www.reed.senate.gov,202-224-4642,https://www.reed.senate.gov/contact/,SenJackReed,SenJackReed,R000122,1,93.11,
30,Risch,James,5/3/1943,sen,ID,,Republican,https://www.risch.senate.gov,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,SenatorRisch,,R000584,1,93.6,
31,Roberts,Pat,4/20/1936,sen,KS,,Republican,https://www.roberts.senate.gov,202-224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,SenPatRoberts,SenPatRoberts,R000307,1,91.81,
32,Shaheen,Jeanne,1/28/1947,sen,NH,,Democrat,https://www.shaheen.senate.gov,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,SenatorShaheen,SenatorShaheen,S001181,1,94.6,
33,Udall,Tom,5/18/1948,sen,NM,,Democrat,https://www.tomudall.senate.gov,202-224-6621,https://www.tomudall.senate.gov/?p=contact,SenatorTomUdall,senatortomudall,U000039,1,95.98,
34,Warner,Mark,12/15/1954,sen,VA,,Democrat,https://www.warner.senate.gov,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,MarkWarner,MarkRWarner,W000805,1,91.31,
35,Gillibrand,Kirsten,12/9/1966,sen,NY,,Democrat,https://www.gillibrand.senate.gov,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,SenGillibrand,SenKirstenGillibrand,G000555,1,97.25,
36,Franken,Alan,5/21/1951,sen,MN,,Democrat,https://www.franken.senate.gov,202-224-5641,https://www.franken.senate.gov/?p=contact,SenFranken,senatoralfranken,F000457,1,96.52,
37,Coons,Chris,9/9/1963,sen,DE,,Democrat,https://www.coons.senate.gov,202-224-5042,https://www.coons.senate.gov/contact,SenCoonsOffice,senatorchriscoons,C001088,1,100,
38,Manchin,Joe,8/24/1947,sen,WV,,Democrat,https://www.manchin.senate.gov,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,Sen_JoeManchin,JoeManchinIII,M001183,1,79.31,
39,Aderholt,Robert,7/22/1965,rep,AL,4,Republican,https://aderholt.house.gov,202-225-4876,,Robert_Aderholt,RobertAderholt,A000055,1,91.12,
40,Amash,Justin,4/18/1980,rep,MI,3,Republican,https://amash.house.gov,202-225-3831,,,repjustinamash,A000367,1,74.35,
41,Baldwin,Tammy,2/11/1962,sen,WI,,Democrat,https://www.baldwin.senate.gov,202-224-5653,https://www.baldwin.senate.gov/feedback,SenatorBaldwin,senatortammybaldwin,B001230,1,98.62,-0.525
42,Barletta,Lou,1/28/1956,rep,PA,11,Republican,https://barletta.house.gov,202-225-6511,,RepLouBarletta,CongressmanLouBarletta,B001269,1,91.4,
43,Barton,Joe,9/15/1949,rep,TX,6,Republican,https://joebarton.house.gov,202-225-2002,,RepJoeBarton,RepJoeBarton,B000213,1,80.42,
44,Bass,Karen,10/3/1953,rep,CA,37,Democrat,https://bass.house.gov,202-225-7084,,RepKarenBass,RepKarenBass,B001270,1,93.26,
45,Bennet,Michael,11/28/1964,sen,CO,,Democrat,https://www.bennet.senate.gov,202-224-5852,https://www.bennet.senate.gov/?p=contact,SenBennetCo,senbennetco,B001267,1,90.4,
46,Bilirakis,Gus,2/8/1963,rep,FL,12,Republican,https://bilirakis.house.gov,202-225-5755,,RepGusBilirakis,GusBilirakis,B001257,1,91.44,
47,Bishop,Rob,7/13/1951,rep,UT,1,Republican,https://robbishop.house.gov,202-225-0453,,RepRobBishop,RepRobBishop,B001250,1,94.23,
48,Bishop,Sanford,2/4/1947,rep,GA,2,Democrat,https://bishop.house.gov,202-225-3631,,SanfordBishop,sanfordbishop,B000490,1,88.82,
49,Black,Diane,1/16/1951,rep,TN,6,Republican,https://black.house.gov,202-225-4231,,RepDianeBlack,DianeBlackTN06,B001273,1,95.08,
50,Blackburn,Marsha,6/6/1952,rep,TN,7,Republican,https://blackburn.house.gov,202-225-2811,,MarshaBlackburn,marshablackburn,B001243,1,94.57,
51,Blumenauer,Earl,8/16/1948,rep,OR,3,Democrat,https://blumenauer.house.gov,202-225-4811,,BlumenauerMedia,,B000574,1,89.75,
52,Blumenthal,Richard,2/13/1946,sen,CT,,Democrat,https://www.blumenthal.senate.gov,202-224-2823,https://www.blumenthal.senate.gov/contact/,SenBlumenthal,SenBlumenthal,B001277,1,95.14,
53,Blunt,Roy,1/10/1950,sen,MO,,Republican,https://www.blunt.senate.gov/public,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,RoyBlunt,SenatorBlunt,B000575,1,82.35,
54,Boozman,John,12/10/1950,sen,AR,,Republican,https://www.boozman.senate.gov/public,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,JohnBoozman,JohnBoozman,B001236,1,89.71,
55,Bordallo,Madeleine,5/31/1933,rep,GU,0,Democrat,https://bordallo.house.gov,202-225-1188,,,madeleine.bordallo,B001245,1,,
56,Brady,Kevin,4/11/1955,rep,TX,8,Republican,https://kevinbrady.house.gov,202-225-4901,,RepKevinBrady,kevinbrady,B000755,1,91.76,
57,Brady,Robert,4/7/1945,rep,PA,1,Democrat,https://brady.house.gov,202-225-4731,,RepBrady,RepRobertBrady,B001227,1,88.48,
58,Brooks,Mo,4/29/1954,rep,AL,5,Republican,https://brooks.house.gov,202-225-4801,,RepMoBrooks,RepMoBrooks,B001274,1,92.85,
59,Buchanan,Vern,5/8/1951,rep,FL,16,Republican,https://buchanan.house.gov,202-225-5015,,VernBuchanan,CongressmanBuchanan,B001260,1,89.15,
60,Bucshon,Larry,5/31/1962,rep,IN,8,Republican,https://bucshon.house.gov,202-225-4636,,RepLarryBucshon,RepLarryBucshon,B001275,1,95.47,
61,Burgess,Michael,12/23/1950,rep,TX,26,Republican,https://burgess.house.gov,202-225-7772,,MichaelCBurgess,michaelcburgess,B001248,1,94.23,
62,Burr,Richard,11/30/1955,sen,NC,,Republican,https://www.burr.senate.gov,202-224-3154,https://www.burr.senate.gov/contact/email,SenatorBurr,SenatorRichardBurr,B001135,1,90.71,
63,Butterfield,George,4/27/1947,rep,NC,1,Democrat,https://butterfield.house.gov,202-225-3101,,GKButterfield,congressmangkbutterfield,B001251,1,93.57,
64,Calvert,Ken,6/8/1953,rep,CA,42,Republican,https://calvert.house.gov,202-225-1986,,KenCalvert,70063393423,C000059,1,89.42,
65,Capito,Shelley,11/26/1953,sen,WV,,Republican,https://www.capito.senate.gov,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,SenCapito,senshelley,C001047,1,88.55,
66,Capuano,Michael,1/9/1952,rep,MA,7,Democrat,http://capuano.house.gov,202-225-5111,,RepMikeCapuano,RepMichaelCapuano,C001037,1,88.43,
67,Carson,Andrí©,10/16/1974,rep,IN,7,Democrat,https://carson.house.gov,202-225-4011,,RepAndreCarson,CongressmanAndreCarson,C001072,1,98.46,
68,Carter,John,11/6/1941,rep,TX,31,Republican,https://carter.house.gov,202-225-3864,,JudgeCarter,judgecarter,C001051,1,95.61,
