"","sigId","categoryId","category_name"
"1",1086,2,"Campaign for Working Families"
"2",1559,2,"Democrats for Life of America"
"3",1016,2,"NARAL Pro-Choice America"
"4",252,2,"National Right to Life Committee"
"5",1578,2,"Planned Parenthood Action Fund"
"6",1066,2,"Florida Alliance of Planned Parenthood Affiliates"
"7",963,2,"Florida Right to Life"
"8",492,2,"Planned Parenthood Advocates of Michigan"
"9",1177,2,"Missouri Right to Life"
"10",601,2,"NARAL Pro-Choice Missouri"
"11",2529,2,"Planned Parenthood Advocates in Missouri"
"12",1033,2,"Indiana Right to Life"
"13",357,2,"Planned Parenthood of Indiana"
"14",1133,2,"Minnesota Citizens Concerned for Life"
"15",1397,2,"NARAL Pro-Choice Minnesota"
"16",1109,2,"Planned Parenthood of Minnesota Advocate"
"17",1647,2,"NARAL Pro-Choice Connecticut"
"18",1529,2,"Planned Parenthood Advocacy Fund of Delaware"
"19",1243,2,"Illinois Citizens for Life"
"20",1264,2,"Illinois Federation for Right to Life"
"21",1097,2,"Planned Parenthood Illinois Action"
"22",796,2,"New York State Right to Life Committee"
"23",869,2,"The Campaign for a Pro-Choice New York"
"24",779,2,"NARAL Pro-Choice Pennsylvania"
"25",389,2,"Planned Parenthood Pennsylvania Advocates"
"26",736,2,"NARAL Pro-Choice Ohio"
"27",1188,2,"California Pro-Life Council"
"28",353,2,"Life Priority Network"
"29",1004,2,"NARAL Pro-Choice California"
"30",224,2,"Planned Parenthood Affiliates of California"
"31",1142,2,"NARAL Pro-Choice Colorado"
"32",238,2,"Kansans for Life"
"33",1433,2,"Center for Arizona Policy"
"34",91,2,"NARAL/Arizona Right to Choose"
"35",150,2,"Planned Parenthood Advocates of Arizona"
"36",937,2,"NARAL Pro-Choice Oregon"
"37",75,2,"North Dakota Right to Life"
"38",1269,2,"NARAL Pro-Choice South Dakota"
"39",1539,2,"NARAL Pro-Choice Texas"
"40",1653,2,"Texas Right to Life Committee"
"41",2020,2,"Tennessee Right to Life (RTL)"
"42",133,2,"West Virginians for Life, Incorporated"
"43",1595,2,"NARAL Pro-Choice Wyoming"
"44",1166,2,"NARAL Pro-Choice Wisconsin"
"45",638,2,"Planned Parenthood Advocates of Wisconsin"
"46",1232,2,"Wisconsin Right to Life"
"47",2390,2,"Oklahomans for Life, Inc."
"48",1325,2,"Nebraska Right to Life"
"49",563,2,"Planned Parenthood Voters of Nebraska"
"50",849,2,"NARAL Pro-Choice Washington"
"51",188,2,"NARAL Pro-Choice New Hampshire"
"52",628,2,"Maine Right to Life Committee"
"53",89,2,"Christian Coalition of Maryland"
"54",910,2,"Maryland Right to Life"
"55",160,2,"NARAL Pro-Choice Maryland"
"56",402,2,"Planned Parenthood Metropolitan Washington D.C Action Fund"
"57",1195,2,"Massachusetts Citizens for Life"
"58",10,2,"NARAL Pro-Choice Massachusetts"
"59",646,2,"Planned Parenthood Advocacy Fund of Massachusetts"
"60",231,2,"Kentucky Right to Life"
"61",380,2,"NARAL Pro-Choice Virginia"
"62",776,2,"Planned Parenthood Advocates of Virginia"
"63",33,2,"Virginia Society for Human Life"
"64",2050,2,"New Jersey Right to Life"
"65",1920,2,"Louisiana Right to Life Federation"
"66",1488,38,"National Family Planning & Reproductive Health Association"
"67",1475,13,"National Organization for Women"
"68",412,31,"Population Action International"
"69",265,31,"Population Connection"
"70",131,75,"The Population Institute"
"71",952,3,"Missouri Progressive Vote Coalition"
"72",1112,75,"NARAL Pro-Choice Montana"
"73",565,75,"Family Planning Association of Maine"
"74",2304,38,"Nevada Advocates for Planned Parenthood Affiliates"
"75",1211,4,"American Coalition for Ethanol"
"76",611,4,"American Farm Bureau Federation"
"77",2171,4,"Food Policy Action"
"78",684,4,"National Association of Wheat Growers"
"79",1705,4,"National Council of Agricultural Employers"
"80",568,4,"National Farmers Organization"
"81",1120,4,"National Farmers Union"
"82",1184,4,"Vote Hemp"
"83",1527,4,"Michigan Farm Bureau"
"84",1196,4,"Missouri Farm Bureau Federation"
"85",1301,4,"Montana Stockgrowers Association"
"86",729,4,"Citizens Action Coalition of Indiana"
"87",593,4,"Minnesota Farm Bureau"
"88",268,4,"Illinois Farm Bureau"
"89",220,4,"California Farm Bureau Federation"
"90",1608,4,"Colorado Farm Bureau"
"91",1589,4,"Oregon Farm Bureau"
"92",1372,4,"South Dakota Farmers Union"
"93",1159,4,"Wisconsin Farm Bureau"
"94",341,4,"Nebraska Farm Bureau"
"95",1201,4,"Washington Farm Bureau"
"96",1263,5,"American Humane Association"
"97",324,5,"American Society for the Prevention of Cruelty to Animals"
"98",2031,5,"American Veterinary Medical Association"
"99",1081,5,"American Wilderness Coalition"
"100",1574,5,"Animal Welfare Institute"
"101",1704,5,"Big Cat Rescue"
"102",57,5,"Born Free USA"
"103",109,5,"Defenders of Wildlife Action Fund"
"104",644,5,"Doris Day Animal League"
"105",674,5,"Humane Society Legislative Fund"
"106",657,5,"Sierra Club"
