1,state_abbreviation,state,district,fec_id,incumbent,candidate_name_first,candidate_name_last,candidate_name,total_votes,party,primary_votes,primary_percent,runoff_votes,runoff_percent,general_votes_,general_percent,ge_runoff_election_votes_la,ge_runoff_election_percent_la,combined_ge_party_totals_ct_ny_sc,combined_percent_ct_ny_sc,ge_winner_indicator,footnotes,election_year,ge_runoff,ge_runoff_percent,combined_ge_party_totals_ct_ny,combined_percent_ct_ny,combined_ge_party_totals_ny_sc,combined_percent_ny_sc,party_cleaner
2.0,AL,Alabama,01,H4AL01123,1.0,Bradley,Byrne,"Byrne, Bradley",,R,Unopposed,,,,103758,0.6815691632618206,,,,,W,,2014,,,,,,,R
7.0,AL,Alabama,02,H0AL02087,1.0,Martha,Roby,"Roby, Martha",,R,Unopposed,,,,113103,0.6734245498713918,,,,,W,,2014,,,,,,,R
12.0,AL,Alabama,03,H2AL03032,1.0,Mike,Rogers,"Rogers, Mike",,R,50372,0.7589459251781652,,,103558,0.6612054654577959,,,,,W,,2014,,,,,,,R
19.0,AL,Alabama,04,H6AL04098,1.0,Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,132831,0.9857441819045357,,,,,W,,2014,,,,,,,R
23.0,AL,Alabama,05,H0AL05163,1.0,Mo,Brooks,"Brooks, Mo",,R,49117,0.8031559152971957,,,115338,0.7442409694529405,,,,,W,,2014,,,,,,,R
30.0,AL,Alabama,06,H4AL06098,0.0,Gary,Palmer,"Palmer, Gary",,R,18655,0.19733640806482325,47525,0.634868684709717,135945,0.7618142998840005,,,,,W,,2014,,,,,,,R
43.0,AL,Alabama,07,H0AL07086,1.0,Terri A.,Sewell,"Sewell, Terri A.",,D,74953,0.8390856068154086,,,133687,0.9837232062046078,,,,,W,,2014,,,,,,,D
52.0,AK,Alaska,00,H6AK00045,1.0,Don,Young,"Young, Don",,R,79393,0.7429140894757035,,,142572,0.5096571471468251,,,,,W,,2014,,,,,,,R
68.0,AS,American Samoa,00,H4AS00036,0.0,Aumua,Amata,"Amata, Aumua",,R,,,,,4306,0.4202615654889713,,,,,W,,2014,,,,,,,R
80.0,AZ,Arizona,01,H8AZ01104 ,1.0,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,51393,1.0,,,97391,0.5261136380824789,,,,,W,,2014,,,,,,,D
87.0,AZ,Arizona,02,H2AZ08102 ,0.0,Martha ,McSally,"McSally, Martha ",,R,45492,0.6935813386186919,,,109714,0.5001435962892895,,,,,W,,2014,,,,,,,R
96.0,AZ,Arizona,03,H2AZ07070 ,1.0,Raul ,Grijalva,"Grijalva, Raul ",,D,28758,1.0,,,58192,0.5572451832841766,,,,,W,,2014,,,,,,,D
104.0,AZ,Arizona,04,H0AZ01259 ,1.0,Paul,Gosar,"Gosar, Paul",,R,65354,1.0,,,122560,0.699627238424697,,,,,W,,2014,,,,,,,R
111.0,AZ,Arizona,05,H4AZ01038 ,1.0,Matt,Salmon,"Salmon, Matt",,R,71690,1.0,,,124867,0.6957813031098332,,,,,W,,2014,,,,,,,R
116.0,AZ,Arizona,06,H4AZ06045,1.0,David ,Schweikert,"Schweikert, David ",,R,69902,1.0,,,129578,0.6486164504244755,,,,,W,,2014,,,,,,,R
121.0,AZ,Arizona,07,H4AZ07043 ,0.0,Ruben,Gallego,"Gallego, Ruben",,D,14936,0.4890314976098487,,,54235,0.7485439037182212,,,,,W,,2014,,,,,,,D
135.0,AZ,Arizona,08,H4AZ04024,1.0,Trent,Franks,"Franks, Trent",,R,53771,0.732574931880109,,,128710,0.7581165771369334,,,,,W,,2014,,,,,,,R
141.0,AZ,Arizona,09,H2AZ09019 ,1.0,Kyrsten,Sinema,"Sinema, Kyrsten",,D,31900,1.0,,,88609,0.5467598820204613,,,,,W,,2014,,,,,,,D
151.0,AR,Arkansas,01,H0AR01083,1.0,Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,124139,0.632536075330181,,,,,W,,2014,,,,,,,R
155.0,AR,Arkansas,02,H4AR02141 ,0.0,French ,Hill,"Hill, French ",,R,29916,0.5508377830970356,,,123073,0.5185732945687439,,,,,W,,2014,,,,,,,R
163.0,AR,Arkansas,03,H0AR03055 ,1.0,Steve,Womack,"Womack, Steve",,R,Unopposed,,,,151630,0.7941446041846701,,,,,W,,2014,,,,,,,R
166.0,AR,Arkansas,04,H4AR04048 ,0.0,Bruce,Westerman,"Westerman, Bruce",,R,18719,0.544505206818314,,,110789,0.5374688911420408,,,,,W,,2014,,,,,,,R
176.0,CA,California,01,H2CA02142,1.0,Doug,La Malfa,"La Malfa, Doug",,R,75317,0.5344663638944082,,,132052,0.6103007782892426,,,,,W,,2014,,,,,,,R
181.0,CA,California,02,H2CA06259,1.0,Jared,Huffman,"Huffman, Jared",,D,99186,0.6791468383032627,,,163124,0.7499126533164157,,,,,W,,2014,,,,,,,D
185.0,CA,California,03,H0CA10149,1.0,John,Garamendi,"Garamendi, John",,D,54672,0.5347836293919712,,,79224,0.527246106748303,,,,,W,,2014,,,,,,,D
188.0,CA,California,04,H8CA04152,1.0,Tom,McClintock,"McClintock, Tom",,R,80999,0.5618921431247138,,,126784,0.6004906836416684,,,,,W,,2014,,,,,,,R
192.0,CA,California,05,H8CA01109,1.0,Mike,Thompson,"Thompson, Mike",,D,88709,0.8043978962640551,,,129613,0.7573153060509034,,,,,W,,2014,,,,,,,D
196.0,CA,California,06,H6CA05195,1.0,Doris,Matsui,"Matsui, Doris",,D,62640,0.7360319605193585,,,97008,0.7268912600407625,,,,,W,,2014,,,,,,,D
199.0,CA,California,07,H0CA03078,1.0,Ami,Bera,"Bera, Ami",,D,51878,0.46720942380086095,,,92521,0.5039626988839079,,,,,W,,2014,,,,,,,D
206.0,CA,California,08,H2CA08164,1.0,Paul,Cook,"Cook, Paul",,R,40007,0.5809988527280384,,,77480,0.6764685339107355,,,,,W,,2014,,,,,,,R
211.0,CA,California,09,H4CA11081,1.0,Jerry,McNerney,"McNerney, Jerry",,D,38295,0.49380407731686243,,,63475,0.5237038381571565,,,,,W,,2014,,,,,,,D
216.0,CA,California,10,H0CA19173,1.0,Jeff,Denham,"Denham, Jeff",,R,44237,0.589449419038482,,,70582,0.5614892009068851,,,,,W,,2014,,,,,,,R
221.0,CA,California,11,H0CA10073,0.0,Mark,Desaulnier,"Desaulnier, Mark",,D,59605,0.5880060768684398,,,117502,0.6727393479978473,,,,,W,,2014,,,,,,,D
229.0,CA,California,12,H8CA05035,1.0,Nancy,Pelosi,"Pelosi, Nancy",,D,79816,0.73605193751268,,,160067,0.8325375525319353,,,,,W,,2014,,,,,,,D
238.0,CA,California,13,H8CA09060,1.0,Barbara,Lee,"Lee, Barbara",,D,77461,0.825933508199518,,,168491,0.8847876658737286,,,,,W,,2014,,,,,,,D
243.0,CA,California,14,H8CA12171,1.0,Jackie,Speier,"Speier, Jackie",,D,66800,0.7742055121578081,,,114389,0.7669598916497928,,,,,W,,2014,,,,,,,D
246.0,CA,California,15,H2CA15094,1.0,Eric,Swalwell,"Swalwell, Eric",,D,42419,0.4907050725895078,,,99756,0.6980532657831022,,,,,W,,2014,,,,,,,D
250.0,CA,California,16,H4CA20082,1.0,Jim,Costa,"Costa, Jim",,D,25586,0.44291723648449804,,,46277,0.5073119929839948,,,,,W,,2014,,,,,,,D
257.0,CA,California,17,H0CA15148,1.0,Mike,Honda,"Honda, Mike",,D,43607,0.4818240077786617,,,69561,0.5175361585619903,,,,,W,,2014,,,,,,,D
262.0,CA,California,18,H8CA12098,1.0,Anna G.,Eshoo,"Eshoo, Anna G.",,D,81295,0.676106121091151,,,133060,0.6775432057274958,,,,,W,,2014,,,,,,,D
267.0,CA,California,19,H4CA16049,1.0,Zoe,Lofgren,"Lofgren, Zoe",,D,63845,0.7602676923443323,,,85888,0.6721131874667418,,,,,W,,2014,,,,,,,D
270.0,CA,California,20,H4CA17021,1.0,Sam,Farr,"Farr, Sam",,D,67528,0.7381884168871204,,,106034,0.7517795865120105,,,,,W,,2014,,,,,,,D
273.0,CA,California,21,H2CA20094,1.0,David,Valadao,"Valadao, David",,R,28773,0.6297852780878587,,,45907,0.5783413331317636,,,,,W,,2014,,,,,,,R
277.0,CA,California,22,H8CA20059,1.0,Devin G.,Nunes,"Nunes, Devin G.",,R,60499,0.6790011223344556,,,96053,0.7203506772059816,,,,,W,,2014,,,,,,,R
