amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Recognizing the difficult challenges Black veterans faced when returning home after serving in the Armed Forces, their heroic military sacrifices, and their patriotism in fighting for equal rights and for the dignity of a people and a Nation.', u'number': u'H CON RES 238', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hconres238.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and referred to the Committee on Veterans&#39; Affairs.', u'sponsor_id': u'K000369', u'bill_id': u'hconres238-111'}",House,111,2010-02-26,"Recognizing the difficult challenges Black veterans faced when returning home after serving in the Armed Forces, their heroic military sacrifices, and their patriotism in fighting for equal rights and for ...",A000014,Not Voting,On Motion to Suspend the Rules and Agree,Passed,74,2,11:59:00,"{u'not_voting': 49, u'yes': 383, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/74.json,hconres238,K000369,https://api.propublica.org/congress/v1/111/bills/hconres238.json
{},"{u'title': u'Intelligence Authorization Act for Fiscal Year 2010', u'number': u'H R 2701', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2701.json', u'latest_action': u'Became Public Law No: 111-259', u'sponsor_id': u'R000170', u'bill_id': u'hr2701-111'}",House,111,2010-02-26,Intelligence Authorization Act for Fiscal Year 2010 ,A000014,Not Voting,On Passage,Passed,73,2,11:49:00,"{u'not_voting': 29, u'yes': 235, u'present': 0, u'no': 168}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/73.json,hr2701,R000170,https://api.propublica.org/congress/v1/111/bills/hr2701.json
{},"{u'title': u'Intelligence Authorization Act for Fiscal Year 2010', u'number': u'H R 2701', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2701.json', u'latest_action': u'Became Public Law No: 111-259', u'sponsor_id': u'R000170', u'bill_id': u'hr2701-111'}",House,111,2010-02-26,Intelligence Authorization Act for Fiscal Year 2010 ,A000014,Not Voting,On Motion to Recommit with Instructions,Failed,72,2,11:40:00,"{u'not_voting': 29, u'yes': 186, u'present': 0, u'no': 217}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/72.json,hr2701,R000170,https://api.propublica.org/congress/v1/111/bills/hr2701.json
{},"{u'title': u'Intelligence Authorization Act for Fiscal Year 2010', u'number': u'H R 2701', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2701.json', u'latest_action': u'Became Public Law No: 111-259', u'sponsor_id': u'R000170', u'bill_id': u'hr2701-111'}",House,111,2010-02-26,Intelligence Authorization Act for Fiscal Year 2010 ,A000014,Not Voting,On Agreeing to the Amendment,Agreed to,71,2,11:02:00,"{u'not_voting': 27, u'yes': 410, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/71.json,hr2701,R000170,https://api.propublica.org/congress/v1/111/bills/hr2701.json
{},"{u'title': u'Intelligence Authorization Act for Fiscal Year 2010', u'number': u'H R 2701', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2701.json', u'latest_action': u'Became Public Law No: 111-259', u'sponsor_id': u'R000170', u'bill_id': u'hr2701-111'}",House,111,2010-02-26,Intelligence Authorization Act for Fiscal Year 2010 ,A000014,Not Voting,On Agreeing to the Amendment,Agreed to,70,2,10:55:00,"{u'not_voting': 26, u'yes': 401, u'present': 0, u'no': 11}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/70.json,hr2701,R000170,https://api.propublica.org/congress/v1/111/bills/hr2701.json
{},"{u'title': u'Intelligence Authorization Act for Fiscal Year 2010', u'number': u'H R 2701', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2701.json', u'latest_action': u'Became Public Law No: 111-259', u'sponsor_id': u'R000170', u'bill_id': u'hr2701-111'}",House,111,2010-02-26,Intelligence Authorization Act for Fiscal Year 2010 ,A000014,Not Voting,On Agreeing to the Amendment,Agreed to,69,2,10:47:00,"{u'not_voting': 26, u'yes': 246, u'present': 0, u'no': 166}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/69.json,hr2701,R000170,https://api.propublica.org/congress/v1/111/bills/hr2701.json
{},"{u'title': u'Supporting the goals and ideals of National Urban Crimes Awareness Week.', u'number': u'H CON RES 227', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hconres227.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and referred to the Committee on the Judiciary.', u'sponsor_id': u'T000326', u'bill_id': u'hconres227-111'}",House,111,2010-02-25,Whereas National Urban Crimes Awareness Week will be celebrated the second week in February 2010; ,A000014,Yes,"On Motion to Suspend the Rules and Agree, as Amended",Passed,68,2,19:48:00,"{u'not_voting': 21, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/68.json,hconres227,T000326,https://api.propublica.org/congress/v1/111/bills/hconres227.json
{},"{u'title': u'Medicare Physician Payment Reform Act of 2009', u'number': u'H R 3961', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3961.json', u'latest_action': u'Became Public Law No: 111-141', u'sponsor_id': u'D000355', u'bill_id': u'hr3961-111'}",House,111,2010-02-25,"Resolved, That the bill from the House of Representatives ",A000014,No,On Motion to Concur in Senate Amendments,Passed,67,2,19:26:00,"{u'not_voting': 20, u'yes': 315, u'present': 0, u'no': 97}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/67.json,hr3961,D000355,https://api.propublica.org/congress/v1/111/bills/hr3961.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 2701) to authorize appropriations for fiscal year 2010 for intelligence and intelligence-related activities of the United States Government, the Community Management Account, and the Central Intelligence Agency Retirement and Disability System, and for other purposes, waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of motions to suspend the rules.', u'number': u'H RES 1105', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hres1105.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'H000324', u'bill_id': u'hres1105-111'}",House,111,2010-02-25,"Providing for consideration of the bill (H.R. 2701) to authorize appropriations for FY 2010 for intelligence and intelligence-related activities of the U.S. Government, the Community Management Account, and the CIA ...",A000014,Yes,On Agreeing to the Resolution,Passed,66,2,13:17:00,"{u'not_voting': 19, u'yes': 237, u'present': 0, u'no': 176}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/66.json,hres1105,H000324,https://api.propublica.org/congress/v1/111/bills/hres1105.json
{},"{u'title': u'Honoring and celebrating the contributions of African-Americans to the transportation and infrastructure of the United States.', u'number': u'H RES 1085', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hres1085.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'B000911', u'bill_id': u'hres1085-111'}",House,111,2010-02-24,Honoring and celebrating the contributions of African-Americans to the transportation and infrastructure of the United States,A000014,Yes,On Motion to Suspend the Rules and Agree,Passed,65,2,16:05:00,"{u'not_voting': 13, u'yes': 419, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/65.json,hres1085,B000911,https://api.propublica.org/congress/v1/111/bills/hres1085.json
