amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..5835', u'bill_id': u'h.r.5835-101', u'latest_action': None}",Senate,101,1990-10-27,"H.R. 5835 Conference Report; Aging Aircraft Safety Act of 1990 Agricultural Reconciliation Act of 1990 Aviation Safety and Capacity Expansion Act of 1990 Beaches Environmental, Assessment, Closure, and Health Act ...",B000647,Yes,On the Conference Report,Agreed to,326,2,17:31:00,"{u'not_voting': 1, u'yes': 54, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/326.json,h.r.5835,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..566', u'bill_id': u's.566-101', u'latest_action': None}",Senate,101,1990-10-27,S. 566 Conference Report; National Affordable Housing Act HOME Corporation Act,B000647,Yes,On the Conference Report,Agreed to,325,2,12:21:00,"{u'not_voting': 1, u'yes': 93, u'present': 0, u'no': 6}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/325.json,s.566,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..1630', u'bill_id': u's.1630-101', u'latest_action': None}",Senate,101,1990-10-27,S. 1630 Conference Report; Clean Air Act Amendments of 1990 Clean Air Employment Transition Act,B000647,Yes,On the Conference Report,Agreed to,324,2,12:01:00,"{u'not_voting': 1, u'yes': 89, u'present': 0, u'no': 10}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/324.json,s.1630,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..358', u'bill_id': u's.358-101', u'latest_action': None}",Senate,101,1990-10-26,S. 358; Immigration Act of 1989 Naturalization Amendments of 1989,B000647,Not Voting,On the Conference Report,Agreed to,323,2,21:10:00,"{u'not_voting': 3, u'yes': 89, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/323.json,s.358,NA,NA
{u'number': u'S.Amdt. 3182'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5229', u'bill_id': u'h.r.5229-101', u'latest_action': None}",Senate,101,1990-10-26,Motion To Table Motion To Reconsider; To provide that the Secretary of Transportation shall not reduce the obligation limitation allocated to Pennsylvania for Federal-aid highways and highway safety construction programs ...,B000647,Not Voting,On the Motion to Table ,Agreed to,322,2,19:08:00,"{u'not_voting': 4, u'yes': 52, u'present': 0, u'no': 44}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/322.json,h.r.5229,NA,NA
{u'number': u'S.Amdt. 3182'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5229', u'bill_id': u'h.r.5229-101', u'latest_action': None}",Senate,101,1990-10-26,Motion To Table Amendment No. 3182; To provide that the Secretary of Transportation shall not reduce the obligation limitation allocated to Pennsylvania for Federal-aid highways and highway safety construction programs ...,B000647,Not Voting,On the Motion to Table ,Agreed to,321,2,18:36:00,"{u'not_voting': 4, u'yes': 54, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/321.json,h.r.5229,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4739', u'bill_id': u'h.r.4739-101', u'latest_action': None}",Senate,101,1990-10-26,H.R. 4739 Conference Report; National Defense Authorization Act for Fiscal Year 1991 Defense Acquisition Workforce Improvement Act Military Construction Authorization Act for Fiscal Year 1991 Defense Base Closure and Realignment ...,B000647,Not Voting,On the Conference Report,Agreed to,320,2,16:09:00,"{u'not_voting': 3, u'yes': 80, u'present': 0, u'no': 17}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/320.json,h.r.4739,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..5803', u'bill_id': u'h.r.5803-101', u'latest_action': None}",Senate,101,1990-10-26,"H.R. 5803 Conference Report; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1991 and for other purposes.",B000647,Not Voting,On the Conference Report,Agreed to,319,2,15:48:00,"{u'not_voting': 3, u'yes': 80, u'present': 0, u'no': 17}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/319.json,h.r.5803,NA,NA
{u'number': u'S.Amdt. 3164'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5257', u'bill_id': u'h.r.5257-101', u'latest_action': None}",Senate,101,1990-10-25,Dole Amendment No. 3164; To strengthen the program of employment and training assistance under the Job Training Partnership Act.,B000647,Not Voting,On the Amendment ,Agreed to,318,2,20:28:00,"{u'not_voting': 4, u'yes': 95, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/318.json,h.r.5257,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..2830', u'bill_id': u's.2830-101', u'latest_action': None}",Senate,101,1990-10-25,"S. 2830 Conference Report; Food, Agriculture, Conservation and Trade Act of 1990 Fluid Milk Promotion Act of 1990 Agricultural Developmental and Trade Act of 1990 Conservation Stewardship Act of 1990 ...",B000647,Not Voting,On the Conference Report,Agreed to,317,2,19:30:00,"{u'not_voting': 3, u'yes': 60, u'present': 1, u'no': 36}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/317.json,s.2830,NA,NA
{u'number': u'S.Amdt. 3163'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5257', u'bill_id': u'h.r.5257-101', u'latest_action': None}",Senate,101,1990-10-25,"Bingaman Amendment No. 3163; To provide for the establishment of an independent National Council on Educational Goals, and for payment of the expenses incurred by the School Year Extension Study ...",B000647,Not Voting,On the Motion to Table ,Rejected,316,2,18:55:00,"{u'not_voting': 3, u'yes': 42, u'present': 0, u'no': 55}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/316.json,h.r.5257,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..5257', u'bill_id': u'h.r.5257-101', u'latest_action': None}",Senate,101,1990-10-25,"H.R. 5257 Conference Report; Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 1991 Department of Labor Appropriations Act, 1991 Department of Health and Human ...",B000647,Not Voting,On the Conference Report,Agreed to,315,2,18:32:00,"{u'not_voting': 3, u'yes': 82, u'present': 0, u'no': 15}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/315.json,h.r.5257,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..5399', u'bill_id': u'h.r.5399-101', u'latest_action': None}",Senate,101,1990-10-25,"H.R. 5399; Legislative Branch Appropriations Act, 1991 Congressional Operations Appropriations Act, 1991",B000647,Not Voting,On Passage of the Bill,Passed,314,2,15:10:00,"{u'not_voting': 4, u'yes': 72, u'present': 0, u'no': 24}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/314.json,h.r.5399,NA,NA
{u'number': u'S.Amdt. 3161'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5399', u'bill_id': u'h.r.5399-101', u'latest_action': None}",Senate,101,1990-10-25,Wirth Amendment No. 3161; To remove the Library of Congress from consideration of the five percent reduction.,B000647,Not Voting,On the Amendment ,Agreed to,313,2,14:45:00,"{u'not_voting': 5, u'yes': 73, u'present': 0, u'no': 22}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/313.json,h.r.5399,NA,NA
{u'number': u'S.Amdt. 3146'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5399', u'bill_id': u'h.r.5399-101', u'latest_action': None}",Senate,101,1990-10-25,Nickles Amendment No. 3146; To prohibit the transfer of Senate official mail allocations.,B000647,Not Voting,On the Amendment ,Agreed to,312,2,11:34:00,"{u'not_voting': 6, u'yes': 50, u'present': 0, u'no': 44}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/312.json,h.r.5399,NA,NA
{u'number': u'S.Amdt. 3147'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5399', u'bill_id': u'h.r.5399-101', u'latest_action': None}",Senate,101,1990-10-25,Ford Amendment No. 3147; To modify the rules for the use of the congressional frank for Members of the Senate.,B000647,Not Voting,On the Amendment ,Rejected,311,2,10:46:00,"{u'not_voting': 7, u'yes': 42, u'present': 0, u'no': 51}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/311.json,h.r.5399,NA,NA
{u'number': u'S.Amdt. 3143'},"{u'api_uri': None, u'title': None, u'number': u'H.R..5399', u'bill_id': u'h.r.5399-101', u'latest_action': None}",Senate,101,1990-10-24,Motion To Table Amendment No. 3143; To reduce the total funds appropriated in the act by five percent.,B000647,Not Voting,On the Motion to Table ,Rejected,310,2,22:48:00,"{u'not_voting': 8, u'yes': 32, u'present': 0, u'no': 60}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/310.json,h.r.5399,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..5769', u'bill_id': u'h.r.5769-101', u'latest_action': None}",Senate,101,1990-10-24,"H.R. 5769; Department of the Interior and Related Agencies Appropriations Act, 1991",B000647,Not Voting,On Passage of the Bill,Passed,309,2,19:44:00,"{u'not_voting': 2, u'yes': 92, u'present': 0, u'no': 6}",https://api.propublica.org/congress/v1/101/senate/sessions/2/votes/309.json,h.r.5769,NA,NA
