amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{u'number': u'S.Amdt. 2938'},"{u'api_uri': None, u'title': None, u'number': u'H.R..11', u'bill_id': u'h.r.11-102', u'latest_action': None}",Senate,102,1992-08-12,Motion To Waive CBA For SP2938; To delete certain provisions of the bill and authorize spending for four urban initiatives.,B001077,Not Voting,On the Motion ,Rejected,189,2,16:34:00,"{u'not_voting': 6, u'yes': 14, u'present': 0, u'no': 80}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/189.json,h.r.11,NA,NA
{u'number': u'S.Amdt. 2936'},"{u'api_uri': None, u'title': None, u'number': u'H.R..11', u'bill_id': u'h.r.11-102', u'latest_action': None}",Senate,102,1992-08-12,"Motion To Waive ; To amend the Internal Revenue Act of 1986 to provide for a maximum long-term capital gains rate of 15 percent and indexing of certain capital assets, ...",B001077,Not Voting,On the Motion ,Rejected,188,2,13:03:00,"{u'not_voting': 6, u'yes': 37, u'present': 0, u'no': 57}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/188.json,h.r.11,NA,NA
{u'number': u'S.Amdt. 2933'},"{u'api_uri': None, u'title': None, u'number': u'H.R..11', u'bill_id': u'h.r.11-102', u'latest_action': None}",Senate,102,1992-08-11,Chafee Amendment No. 2933; Striking the IRA provisions.,B001077,Not Voting,On the Motion to Table ,Agreed to,187,2,19:07:00,"{u'not_voting': 3, u'yes': 72, u'present': 0, u'no': 25}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/187.json,h.r.11,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S.Res..330', u'bill_id': u's.res.330-102', u'latest_action': None}",Senate,102,1992-08-11,S.Res.330 As Modified And Amended; An original resolution relating to authorization of multinational action in Bosnia-Hercegovina under Article 42 of the United Nations Charter.,B001077,Not Voting,On the Resolution,Agreed to,186,2,14:18:00,"{u'not_voting': 4, u'yes': 74, u'present': 0, u'no': 22}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/186.json,s.res.330,NA,NA
{u'number': u'S.Amdt. 2929'},"{u'api_uri': None, u'title': None, u'number': u'S.Res..330', u'bill_id': u's.res.330-102', u'latest_action': None}",Senate,102,1992-08-11,Stevens Amendment No. 2929; To express the sense of the Senate regarding authorization of multilateral action in Bosnia-Hercegovina under Article 42 of the United Nations charter.,B001077,Not Voting,On the Amendment ,Agreed to,185,2,12:16:00,"{u'not_voting': 5, u'yes': 82, u'present': 0, u'no': 13}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/185.json,s.res.330,NA,NA
{u'number': u'S.Amdt. 2925'},"{u'api_uri': None, u'title': None, u'number': u'S.Res..330', u'bill_id': u's.res.330-102', u'latest_action': None}",Senate,102,1992-08-10,Warner Amendment No. 2925; To express the Senate&#39;s support for the measures announced by the President.,B001077,Not Voting,On the Amendment ,Agreed to,184,2,19:31:00,"{u'not_voting': 5, u'yes': 90, u'present': 0, u'no': 5}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/184.json,s.res.330,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'', u'bill_id': u'-102', u'latest_action': None}",Senate,102,1992-08-07,Motion To Proceed To Carnes Nom.,B001077,Not Voting,On the Motion,Agreed to,183,2,19:48:00,"{u'not_voting': 9, u'yes': 91, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/183.json,,NA,NA
{u'number': u'S.Amdt. 2918'},"{u'api_uri': None, u'title': None, u'number': u'S..3114', u'bill_id': u's.3114-102', u'latest_action': None}",Senate,102,1992-08-07,Sasser Amendment No. 2918; To reduce the amount provided for the Strategic Defense Initiative.,B001077,Not Voting,On the Motion to Table ,Rejected,182,2,18:21:00,"{u'not_voting': 8, u'yes': 43, u'present': 0, u'no': 49}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/182.json,s.3114,NA,NA
{u'number': u'S.Amdt. 2916'},"{u'api_uri': None, u'title': None, u'number': u'S..3114', u'bill_id': u's.3114-102', u'latest_action': None}",Senate,102,1992-08-07,Nunn Amendment No. 2916; To require prompt implementation of the defense conversion and transition assistance provisions and authorities.,B001077,Not Voting,On the Amendment ,Agreed to,181,2,14:27:00,"{u'not_voting': 7, u'yes': 91, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/181.json,s.3114,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4312', u'bill_id': u'h.r.4312-102', u'latest_action': None}",Senate,102,1992-08-07,Bilingual Ballot Bill - H.R. 4312; Voting Rights Language Assistance Act of 1992,B001077,Not Voting,On Passage of the Bill,Passed,180,2,09:46:00,"{u'not_voting': 5, u'yes': 75, u'present': 0, u'no': 20}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/180.json,h.r.4312,NA,NA
{u'number': u'S.Amdt. 2915'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4312', u'bill_id': u'h.r.4312-102', u'latest_action': None}",Senate,102,1992-08-07,Simpson Amdt. 2915; To require federal funding for the costs of compliance.,B001077,Not Voting,On the Amendment ,Rejected,179,2,09:27:00,"{u'not_voting': 5, u'yes': 35, u'present': 0, u'no': 60}",https://api.propublica.org/congress/v1/102/senate/sessions/2/votes/179.json,h.r.4312,NA,NA
