amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-24,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Cloture Motion,Cloture Motion Rejected,200,2,17:14:00,"{u'not_voting': 2, u'yes': 57, u'present': 0, u'no': 41}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/200.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
{},"{u'title': u'Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010', u'number': u'H.R. 2194', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2194.json', u'latest_action': u'Became Public Law No: 111-195', u'sponsor_id': u'B000410', u'bill_id': u'hr2194-111'}",Senate,111,2010-06-24,"Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2009 ",B001210,,Not Voting,On the Conference Report,Conference Report Agreed to,199,2,14:54:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/199.json,hr2194,B000410,https://api.propublica.org/congress/v1/111/bills/hr2194.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4369.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/B000243.json', u'number': u'S.Amdt. 4369', u'sponsor_party': u'D', u'sponsor': u'Max Baucus', u'sponsor_id': u'B000243', u'sponsor_state': u'Mont.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-23,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion to Table,Motion to Table Agreed to,198,2,18:28:00,"{u'not_voting': 4, u'yes': 56, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/198.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
{},"{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-23,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion to Table,Motion to Table Agreed to,197,2,18:02:00,"{u'not_voting': 3, u'yes': 57, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/197.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1435', u'bill_id': u'pn1435-111', u'latest_action': None}",Senate,111,2010-06-21,"Marc T. Treadwell, of Georgia, to be United States District Judge for the Middle District of Georgia",B001210,"{u'nomination_id': u'PN1435-111', u'agency': u'', u'number': u'PN1435', u'name': u'Marc T. Treadwell'}",Not Voting,On the Nomination,Nomination Confirmed,196,2,18:26:00,"{u'not_voting': 11, u'yes': 89, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/196.json,pn1435,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN1434', u'bill_id': u'pn1434-111', u'latest_action': None}",Senate,111,2010-06-21,"Mark A. Goldsmith, of Michigan, to be United States District Judge for the Eastern District of Michigan",B001210,"{u'nomination_id': u'PN1434-111', u'agency': u'', u'number': u'PN1434', u'name': u'Mark A. Goldsmith'}",Not Voting,On the Nomination,Nomination Confirmed,195,2,18:00:00,"{u'not_voting': 11, u'yes': 89, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/195.json,pn1434,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4369.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/B000243.json', u'number': u'S.Amdt. 4369', u'sponsor_party': u'D', u'sponsor': u'Max Baucus', u'sponsor_id': u'B000243', u'sponsor_state': u'Mont.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-17,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Cloture Motion,Cloture Motion Rejected,194,2,19:30:00,"{u'not_voting': 4, u'yes': 56, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/194.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/hamdt4.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/H001036.json', u'number': u'S.Amdt. 4376 to S.Amdt. 4369', u'sponsor_party': u'R', u'sponsor': u'Jeb Hensarling', u'sponsor_id': u'H001036', u'sponsor_state': u'Tex.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-17,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,No,On the Motion,Motion Rejected,193,2,11:53:00,"{u'not_voting': 2, u'yes': 41, u'present': 0, u'no': 57}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/193.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4351.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/I000055.json', u'number': u'S.Amdt. 4351', u'sponsor_party': u'R', u'sponsor': u'Johnny Isakson', u'sponsor_id': u'I000055', u'sponsor_state': u'Ga.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-16,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Rejected,192,2,15:18:00,"{u'not_voting': 3, u'yes': 45, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/192.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4344.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/R000146.json', u'number': u'S.Amdt. 4344', u'sponsor_party': u'D', u'sponsor': u'Harry Reid', u'sponsor_id': u'R000146', u'sponsor_state': u'Nev.'}","{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-16,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Amendment,Amendment Agreed to,191,2,14:47:00,"{u'not_voting': 3, u'yes': 60, u'present': 0, u'no': 37}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/191.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
{},"{u'title': u'Unemployment Compensation Extension Act of 2010', u'number': u'H.R. 4213', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4213.json', u'latest_action': u'Became Public Law No: 111-205', u'sponsor_id': u'R000053', u'bill_id': u'hr4213-111'}",Senate,111,2010-06-16,American Jobs and Closing Tax Loopholes Act of 2010 ,B001210,,Not Voting,On the Motion,Motion Rejected,190,2,10:45:00,"{u'not_voting': 3, u'yes': 45, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/190.json,hr4213,R000053,https://api.propublica.org/congress/v1/111/bills/hr4213.json
