amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-18,H.R. 4810; A bill to provide for reconciliation pursuant to section 103(a)(1) of the concurrent resolution on the budget for fiscal year 2001. Marriage Tax Penalty Relief Reconciliation Act of ...,C000813,Not Voting,On Passage of the Bill,Passed,215,2,14:35:00,"{u'not_voting': 1, u'yes': 61, u'present': 0, u'no': 38}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/215.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3881'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-18,Lott Amdt. No. 3881; To provide a substitute.,C000813,Not Voting,On the Amendment ,Agreed to,214,2,12:39:00,"{u'not_voting': 1, u'yes': 54, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/214.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3875'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-18,Hollings Amdt. No. 3875; To pay down the debt by striking the tax cuts.,C000813,Not Voting,On the Amendment ,Rejected,213,2,12:17:00,"{u'not_voting': 1, u'yes': 20, u'present': 0, u'no': 79}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/213.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3874'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-18,Burns Amdt No. 3874; To repeal the modification of the installment method.,C000813,Not Voting,On the Amendment ,Agreed to,212,2,11:49:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/212.json,h.r.4810,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4578', u'bill_id': u'h.r.4578-106', u'latest_action': None}",Senate,106,2000-07-18,"H.R. 4578, As Amended; Department of the Interior and Related Agencies Appropriations Act, 2001",C000813,Not Voting,On Passage of the Bill,Passed,211,2,11:28:00,"{u'not_voting': 1, u'yes': 97, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/211.json,h.r.4578,NA,NA
{u'number': u'S.Amdt. 3912'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4578', u'bill_id': u'h.r.4578-106', u'latest_action': None}",Senate,106,2000-07-18,Boxer Amdt No. 3912; No Statement of Purpose on File.,C000813,Not Voting,On the Amendment ,Rejected,210,2,11:11:00,"{u'not_voting': 1, u'yes': 41, u'present': 0, u'no': 58}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/210.json,h.r.4578,NA,NA
{u'number': u'S.Amdt. 3886'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4578', u'bill_id': u'h.r.4578-106', u'latest_action': None}",Senate,106,2000-07-18,Bond Amdt No. 3886; To prohibit the use of funds for application of unapproved pesticides in certain areas that may be used by children.,C000813,Not Voting,On the Amendment ,Agreed to,209,2,10:51:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/209.json,h.r.4578,NA,NA
{u'number': u'S.Amdt. 3884'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4578', u'bill_id': u'h.r.4578-106', u'latest_action': None}",Senate,106,2000-07-18,Nickles Amdt No. 3884; To defend the Constitutional system of checks and balances between the Legislative and Executive branches.,C000813,Not Voting,On the Amendment ,Rejected,208,2,10:20:00,"{u'not_voting': 1, u'yes': 49, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/208.json,h.r.4578,NA,NA
{u'number': u'S.Amdt. 3883'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4578', u'bill_id': u'h.r.4578-106', u'latest_action': None}",Senate,106,2000-07-18,"Bryan Amendment No. 3883; To reduce the Forest Service timber sale budget by $30,000,000 and increase the wildland fire management budget by $15,000,000.",C000813,Not Voting,On the Amendment ,Rejected,207,2,09:51:00,"{u'not_voting': 1, u'yes': 45, u'present': 0, u'no': 54}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/207.json,h.r.4578,NA,NA
{u'number': u'S.Amdt. 3853'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-17,Motion to Waive CBA re: Robb Amdt No. 3853; To make the bill effective upon enactment of a Medicare prescription drug benefit.,C000813,Not Voting,On the Motion ,Rejected,206,2,21:16:00,"{u'not_voting': 1, u'yes': 49, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/206.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3852'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-17,Motion to Waive CBA re: Durbin Amdt No. 3852 as modified; To amend the Internal Revenue Code of 1986 to allow small business employers a credit against income tax for ...,C000813,Not Voting,On the Motion ,Rejected,205,2,20:58:00,"{u'not_voting': 2, u'yes': 49, u'present': 0, u'no': 49}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/205.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3848'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-17,Motion to Waive BCA re: Kennedy Amdt. No. 3848; To amend title XIX and XXI of the Social Security Act to permit States to expand coverage under the medicaid program ...,C000813,Not Voting,On the Motion ,Rejected,204,2,20:40:00,"{u'not_voting': 2, u'yes': 51, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/204.json,h.r.4810,NA,NA
{u'number': u'S.Amdt. 3847'},"{u'api_uri': None, u'title': None, u'number': u'H.R..4810', u'bill_id': u'h.r.4810-106', u'latest_action': None}",Senate,106,2000-07-17,Motion To Waive C.B.A. Re: Harkin Amendment No. 3847; To amend the Fair Labor Standards Act of 1938 to provide more effective remedies to victims of discrimination in the payment ...,C000813,Not Voting,On the Motion ,Rejected,203,2,20:20:00,"{u'not_voting': 2, u'yes': 45, u'present': 0, u'no': 53}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/203.json,h.r.4810,NA,NA
