amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.', u'number': u'H R 3', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr3.json', u'latest_action': u'Became Public Law No: 109-59', u'sponsor_id': u'Y000033', u'bill_id': u'hr3-109'}",House,109,2005-07-29,Transportation Equity Act: A Legacy for Users,C000830,Yes,On Agreeing to the Conference Report,Passed,453,1,11:38:00,"{u'not_voting': 14, u'yes': 412, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/453.json,hr3,Y000033,https://api.propublica.org/congress/v1/109/bills/hr3.json
{},"{u'title': u'Providing for an adjournment or recess of the two Houses.', u'number': u'H CON RES 225', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hconres225.json', u'latest_action': u'Passed/agreed to in Senate. Status: Received in the Senate, considered, and agreed to without amendment by Unanimous Consent.', u'sponsor_id': u'D000217', u'bill_id': u'hconres225-109'}",House,109,2005-07-28,Providing for an adjournment or recess of the two Houses.,C000830,Yes,On Agreeing to the Resolution,Passed,452,1,18:13:00,"{u'not_voting': 13, u'yes': 404, u'present': 0, u'no': 16}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/452.json,hconres225,D000217,https://api.propublica.org/congress/v1/109/bills/hconres225.json
{},"{u'title': u'Making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for other purposes.', u'number': u'H R 2985', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr2985.json', u'latest_action': u'Became Public Law No: 109-55', u'sponsor_id': u'L000274', u'bill_id': u'hr2985-109'}",House,109,2005-07-28,"Making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for other purposes",C000830,Yes,On Agreeing to the Conference Report,Passed,451,1,17:55:00,"{u'not_voting': 7, u'yes': 305, u'present': 0, u'no': 122}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/451.json,hr2985,L000274,https://api.propublica.org/congress/v1/109/bills/hr2985.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2006, and for other purposes.', u'number': u'H R 2361', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr2361.json', u'latest_action': u'Became Public Law No: 109-54', u'sponsor_id': u'T000067', u'bill_id': u'hr2361-109'}",House,109,2005-07-28,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2006",C000830,Not Voting,On Agreeing to the Conference Report,Passed,450,1,17:47:00,"{u'not_voting': 14, u'yes': 410, u'present': 0, u'no': 10}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/450.json,hr2361,T000067,https://api.propublica.org/congress/v1/109/bills/hr2361.json
{},"{u'title': u'To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system.', u'number': u'H R 5', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr5.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on the Judiciary.', u'sponsor_id': u'G000550', u'bill_id': u'hr5-109'}",House,109,2005-07-28,To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system,C000830,Yes,On Passage,Passed,449,1,16:40:00,"{u'not_voting': 7, u'yes': 230, u'present': 2, u'no': 194}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/449.json,hr5,G000550,https://api.propublica.org/congress/v1/109/bills/hr5.json
{},"{u'title': u'To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system.', u'number': u'H R 5', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr5.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on the Judiciary.', u'sponsor_id': u'G000550', u'bill_id': u'hr5-109'}",House,109,2005-07-28,To improve patient access to health care services and provide improved medical care by reducing the excessive burden the liability system places on the health care delivery system,C000830,No,On Motion to Recommit with Instructions,Failed,448,1,16:31:00,"{u'not_voting': 5, u'yes': 193, u'present': 1, u'no': 234}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/448.json,hr5,G000550,https://api.propublica.org/congress/v1/109/bills/hr5.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 2985) making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for other purposes.', u'number': u'H RES 396', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres396.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 375 - 27, 24 Present (Roll no. 447).', u'sponsor_id': u'D000299', u'bill_id': u'hres396-109'}",House,109,2005-07-28,"Waiving points of order against the conference report to accompany the bill (H.R. 2985) making appropriations for the Legislative Branch for the fiscal year ending September 30, 2006, and for ...",C000830,Yes,On Agreeing to the Resolution,Passed,447,1,13:26:00,"{u'not_voting': 7, u'yes': 375, u'present': 24, u'no': 27}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/447.json,hres396,D000299,https://api.propublica.org/congress/v1/109/bills/hres396.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 2361) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2006, and for other purposes.', u'number': u'H RES 392', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres392.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 402 - 4, 23 Present (Roll no. 446).', u'sponsor_id': u'B001250', u'bill_id': u'hres392-109'}",House,109,2005-07-28,"Waiving points of order against the conference report to accompany the bill (H.R. 2361) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ...",C000830,Yes,On Agreeing to the Resolution,Passed,446,1,13:18:00,"{u'not_voting': 4, u'yes': 402, u'present': 23, u'no': 4}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/446.json,hres392,B001250,https://api.propublica.org/congress/v1/109/bills/hres392.json
{},"{u'title': u'To ensure jobs for our future with secure, affordable, and reliable energy.', u'number': u'H R 6', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr6.json', u'latest_action': u'Became Public Law No: 109-58', u'sponsor_id': u'B000213', u'bill_id': u'hr6-109'}",House,109,2005-07-28,Energy Policy Act of 2005,C000830,Yes,On Agreeing to the Conference Report,Passed,445,1,13:10:00,"{u'not_voting': 3, u'yes': 275, u'present': 0, u'no': 156}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/445.json,hr6,B000213,https://api.propublica.org/congress/v1/109/bills/hr6.json
{},"{u'title': u'Supporting the goals of National Marina Day and urging marinas continue providing environmentally friendly gateways to boating.', u'number': u'H RES 308', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres308.json', u'latest_action': u'Passed/agreed to in House. Status: On motion to suspend the rules and agree to the resolution Agreed to by the Yeas and Nays: (2/3 required): 385 - 0 (Roll no. 444).', u'sponsor_id': u'D000327', u'bill_id': u'hres308-109'}",House,109,2005-07-28,Supporting the goals of National Marina Day,C000830,Yes,On Motion to Suspend the Rules and Agree,Passed,444,1,00:11:00,"{u'not_voting': 48, u'yes': 385, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/109/house/sessions/1/votes/444.json,hres308,D000327,https://api.propublica.org/congress/v1/109/bills/hres308.json
