amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'A bill to amend the Higher Education Act of 1965 to extend the current reduced interest rate for undergraduate Federal Direct Stafford Loans for 1 year, to modify required distribution rules for pension plans, and for other purposes.', u'number': u'S.1238', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1238.json', u'latest_action': u'Motion to proceed to consideration of measure made in Senate. (consideration: CR S5717-5718)', u'sponsor_id': u'R000122', u'bill_id': u's1238-113'}",Senate,113,2013-07-15,"A bill to amend the Higher Education Act of 1965 to extend the current reduced interest rate for undergraduate Federal Direct Stafford Loans for 1 year, to modify required distribution ...",C001099,,Yes,On the Motion for Attendance S. 1238,Motion for Attendance Agreed to,172,1,17:39:00,"{u'not_voting': 3, u'yes': 69, u'present': 0, u'no': 28}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/172.json,s1238,R000122,https://api.propublica.org/congress/v1/113/bills/s1238.json
{},"{u'title': u'A bill to amend the Higher Education Act of 1965 to extend the current reduced interest rate for undergraduate Federal Direct Stafford Loans for 1 year, to modify required distribution rules for pension plans, and for other purposes.', u'number': u'S.1238', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s1238.json', u'latest_action': u'Motion to proceed to consideration of measure made in Senate. (consideration: CR S5717-5718)', u'sponsor_id': u'R000122', u'bill_id': u's1238-113'}",Senate,113,2013-07-10,"A bill to amend the Higher Education Act of 1965 to extend the current reduced interest rate for undergraduate Federal Direct Stafford Loans for 1 year, to modify required distribution ...",C001099,,Yes,On the Cloture Motion S. 1238,Cloture Motion Rejected,171,1,12:01:00,"{u'not_voting': 0, u'yes': 51, u'present': 0, u'no': 49}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/171.json,s1238,R000122,https://api.propublica.org/congress/v1/113/bills/s1238.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN14', u'bill_id': u'pn14-113', u'latest_action': None}",Senate,113,2013-07-09,"Jennifer A. Dorsey, of Nevada, to be United States District Judge for the District of Nevada",C001099,"{u'nomination_id': u'PN14-113', u'agency': u'', u'number': u'PN14', u'name': u''}",Yes,On the Nomination PN14,Nomination Confirmed,170,1,12:01:00,"{u'not_voting': 5, u'yes': 54, u'present': 0, u'no': 41}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/170.json,pn14,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN128', u'bill_id': u'pn128-113', u'latest_action': None}",Senate,113,2013-07-08,"Gregory Alan Phillips, of Wyoming, to be United States Circuit Judge for the Tenth Circuit",C001099,"{u'nomination_id': u'PN128-113', u'agency': u'', u'number': u'PN128', u'name': u''}",Yes,On the Nomination PN128,Nomination Confirmed,169,1,17:29:00,"{u'not_voting': 12, u'yes': 88, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/169.json,pn128,NA,NA
{},"{u'title': u'A bill to provide for comprehensive immigration reform and for other purposes.', u'number': u'S.744', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s744.json', u'latest_action': u'Committee on the Judiciary. Hearings held.', u'sponsor_id': u'S000148', u'bill_id': u's744-113'}",Senate,113,2013-06-27,A bill to provide for comprehensive immigration reform and for other purposes.,C001099,,Yes,On Passage of the Bill S. 744,Bill Passed,168,1,16:11:00,"{u'not_voting': 0, u'yes': 68, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/168.json,s744,S000148,https://api.propublica.org/congress/v1/113/bills/s744.json
{},"{u'title': u'A bill to provide for comprehensive immigration reform and for other purposes.', u'number': u'S.744', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s744.json', u'latest_action': u'Committee on the Judiciary. Hearings held.', u'sponsor_id': u'S000148', u'bill_id': u's744-113'}",Senate,113,2013-06-27,A bill to provide for comprehensive immigration reform and for other purposes.,C001099,,Yes,On the Cloture Motion S. 744,Cloture Motion Agreed to,167,1,12:21:00,"{u'not_voting': 0, u'yes': 68, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/167.json,s744,S000148,https://api.propublica.org/congress/v1/113/bills/s744.json
{},"{u'title': u'A bill to provide for comprehensive immigration reform and for other purposes.', u'number': u'S.744', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s744.json', u'latest_action': u'Committee on the Judiciary. Hearings held.', u'sponsor_id': u'S000148', u'bill_id': u's744-113'}",Senate,113,2013-06-27,A bill to provide for comprehensive immigration reform and for other purposes.,C001099,,Yes,On the Amendment S. 744,Amendment Agreed to,166,1,12:04:00,"{u'not_voting': 0, u'yes': 68, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/166.json,s744,S000148,https://api.propublica.org/congress/v1/113/bills/s744.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN406', u'bill_id': u'pn406-113', u'latest_action': None}",Senate,113,2013-06-27,"Anthony Renard Foxx, of North Carolina, to be Secretary of Transportation",C001099,"{u'nomination_id': u'PN406-113', u'agency': u'', u'number': u'PN406', u'name': u''}",Yes,On the Nomination PN406,Nomination Confirmed,165,1,11:36:00,"{u'not_voting': 0, u'yes': 100, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/165.json,pn406,NA,NA
{},"{u'title': u'A bill to provide for comprehensive immigration reform and for other purposes.', u'number': u'S.744', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s744.json', u'latest_action': u'Committee on the Judiciary. Hearings held.', u'sponsor_id': u'S000148', u'bill_id': u's744-113'}",Senate,113,2013-06-26,A bill to provide for comprehensive immigration reform and for other purposes.,C001099,,Yes,On the Cloture Motion S. 744,Cloture Motion Agreed to,164,1,12:35:00,"{u'not_voting': 2, u'yes': 67, u'present': 0, u'no': 31}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/164.json,s744,S000148,https://api.propublica.org/congress/v1/113/bills/s744.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt1183.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/L000174.json', u'number': u'S.Amdt. 1183', u'sponsor_party': u'D', u'sponsor': u'Patrick J. Leahy', u'sponsor_id': u'L000174', u'sponsor_state': u'Vt.'}","{u'title': u'A bill to provide for comprehensive immigration reform and for other purposes.', u'number': u'S. 744', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s744.json', u'latest_action': u'Committee on the Judiciary. Hearings held.', u'sponsor_id': u'S000148', u'bill_id': u's744-113'}",Senate,113,2013-06-26,To strengthen border security and enforcement.,C001099,,Yes,"On the Amendment S.Amdt. 1183 to S. 744 (Border Security, Economic Opportunity, and Immigration Modernization Act)",Amendment Agreed to,163,1,12:16:00,"{u'not_voting': 2, u'yes': 69, u'present': 0, u'no': 29}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/163.json,s744,S000148,https://api.propublica.org/congress/v1/113/bills/s744.json
