amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3167', u'bill_id': u'hr3167-103', u'latest_action': None}",House,103,1993-11-22,UNEMPLOYMENT COMPENSATION...,E000184,Yes,On Agreeing to the Conference Report,Passed,615,1,23:59:00,"{u'not_voting': 9, u'yes': 320, u'present': 0, u'no': 105}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/615.json,hr3167,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.1025', u'bill_id': u'hr1025-103', u'latest_action': None}",House,103,1993-11-22,BRADY HANDGUN BILL,E000184,No,AGREEING TO CONFERENCEREPORT,Passed,614,1,23:59:00,"{u'not_voting': 8, u'yes': 238, u'present': 0, u'no': 187}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/614.json,hr1025,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S.714', u'bill_id': u's714-103', u'latest_action': None}",House,103,1993-11-22,RTC FUNDING,E000184,No,On Agreeing to the Conference Report,Passed,613,1,23:59:00,"{u'not_voting': 6, u'yes': 235, u'present': 1, u'no': 191}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/613.json,s714,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3400', u'bill_id': u'hr3400-103', u'latest_action': None}",House,103,1993-11-22,GOVERNMENT REFORM AND SAVINGS ACT OF 1993,E000184,Yes,On Passage,Passed,612,1,23:20:00,"{u'not_voting': 4, u'yes': 429, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/612.json,hr3400,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3400', u'bill_id': u'hr3400-103', u'latest_action': None}",House,103,1993-11-22,SABO,E000184,Yes,On Agreeing to the Amendment,Agreed to,611,1,23:03:00,"{u'not_voting': 3, u'yes': 277, u'present': 0, u'no': 153}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/611.json,hr3400,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3400', u'bill_id': u'hr3400-103', u'latest_action': None}",House,103,1993-11-22,FRANK (MA),E000184,Yes,On Agreeing to the Amendment,Failed,610,1,22:46:00,"{u'not_voting': 6, u'yes': 184, u'present': 0, u'no': 248}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/610.json,hr3400,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3400', u'bill_id': u'hr3400-103', u'latest_action': None}",House,103,1993-11-22,PENNY,E000184,No,On Agreeing to the Amendment,Failed,609,1,21:14:00,"{u'not_voting': 7, u'yes': 213, u'present': 0, u'no': 219}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/609.json,hr3400,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3400', u'bill_id': u'hr3400-103', u'latest_action': None}",House,103,1993-11-22,SABO,E000184,Yes,On Agreeing to the Amendment,Agreed to,608,1,19:27:00,"{u'not_voting': 3, u'yes': 272, u'present': 0, u'no': 163}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/608.json,hr3400,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.320', u'bill_id': u'hres320-103', u'latest_action': None}",House,103,1993-11-22,PROVIDING FOR CONSIDERATION OF H.R. 3400; GOVERNMENT REFORM AND SAVINGS ACT,E000184,No,On Agreeing to the Resolution,Passed,607,1,16:04:00,"{u'not_voting': 3, u'yes': 247, u'present': 0, u'no': 183}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/607.json,hres320,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.322', u'bill_id': u'hres322-103', u'latest_action': None}",House,103,1993-11-22,AGREEING TO THE REQUEST OF THE SENATE FOR A CONFERENCE ON H.R. 1025; BRADY HANDGUN PROTECTION ACT,E000184,Yes,On Agreeing to the Resolution,Passed,606,1,14:25:00,"{u'not_voting': 6, u'yes': 249, u'present': 0, u'no': 178}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/606.json,hres322,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3', u'bill_id': u'hr3-103', u'latest_action': None}",House,103,1993-11-22,CAMPAIGN REFORM ACT OF 1993,E000184,No,On Passage,Passed,605,1,13:36:00,"{u'not_voting': 3, u'yes': 255, u'present': 0, u'no': 175}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/605.json,hr3,NA,NA
