amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'A resolution honoring the members of the military and intelligence community who carried out the mission that killed Osama bin Laden, and for other purposes.', u'number': u'S.Res.159', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/sres159.json', u'latest_action': u'Passed/agreed to in Senate. Status: Resolution agreed to in Senate without amendment and with a preamble by Yea-Nay. 97 - 0. Record Vote Number: 63.', u'sponsor_id': u'R000146', u'bill_id': u'sres159-112'}",Senate,112,2011-05-03,"A resolution honoring the members of the military and intelligence community who carried out the mission that killed Osama bin Laden, and for other purposes.",E000194,,Not Voting,On the Resolution,Resolution Agreed to,63,1,15:49:00,"{u'not_voting': 3, u'yes': 97, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/63.json,sres159,R000146,https://api.propublica.org/congress/v1/112/bills/sres159.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN38', u'bill_id': u'pn38-112', u'latest_action': None}",Senate,112,2011-05-02,"Kevin Hunter Sharp, of Tennessee, to be United States District Judge for the Middle District of Tennessee",E000194,"{u'nomination_id': u'PN38-112', u'agency': u'', u'number': u'PN38', u'name': u''}",Not Voting,On the Nomination,Nomination Confirmed,62,1,17:32:00,"{u'not_voting': 11, u'yes': 89, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/62.json,pn38,NA,NA
{},"{u'title': u'Department of Defense and Full-Year Continuing Appropriations Act, 2011', u'number': u'H.R.1473', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1473.json', u'latest_action': u'Became Public Law No: 112-10', u'sponsor_id': u'R000395', u'bill_id': u'hr1473-112'}",Senate,112,2011-04-14,"Department of Defense and Full-Year Continuing Appropriations Act, 2011 ",E000194,,No,On Passage of the Bill,Bill Passed,61,1,17:28:00,"{u'not_voting': 0, u'yes': 81, u'present': 0, u'no': 19}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/61.json,hr1473,R000395,https://api.propublica.org/congress/v1/112/bills/hr1473.json
{},"{u'title': u'Directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.', u'number': u'H.Con.Res.36', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hconres36.json', u'latest_action': u'Message on Senate action sent to the House.', u'sponsor_id': u'B001273', u'bill_id': u'hconres36-112'}",Senate,112,2011-04-14,A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,E000194,,Yes,On the Concurrent Resolution,Concurrent Resolution Rejected,60,1,17:14:00,"{u'not_voting': 0, u'yes': 42, u'present': 0, u'no': 58}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/60.json,hconres36,B001273,https://api.propublica.org/congress/v1/112/bills/hconres36.json
{},"{u'title': u'Directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.', u'number': u'H.Con.Res.35', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hconres35.json', u'latest_action': u'Message on Senate action sent to the House.', u'sponsor_id': u'A000361', u'bill_id': u'hconres35-112'}",Senate,112,2011-04-14,A concurrent resolution directing the Clerk of the House of Representatives to make a correction in the enrollment of H.R. 1473.,E000194,,Yes,On the Concurrent Resolution,Concurrent Resolution Rejected,59,1,16:50:00,"{u'not_voting': 0, u'yes': 47, u'present': 0, u'no': 53}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/59.json,hconres35,A000361,https://api.propublica.org/congress/v1/112/bills/hconres35.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN29', u'bill_id': u'pn29-112', u'latest_action': None}",Senate,112,2011-04-12,"John A. Kronstadt, of California, to be United States District Judge for the Central District of California",E000194,"{u'nomination_id': u'PN29-112', u'agency': u'', u'number': u'PN29', u'name': u''}",Yes,On the Nomination,Nomination Confirmed,58,1,12:03:00,"{u'not_voting': 4, u'yes': 96, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/58.json,pn29,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt273.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/C000560.json', u'number': u'S.Amdt. 273', u'sponsor_party': u'R', u'sponsor': u'Tom Coburn', u'sponsor_id': u'C000560', u'sponsor_state': u'Okla.'}","{u'title': u'SBIR/STTR Reauthorization Act of 2011', u'number': u'S. 493', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s493.json', u'latest_action': u'Senate floor actions. Status: Cloture on the bill (S. 493 ) not invoked in Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 64.Note: On 11/29/2011, this bill was incorporated into S. 1867  as S. Amdt. 1115 .', u'sponsor_id': u'L000550', u'bill_id': u's493-112'}",Senate,112,2011-04-06,SBIR/STTR Reauthorization Act of 2011 ,E000194,,Yes,On the Amendment,Amendment Agreed to,57,1,18:01:00,"{u'not_voting': 0, u'yes': 64, u'present': 0, u'no': 36}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/57.json,s493,L000550,https://api.propublica.org/congress/v1/112/bills/s493.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt286.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/I000025.json', u'number': u'S.Amdt. 286', u'sponsor_party': u'D', u'sponsor': u'Daniel K. Inouye', u'sponsor_id': u'I000025', u'sponsor_state': u'Hawaii'}","{u'title': u'SBIR/STTR Reauthorization Act of 2011', u'number': u'S. 493', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s493.json', u'latest_action': u'Senate floor actions. Status: Cloture on the bill (S. 493 ) not invoked in Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 64.Note: On 11/29/2011, this bill was incorporated into S. 1867  as S. Amdt. 1115 .', u'sponsor_id': u'L000550', u'bill_id': u's493-112'}",Senate,112,2011-04-06,SBIR/STTR Reauthorization Act of 2011 ,E000194,,No,On the Amendment,Amendment Rejected,56,1,17:42:00,"{u'not_voting': 0, u'yes': 57, u'present': 0, u'no': 43}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/56.json,s493,L000550,https://api.propublica.org/congress/v1/112/bills/s493.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt281.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/C000560.json', u'number': u'S.Amdt. 281', u'sponsor_party': u'R', u'sponsor': u'Tom Coburn', u'sponsor_id': u'C000560', u'sponsor_state': u'Okla.'}","{u'title': u'SBIR/STTR Reauthorization Act of 2011', u'number': u'S. 493', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s493.json', u'latest_action': u'Senate floor actions. Status: Cloture on the bill (S. 493 ) not invoked in Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 64.Note: On 11/29/2011, this bill was incorporated into S. 1867  as S. Amdt. 1115 .', u'sponsor_id': u'L000550', u'bill_id': u's493-112'}",Senate,112,2011-04-06,SBIR/STTR Reauthorization Act of 2011 ,E000194,,Yes,On the Amendment,Amendment Agreed to,55,1,17:26:00,"{u'not_voting': 0, u'yes': 100, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/55.json,s493,L000550,https://api.propublica.org/congress/v1/112/bills/s493.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt183.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/M000355.json', u'number': u'S.Amdt. 183', u'sponsor_party': u'R', u'sponsor': u'Mitch McConnell', u'sponsor_id': u'M000355', u'sponsor_state': u'Ky.'}","{u'title': u'SBIR/STTR Reauthorization Act of 2011', u'number': u'S. 493', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s493.json', u'latest_action': u'Senate floor actions. Status: Cloture on the bill (S. 493 ) not invoked in Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 64.Note: On 11/29/2011, this bill was incorporated into S. 1867  as S. Amdt. 1115 .', u'sponsor_id': u'L000550', u'bill_id': u's493-112'}",Senate,112,2011-04-06,SBIR/STTR Reauthorization Act of 2011 ,E000194,,Yes,On the Amendment,Amendment Rejected,54,1,17:10:00,"{u'not_voting': 0, u'yes': 50, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/112/senate/sessions/1/votes/54.json,s493,L000550,https://api.propublica.org/congress/v1/112/bills/s493.json
