amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.5', u'bill_id': u'hres5-103', u'latest_action': None}",House,103,1993-01-05,RULES OF THE HOUSE,E000218,Yes,On Agreeing to the Resolution,Passed,7,1,17:49:00,"{u'not_voting': 10, u'yes': 221, u'present': 1, u'no': 199}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/7.json,hres5,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.5', u'bill_id': u'hres5-103', u'latest_action': None}",House,103,1993-01-05,RULES OF THE HOUSE,E000218,No,ON MOTION TO COMMIT WITH INSTRUCTIONS,Failed,6,1,17:29:00,"{u'not_voting': 6, u'yes': 187, u'present': 0, u'no': 238}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/6.json,hres5,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.5', u'bill_id': u'hres5-103', u'latest_action': None}",House,103,1993-01-05,RULES OF THE HOUSE,E000218,Yes,ON ORDERING THE PREVIOUS QUESTION,Passed,5,1,17:09:00,"{u'not_voting': 6, u'yes': 249, u'present': 0, u'no': 176}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/5.json,hres5,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'QUORUM.4', u'bill_id': u'quorum4-103', u'latest_action': None}",House,103,1993-01-05,,E000218,Present,Call in Committee,Passed,4,1,16:35:00,"{u'not_voting': 22, u'yes': 0, u'present': 409, u'no': 0}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/4.json,quorum4,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.5', u'bill_id': u'hres5-103', u'latest_action': None}",House,103,1993-01-05,RULES OF THE HOUSE,E000218,Yes,TABLE MOTION TO REFER,Passed,3,1,14:26:00,"{u'not_voting': 31, u'yes': 224, u'present': 0, u'no': 176}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/3.json,hres5,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'', u'bill_id': u'-103', u'latest_action': None}",House,103,1993-01-05,,E000218,Foley,ELECTION OF SPEAKER,Foley,2,1,12:40:00,"{u'not_voting': 1, u'yes': 255, u'present': 2, u'no': 174}",https://api.propublica.org/congress/v1/103/house/sessions/1/votes/2.json,,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'ADJOURN', u'bill_id': u'adjourn-102', u'latest_action': None}",House,102,1992-10-05,,E000218,Yes,,Passed,488,2,23:59:00,"{u'not_voting': 126, u'yes': 268, u'present': 0, u'no': 38}",https://api.propublica.org/congress/v1/102/house/sessions/2/votes/488.json,adjourn,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.6179', u'bill_id': u'hr6179-102', u'latest_action': None}",House,102,1992-10-05,TO AMEND THE WILD AND SCENIC RIVER ACT,E000218,Yes,On Motion to Suspend the Rules and Pass,Passed,487,2,23:59:00,"{u'not_voting': 92, u'yes': 256, u'present': 0, u'no': 84}",https://api.propublica.org/congress/v1/102/house/sessions/2/votes/487.json,hr6179,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'ADJOURN', u'bill_id': u'adjourn-102', u'latest_action': None}",House,102,1992-10-05,,E000218,No,,Failed,486,2,23:59:00,"{u'not_voting': 85, u'yes': 97, u'present': 0, u'no': 250}",https://api.propublica.org/congress/v1/102/house/sessions/2/votes/486.json,adjourn,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S.1704', u'bill_id': u's1704-102', u'latest_action': None}",House,102,1992-10-05,NATIONAL PARK SERVICE,E000218,Not Voting,"SUSPEND THE RULES AND PASS, AS AMENDED",Passed,485,2,23:59:00,"{u'not_voting': 88, u'yes': 237, u'present': 0, u'no': 107}",https://api.propublica.org/congress/v1/102/house/sessions/2/votes/485.json,s1704,NA,NA
