amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010', u'number': u'H R 4853', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4853.json', u'latest_action': u'Became Public Law No: 111-312', u'sponsor_id': u'O000006', u'bill_id': u'hr4853-111'}",House,111,2010-12-16,Levin of Michigan Amendment,F000010,Yes,On Agreeing to the Amendment,Failed,646,2,23:41:00,"{u'not_voting': 11, u'yes': 194, u'present': 1, u'no': 233}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/646.json,hr4853,O000006,https://api.propublica.org/congress/v1/111/bills/hr4853.json
{},"{u'title': u'Rural Energy Savings Program Act', u'number': u'H R 4785', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr4785.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.', u'sponsor_id': u'C000537', u'bill_id': u'hr4785-111'}",House,111,2010-09-16,To authorize the Secretary of Agriculture to make loans to certain entities that agree that the funds will be used to make loans to consumers to implement energy efficiency measures... ,F000010,Yes,On Agreeing to the Amendment,Agreed to,529,2,13:49:00,"{u'not_voting': 36, u'yes': 402, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/529.json,hr4785,C000537,https://api.propublica.org/congress/v1/111/bills/hr4785.json
{},"{u'title': u'Acknowledging and congratulating Miami Dade College on the occasion of its 50th anniversary of service to the students and residents of the State of Florida.', u'number': u'H RES 1571', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hres1571.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'R000435', u'bill_id': u'hres1571-111'}",House,111,2010-09-14,Acknowledging and congratulating Miami Dade College on the occasion of its 50th anniversary of service to the students and residents of the State of Florida,F000010,Not Voting,"On Motion to Suspend the Rules and Agree, as Amended",Passed,520,2,18:43:00,"{u'not_voting': 60, u'yes': 378, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/520.json,hres1571,R000435,https://api.propublica.org/congress/v1/111/bills/hres1571.json
{},"{u'title': u'Honoring the members of the Army National Guard and Air National Guard of the State of Oklahoma for their service and sacrifice on behalf of the United States since September 11, 2001.', u'number': u'H RES 1052', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hres1052.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'B001254', u'bill_id': u'hres1052-111'}",House,111,2010-09-14,Honoring the members of the Army National Guard and Air National Guard of the State of Oklahoma for their service and sacrifice on behalf of the United States since September ...,F000010,Not Voting,On Motion to Suspend the Rules and Agree,Passed,519,2,18:31:00,"{u'not_voting': 60, u'yes': 378, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/519.json,hres1052,B001254,https://api.propublica.org/congress/v1/111/bills/hres1052.json
{},"{u'title': u'Consolidated Land, Energy, and Aquatic Resources Act of 2010', u'number': u'H R 3534', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3534.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.', u'sponsor_id': u'R000011', u'bill_id': u'hr3534-111'}",House,111,2010-07-30,"Consolidated Land, Energy, and Aquatic Resources Act of 2010 ",F000010,Not Voting,On Agreeing to the Amendment,Agreed to,511,2,17:45:00,"{u'not_voting': 27, u'yes': 216, u'present': 1, u'no': 195}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/511.json,hr3534,R000011,https://api.propublica.org/congress/v1/111/bills/hr3534.json
{},"{u'title': u'Consolidated Land, Energy, and Aquatic Resources Act of 2010', u'number': u'H R 3534', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3534.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.', u'sponsor_id': u'R000011', u'bill_id': u'hr3534-111'}",House,111,2010-07-30,"Consolidated Land, Energy, and Aquatic Resources Act of 2010 ",F000010,Not Voting,On Agreeing to the Amendment,Agreed to,510,2,17:40:00,"{u'not_voting': 31, u'yes': 258, u'present': 0, u'no': 149}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/510.json,hr3534,R000011,https://api.propublica.org/congress/v1/111/bills/hr3534.json
{},"{u'title': u'Consolidated Land, Energy, and Aquatic Resources Act of 2010', u'number': u'H R 3534', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3534.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.', u'sponsor_id': u'R000011', u'bill_id': u'hr3534-111'}",House,111,2010-07-30,"Consolidated Land, Energy, and Aquatic Resources Act of 2010 ",F000010,Not Voting,On Agreeing to the Amendment,Agreed to,509,2,17:37:00,"{u'not_voting': 31, u'yes': 399, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/509.json,hr3534,R000011,https://api.propublica.org/congress/v1/111/bills/hr3534.json
{},"{u'title': u'Consolidated Land, Energy, and Aquatic Resources Act of 2010', u'number': u'H R 3534', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3534.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.', u'sponsor_id': u'R000011', u'bill_id': u'hr3534-111'}",House,111,2010-07-30,"Consolidated Land, Energy, and Aquatic Resources Act of 2010 ",F000010,Not Voting,On Agreeing to the Amendment,Agreed to,508,2,17:33:00,"{u'not_voting': 33, u'yes': 404, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/508.json,hr3534,R000011,https://api.propublica.org/congress/v1/111/bills/hr3534.json
{},"{u'title': u'Consolidated Land, Energy, and Aquatic Resources Act of 2010', u'number': u'H R 3534', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3534.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 510.', u'sponsor_id': u'R000011', u'bill_id': u'hr3534-111'}",House,111,2010-07-30,"Consolidated Land, Energy, and Aquatic Resources Act of 2010 ",F000010,Not Voting,On Agreeing to the Amendment,Agreed to,507,2,17:29:00,"{u'not_voting': 26, u'yes': 250, u'present': 1, u'no': 161}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/507.json,hr3534,R000011,https://api.propublica.org/congress/v1/111/bills/hr3534.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Flake of Arizona Part B Amendment No. 11,F000010,No,On Agreeing to the Amendment,Failed,498,2,22:43:00,"{u'not_voting': 15, u'yes': 159, u'present': 0, u'no': 264}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/498.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Flake of Arizona Part B Amendment No. 10,F000010,No,On Agreeing to the Amendment,Failed,497,2,22:37:00,"{u'not_voting': 15, u'yes': 165, u'present': 0, u'no': 258}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/497.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Flake of Arizona Part B Amendment No. 4,F000010,No,On Agreeing to the Amendment,Failed,496,2,22:30:00,"{u'not_voting': 14, u'yes': 157, u'present': 0, u'no': 267}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/496.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Flake of Arizona Part B Amendment No. 2,F000010,No,On Agreeing to the Amendment,Failed,495,2,22:24:00,"{u'not_voting': 15, u'yes': 163, u'present': 0, u'no': 260}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/495.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Flake of Arizona Part A Amendment No. 20,F000010,No,On Agreeing to the Amendment,Failed,494,2,22:17:00,"{u'not_voting': 16, u'yes': 129, u'present': 0, u'no': 293}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/494.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Jordan of Ohio Part A Amendment No. 18,F000010,No,On Agreeing to the Amendment,Failed,493,2,22:11:00,"{u'not_voting': 14, u'yes': 159, u'present': 0, u'no': 265}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/493.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Neugebauer of Texas Part A Amendment No. 14,F000010,No,On Agreeing to the Amendment,Failed,492,2,22:04:00,"{u'not_voting': 14, u'yes': 177, u'present': 0, u'no': 247}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/492.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Culberson of Texas Part A Amendment No. 10,F000010,No,On Agreeing to the Amendment,Failed,490,2,18:26:00,"{u'not_voting': 17, u'yes': 169, u'present': 0, u'no': 252}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/490.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Latham of Iowa Part A Amendment No. 8,F000010,No,On Agreeing to the Amendment,Failed,489,2,18:17:00,"{u'not_voting': 16, u'yes': 197, u'present': 0, u'no': 225}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/489.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
{},"{u'title': u'Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2011', u'number': u'H R 5850', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5850.json', u'latest_action': u'Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 503.', u'sponsor_id': u'O000085', u'bill_id': u'hr5850-111'}",House,111,2010-07-29,Boehner of Ohio Part A Amendment No. 2,F000010,No,On Agreeing to the Amendment,Failed,488,2,18:08:00,"{u'not_voting': 15, u'yes': 206, u'present': 0, u'no': 217}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/488.json,hr5850,O000085,https://api.propublica.org/congress/v1/111/bills/hr5850.json
