amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'PN1576', u'bill_id': u'pn1576-111', u'latest_action': None}",Senate,111,2010-12-22,"Mary Helen Murguia, of Arizona, to be United States Circuit Judge for the Ninth Circuit",G000445,"{u'nomination_id': u'PN1576-111', u'agency': u'', u'number': u'PN1576', u'name': u'Mary Helen Murguia'}",Yes,On the Nomination,Nomination Confirmed,299,2,15:02:00,"{u'not_voting': 11, u'yes': 89, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/299.json,pn1576,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-22,"Treaty between the United States of America and the Russian Federation on Measures for the Further Reduction and Limitation of Strategic Offensive Arms, signed in Prague on April 8, 2010, ...",G000445,,Yes,On the Resolution of Ratification,Resolution of Ratification Agreed to,298,2,14:33:00,"{u'not_voting': 3, u'yes': 71, u'present': 0, u'no': 26}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/298.json,treatydoc.111,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4893.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/K000352.json', u'number': u'S.Amdt. 4893', u'sponsor_party': u'R', u'sponsor': u'Jon Kyl', u'sponsor_id': u'K000352', u'sponsor_state': u'Ariz.'}","{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,To provide that the advice and consent of the Senate to ratification of the New START Treaty is subject to an understanding regarding the non-use of covers by the Russian ...,G000445,,Not Voting,On the Amendment,Amendment Rejected,297,2,20:51:00,"{u'not_voting': 7, u'yes': 30, u'present': 0, u'no': 63}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/297.json,treatydoc.111,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4860.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/K000352.json', u'number': u'S.Amdt. 4860', u'sponsor_party': u'R', u'sponsor': u'Jon Kyl', u'sponsor_id': u'K000352', u'sponsor_state': u'Ariz.'}","{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,To require a certification that the President has negotiated a legally binding side agreement with the Russian Federation that the Russian Federation will not deploy a significant number of nuclear-armed ...,G000445,,Not Voting,On the Amendment,Amendment Rejected,296,2,20:31:00,"{u'not_voting': 7, u'yes': 31, u'present': 0, u'no': 62}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/296.json,treatydoc.111,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4895.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/W000437.json', u'number': u'S.Amdt. 4895', u'sponsor_party': u'R', u'sponsor': u'Roger Wicker', u'sponsor_id': u'W000437', u'sponsor_state': u'Miss.'}","{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,To provide an understanding that provisions adopted in the Bilateral Consultative Commission that affect substantive rights or obligations under the Treaty are those that create new rights or obligations for ...,G000445,,Not Voting,On the Amendment,Amendment Rejected,295,2,20:08:00,"{u'not_voting': 7, u'yes': 34, u'present': 0, u'no': 59}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/295.json,treatydoc.111,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4878.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/R000584.json', u'number': u'S.Amdt. 4878', u'sponsor_party': u'R', u'sponsor': u'Jim Risch', u'sponsor_id': u'R000584', u'sponsor_state': u'Idaho'}","{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,To provide a condition regarding the return of stolen United States military equipment.,G000445,,Not Voting,On the Motion to Table,Motion to Table Agreed to,294,2,18:26:00,"{u'not_voting': 7, u'yes': 61, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/294.json,treatydoc.111,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/111/amendments/samdt4855.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/E000194.json', u'number': u'S.Amdt. 4855', u'sponsor_party': u'R', u'sponsor': u'John Ensign', u'sponsor_id': u'E000194', u'sponsor_state': u'Nev.'}","{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,To amend the Treaty to provide for a clear definition of rail-mobile missiles.,G000445,,Not Voting,On the Amendment,Amendment Rejected,293,2,18:00:00,"{u'not_voting': 5, u'yes': 32, u'present': 0, u'no': 63}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/293.json,treatydoc.111,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'Treaty.Doc..111-5', u'bill_id': u'treatydoc.111-5-111', u'latest_action': None}",Senate,111,2010-12-21,"Treaty between the United States of America and the Russian Federation on Measures for the Further Reduction and Limitation of Strategic Offensive Arms, signed in Prague on April 8, 2010, ...",G000445,,Not Voting,On the Cloture Motion,Cloture Motion Agreed to,292,2,15:13:00,"{u'not_voting': 5, u'yes': 67, u'present': 0, u'no': 28}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/292.json,treatydoc.111,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN1472', u'bill_id': u'pn1472-111', u'latest_action': None}",Senate,111,2010-12-21,"William Joseph Martinez, of Colorado, to be United States District Judge for the District of Colorado",G000445,"{u'nomination_id': u'PN1472-111', u'agency': u'', u'number': u'PN1472', u'name': u'William Joseph Martinez'}",Not Voting,On the Nomination,Nomination Confirmed,291,2,14:55:00,"{u'not_voting': 5, u'yes': 58, u'present': 0, u'no': 37}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/291.json,pn1472,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN1248', u'bill_id': u'pn1248-111', u'latest_action': None}",Senate,111,2010-12-21,"Benita Y. Pearson, of Ohio, to be United States District Judge for the Northern District of Ohio",G000445,"{u'nomination_id': u'PN1248-111', u'agency': u'', u'number': u'PN1248', u'name': u'Benita Y. Pearson'}",Not Voting,On the Nomination,Nomination Confirmed,290,2,14:38:00,"{u'not_voting': 5, u'yes': 56, u'present': 0, u'no': 39}",https://api.propublica.org/congress/v1/111/senate/sessions/2/votes/290.json,pn1248,NA,NA
