amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3610', u'bill_id': u'hr3610-104', u'latest_action': None}",House,104,1996-09-28,Department of Defense Appropriations for F.Y. 1997,G000524,Yes,On Agreeing to the Conference Report,Passed,455,2,22:15:00,"{u'not_voting': 26, u'yes': 370, u'present': 1, u'no': 37}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/455.json,hr3610,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.RES.546', u'bill_id': u'hres546-104', u'latest_action': None}",House,104,1996-09-28,Consideration of Sine Die Resolutions,G000524,Yes,On Ordering the Previous Question,Passed,454,2,20:05:00,"{u'not_voting': 27, u'yes': 223, u'present': 0, u'no': 183}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/454.json,hres546,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.4236', u'bill_id': u'hr4236-104', u'latest_action': None}",House,104,1996-09-28,Omnibus Parks and Public Lands Management Act,G000524,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,453,2,19:46:00,"{u'not_voting': 25, u'yes': 404, u'present': 0, u'no': 4}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/453.json,hr4236,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3163', u'bill_id': u'hr3163-104', u'latest_action': None}",House,104,1996-09-28,State Authority Tax Compensation Act,G000524,Yes,Suspend the rules and pass,Failed,452,2,19:36:00,"{u'not_voting': 25, u'yes': 199, u'present': 0, u'no': 209}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/452.json,hr3163,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.1332', u'bill_id': u'hr1332-104', u'latest_action': None}",House,104,1996-09-28,Omnibus Insular Areas Act of 1996,G000524,Yes,"Suspend the rules and pass, as amended",Passed,451,2,19:25:00,"{u'not_voting': 30, u'yes': 398, u'present': 0, u'no': 5}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/451.json,hr1332,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S.1505', u'bill_id': u's1505-104', u'latest_action': None}",House,104,1996-09-27,Accountable Pipline Safety and Partnership Act of 1996,G000524,Yes,Suspend the rules and pass,Passed,450,2,17:36:00,"{u'not_voting': 32, u'yes': 276, u'present': 0, u'no': 125}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/450.json,s1505,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.4000', u'bill_id': u'hr4000-104', u'latest_action': None}",House,104,1996-09-27,Reestablish POW/MIA Procedures,G000524,Yes,"Suspend the rules and pass, as amended",Passed,449,2,17:27:00,"{u'not_voting': 29, u'yes': 404, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/449.json,hr4000,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S.39', u'bill_id': u's39-104', u'latest_action': None}",House,104,1996-09-27,Sustainable Fisheries Act,G000524,Not Voting,On Motion to Suspend the Rules and Pass,Passed,448,2,15:09:00,"{u'not_voting': 19, u'yes': 384, u'present': 0, u'no': 30}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/448.json,s39,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.4073', u'bill_id': u'hr4073-104', u'latest_action': None}",House,104,1996-09-27,National Underground Railroad Freedom Center,G000524,Not Voting,On Motion to Suspend the Rules and Pass,Failed,447,2,15:00:00,"{u'not_voting': 19, u'yes': 244, u'present': 0, u'no': 170}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/447.json,hr4073,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.3539', u'bill_id': u'hr3539-104', u'latest_action': None}",House,104,1996-09-27,Federal Aviation Authorization Act of 1996,G000524,Yes,On Agreeing to the Conference Report,Passed,446,2,14:18:00,"{u'not_voting': 17, u'yes': 218, u'present': 0, u'no': 198}",https://api.propublica.org/congress/v1/104/house/sessions/2/votes/446.json,hr3539,NA,NA
