amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Passage,Passed,147,1,04:40:00,"{u'not_voting': 9, u'yes': 235, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/147.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Motion to Recommit with Instructions,Failed,146,1,04:33:00,"{u'not_voting': 9, u'yes': 186, u'present': 0, u'no': 238}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/146.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Agreed to,145,1,04:09:00,"{u'not_voting': 11, u'yes': 235, u'present': 0, u'no': 187}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/145.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Failed,144,1,04:06:00,"{u'not_voting': 11, u'yes': 189, u'present': 0, u'no': 233}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/144.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Failed,143,1,02:25:00,"{u'not_voting': 12, u'yes': 93, u'present': 0, u'no': 328}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/143.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Failed,142,1,02:21:00,"{u'not_voting': 12, u'yes': 121, u'present': 0, u'no': 300}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/142.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Agreed to,141,1,02:18:00,"{u'not_voting': 11, u'yes': 239, u'present': 0, u'no': 183}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/141.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Agreed to,140,1,02:15:00,"{u'not_voting': 10, u'yes': 255, u'present': 0, u'no': 168}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/140.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Failed,139,1,02:12:00,"{u'not_voting': 11, u'yes': 209, u'present': 0, u'no': 213}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/139.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
{},"{u'title': u'Full-Year Continuing Appropriations Act, 2011', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1.json', u'latest_action': u'Message on Senate action sent to the House.Note: The bill is the Senate legislative vehicle for Superstorm Sandy supplemental appropriations.', u'sponsor_id': u'R000395', u'bill_id': u'hr1-112'}",House,112,2011-02-19,"Full-Year Continuing Appropriations Act, 2011 ",H000213,Not Voting,On Agreeing to the Amendment,Agreed to,138,1,02:09:00,"{u'not_voting': 12, u'yes': 239, u'present': 0, u'no': 182}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/138.json,hr1,R000395,https://api.propublica.org/congress/v1/112/bills/hr1.json
