amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'PN1556', u'bill_id': u'pn1556-112', u'latest_action': None}",Senate,112,2012-12-13,"Lorna G. Schofield, of New York, to be United States District Judge for the Southern District of New York",I000025,"{u'nomination_id': u'PN1556-112', u'agency': u'', u'number': u'PN1556', u'name': u''}",Not Voting,On the Nomination PN1556,Nomination Confirmed,228,2,14:18:00,"{u'not_voting': 9, u'yes': 91, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/228.json,pn1556,NA,NA
{},"{u'title': u'A bill to temporarily extend the transaction account guarantee program, and for other purposes.', u'number': u'S.3637', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s3637.json', u'latest_action': u'Senate floor actions. Status: Motion by Senator Reid to commit to Senate Committee on Banking, Housing, and Urban Affairs with instructions to report back forthwith with amendment SA 3316 fell when the bill was committed in Senate.', u'sponsor_id': u'R000146', u'bill_id': u's3637-112'}",Senate,112,2012-12-13,"A bill to temporarily extend the transaction account guarantee program, and for other purposes.",I000025,,Not Voting,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S.3637),Motion Rejected,227,2,12:01:00,"{u'not_voting': 8, u'yes': 50, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/227.json,s3637,R000146,https://api.propublica.org/congress/v1/112/bills/s3637.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1405', u'bill_id': u'pn1405-112', u'latest_action': None}",Senate,112,2012-12-11,"John E. Dowdell, of Oklahoma, to be United States District Judge for the Northern District of Oklahoma",I000025,"{u'nomination_id': u'PN1405-112', u'agency': u'', u'number': u'PN1405', u'name': u''}",Not Voting,On the Nomination PN1405,Nomination Confirmed,226,2,16:32:00,"{u'not_voting': 5, u'yes': 95, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/226.json,pn1405,NA,NA
{},"{u'title': u'A bill to temporarily extend the transaction account guarantee program, and for other purposes.', u'number': u'S.3637', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s3637.json', u'latest_action': u'Senate floor actions. Status: Motion by Senator Reid to commit to Senate Committee on Banking, Housing, and Urban Affairs with instructions to report back forthwith with amendment SA 3316 fell when the bill was committed in Senate.', u'sponsor_id': u'R000146', u'bill_id': u's3637-112'}",Senate,112,2012-12-11,"A bill to temporarily extend the transaction account guarantee program, and for other purposes.",I000025,,Not Voting,On Cloture on the Motion to Proceed S. 3637,Cloture on the Motion to Proceed Agreed to,225,2,14:16:00,"{u'not_voting': 4, u'yes': 76, u'present': 0, u'no': 20}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/225.json,s3637,R000146,https://api.propublica.org/congress/v1/112/bills/s3637.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1383', u'bill_id': u'pn1383-112', u'latest_action': None}",Senate,112,2012-12-06,"Mark E. Walker, of Florida, to be United States District Judge for the Northern District of Florida",I000025,"{u'nomination_id': u'PN1383-112', u'agency': u'', u'number': u'PN1383', u'name': u''}",Not Voting,On the Nomination PN1383,Nomination Confirmed,224,2,12:48:00,"{u'not_voting': 6, u'yes': 94, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/224.json,pn1383,NA,NA
{},"{u'title': u'Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012', u'number': u'H.R.6156', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr6156.json', u'latest_action': u'Became Public Law No: 112-208', u'sponsor_id': u'C000071', u'bill_id': u'hr6156-112'}",Senate,112,2012-12-06,A bill to authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to products of the Russian Federation and Moldova and to require reports on the compliance of the ...,I000025,,Not Voting,On Passage of the Bill H.R. 6156,Bill Passed,223,2,12:10:00,"{u'not_voting': 4, u'yes': 92, u'present': 0, u'no': 4}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/223.json,hr6156,C000071,https://api.propublica.org/congress/v1/112/bills/hr6156.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN1341', u'bill_id': u'pn1341-112', u'latest_action': None}",Senate,112,2012-12-05,"Michael P. Shea, of Connecticut, to be United States District Judge for the District of Connecticut",I000025,"{u'nomination_id': u'PN1341-112', u'agency': u'', u'number': u'PN1341', u'name': u''}",Yes,On the Nomination PN1341,Nomination Confirmed,222,2,17:28:00,"{u'not_voting': 5, u'yes': 72, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/222.json,pn1341,NA,NA
{},"{u'title': u'National Defense Authorization Act for Fiscal Year 2013', u'number': u'S.3254', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s3254.json', u'latest_action': u'Pursuant to the provisions of H. Res. 829, papers are returned to the Senate.', u'sponsor_id': u'L000261', u'bill_id': u's3254-112'}",Senate,112,2012-12-04,National Defense Authorization Act for Fiscal Year 2013,I000025,,Yes,On Passage of the Bill S. 3254,Bill Passed,221,2,17:06:00,"{u'not_voting': 2, u'yes': 98, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/221.json,s3254,L000261,https://api.propublica.org/congress/v1/112/bills/s3254.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/112/amendments/samdt3262.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/M000303.json', u'number': u'S.Amdt. 3262', u'sponsor_party': u'R', u'sponsor': u'John McCain', u'sponsor_id': u'M000303', u'sponsor_state': u'Ariz.'}","{u'title': u'National Defense Authorization Act for Fiscal Year 2013', u'number': u'S. 3254', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s3254.json', u'latest_action': u'Pursuant to the provisions of H. Res. 829, papers are returned to the Senate.', u'sponsor_id': u'L000261', u'bill_id': u's3254-112'}",Senate,112,2012-12-04,National Defense Authorization Act for Fiscal Year 2013,I000025,,Yes,On the Amendment S.Amdt. 3262 to S. 3254 (National Defense Authorization Act for Fiscal Year 2013),Amendment Agreed to,220,2,16:40:00,"{u'not_voting': 2, u'yes': 92, u'present': 0, u'no': 6}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/220.json,s3254,L000261,https://api.propublica.org/congress/v1/112/bills/s3254.json
{},"{u'api_uri': None, u'title': None, u'number': u'TreatyDoc.112-7', u'bill_id': u'treatydoc.112-7-112', u'latest_action': None}",Senate,112,2012-12-04,"The Convention on the Rights of Persons with Disabilities, adopted by the United Nations General Assembly on December 13, 2006, and signed by the United States of America on June ...",I000025,,Yes,On the Resolution of Ratification Treaty Doc. 112-7,Resolution of Ratification Rejected,219,2,12:06:00,"{u'not_voting': 1, u'yes': 61, u'present': 0, u'no': 38}",https://api.propublica.org/congress/v1/112/senate/sessions/2/votes/219.json,treatydoc.112,NA,NA
