amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To allow otherwise eligible Israeli nationals to receive E-2  nonimmigrant visas if similarly situated United States nationals are eligible for similar nonimmigrant status in Israel.', u'number': u'H R 3992', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3992.json', u'latest_action': u'Became Public Law No: 112-130', u'sponsor_id': u'B000410', u'bill_id': u'hr3992-112'}",House,112,2012-03-19,To allow otherwise eligible Israeli nationals to receive E-2 nonimmigrant visas if similarly situated United States nationals are eligible for similar nonimmigrant status in Israel,I000026,Yes,On Motion to Suspend the Rules and Pass,Passed,111,2,18:55:00,"{u'not_voting': 61, u'yes': 371, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/111.json,hr3992,B000410,https://api.propublica.org/congress/v1/112/bills/hr3992.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-08,Jumpstart Our Business Startups Act,I000026,Yes,On Passage,Passed,110,2,13:04:00,"{u'not_voting': 19, u'yes': 390, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/110.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-08,Jumpstart Our Business Startups Act,I000026,Yes,On Motion to Recommit with Instructions,Failed,109,2,12:50:00,"{u'not_voting': 18, u'yes': 170, u'present': 0, u'no': 244}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/109.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-08,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,108,2,12:22:00,"{u'not_voting': 24, u'yes': 172, u'present': 0, u'no': 236}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/108.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-08,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,107,2,12:18:00,"{u'not_voting': 18, u'yes': 175, u'present': 0, u'no': 239}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/107.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-07,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,106,2,18:37:00,"{u'not_voting': 11, u'yes': 185, u'present': 0, u'no': 236}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/106.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-07,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,105,2,18:33:00,"{u'not_voting': 12, u'yes': 161, u'present': 0, u'no': 259}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/105.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-07,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,104,2,18:26:00,"{u'not_voting': 19, u'yes': 169, u'present': 0, u'no': 244}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/104.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Jumpstart Our Business Startups Act', u'number': u'H R 3606', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr3606.json', u'latest_action': u'Became Public Law No: 112-106.', u'sponsor_id': u'F000458', u'bill_id': u'hr3606-112'}",House,112,2012-03-07,Jumpstart Our Business Startups Act,I000026,Yes,On Agreeing to the Amendment,Failed,103,2,18:22:00,"{u'not_voting': 23, u'yes': 164, u'present': 0, u'no': 245}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/103.json,hr3606,F000458,https://api.propublica.org/congress/v1/112/bills/hr3606.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 3606) to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies.', u'number': u'H RES 572', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hres572.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'S000250', u'bill_id': u'hres572-112'}",House,112,2012-03-07,"Providing for consideration of H. R. 3606, to increase American job creation and economic growth by improving access to the public capital markets for emerging growth companies",I000026,No,On Agreeing to the Resolution,Passed,102,2,15:01:00,"{u'not_voting': 14, u'yes': 252, u'present': 0, u'no': 166}",https://api.propublica.org/congress/v1/112/house/sessions/2/votes/102.json,hres572,S000250,https://api.propublica.org/congress/v1/112/bills/hres572.json
