amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'QUORUM', u'bill_id': u'quorum-108', u'latest_action': None}",House,108,2004-01-20,,J000286,Not Voting,Call of the House,Passed,1,2,12:32:00,"{u'not_voting': 113, u'yes': 0, u'present': 321, u'no': 0}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/1.json,quorum,NA,NA
{},"{u'title': u'Relating to a question of the privileges of the House.', u'number': u'H RES 474', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres474.json', u'latest_action': u'House floor actions. Status: On motion to table the measure Agreed to by the Yeas and Nays: 207 - 182 (Roll no. 677).', u'sponsor_id': u'P000197', u'bill_id': u'hres474-108'}",House,108,2003-12-08,Relating to a question of the privileges of the House.,J000286,Not Voting,On Motion that the Resolution be Laid on the Table,Passed,677,1,17:04:00,"{u'not_voting': 45, u'yes': 207, u'present': 0, u'no': 182}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/677.json,hres474,P000197,https://api.propublica.org/congress/v1/108/bills/hres474.json
{},"{u'title': u'Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.', u'number': u'H R 2673', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr2673.json', u'latest_action': u'Became Public Law No: 108-199', u'sponsor_id': u'B000617', u'bill_id': u'hr2673-108'}",House,108,2003-12-08,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2004",J000286,Not Voting,On Agreeing to the Conference Report,Passed,676,1,15:23:00,"{u'not_voting': 17, u'yes': 242, u'present': 0, u'no': 176}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/676.json,hr2673,B000617,https://api.propublica.org/congress/v1/108/bills/hr2673.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 2673) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.', u'number': u'H RES 473', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres473.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 216 - 189 (Roll no. 675).', u'sponsor_id': u'H000329', u'bill_id': u'hres473-108'}",House,108,2003-12-08,"Waiving points of order against the conference report to accompany the bill (H.R. 2673) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal ...",J000286,Not Voting,On Agreeing to the Resolution,Passed,675,1,13:43:00,"{u'not_voting': 29, u'yes': 216, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/675.json,hres473,H000329,https://api.propublica.org/congress/v1/108/bills/hres473.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 2673) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.', u'number': u'H RES 473', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres473.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 216 - 189 (Roll no. 675).', u'sponsor_id': u'H000329', u'bill_id': u'hres473-108'}",House,108,2003-12-08,"Waiving points of order against the conference report to accompany the bill (H.R. 2673) making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal ...",J000286,Not Voting,On Ordering the Previous Question,Passed,674,1,13:34:00,"{u'not_voting': 31, u'yes': 214, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/674.json,hres473,H000329,https://api.propublica.org/congress/v1/108/bills/hres473.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 465', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres465.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 212 - 182 (Roll no. 673).', u'sponsor_id': u'L000321', u'bill_id': u'hres465-108'}",House,108,2003-12-08,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,J000286,Not Voting,On Agreeing to the Resolution,Passed,673,1,12:30:00,"{u'not_voting': 40, u'yes': 212, u'present': 0, u'no': 182}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/673.json,hres465,L000321,https://api.propublica.org/congress/v1/108/bills/hres465.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 465', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres465.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 212 - 182 (Roll no. 673).', u'sponsor_id': u'L000321', u'bill_id': u'hres465-108'}",House,108,2003-12-08,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,J000286,Not Voting,On Ordering the Previous Question,Passed,672,1,12:21:00,"{u'not_voting': 44, u'yes': 211, u'present': 0, u'no': 179}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/672.json,hres465,L000321,https://api.propublica.org/congress/v1/108/bills/hres465.json
{},"{u'title': u'A bill to regulate interstate commerce by imposing limitations and penalties on the transmission of unsolicited commercial electronic mail via the Internet.', u'number': u'S 877', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/s877.json', u'latest_action': u'Became Public Law No: 108-187', u'sponsor_id': u'B001126', u'bill_id': u's877-108'}",House,108,2003-11-22,Controlling the Assault of Non-Solicited Pornography and Marketing Act of 2003,J000286,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,671,1,06:23:00,"{u'not_voting': 37, u'yes': 392, u'present': 0, u'no': 5}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/671.json,s877,B001126,https://api.propublica.org/congress/v1/108/bills/s877.json
{},"{u'title': u'An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr1.json', u'latest_action': u'Became Public Law No: 108-173', u'sponsor_id': u'H000323', u'bill_id': u'hr1-108'}",House,108,2003-11-22,"Medicare Prescription Drug, Improvement, and Modernization Act",J000286,Yes,Table the Motion to Reconsider,Passed,670,1,06:13:00,"{u'not_voting': 32, u'yes': 210, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/670.json,hr1,H000323,https://api.propublica.org/congress/v1/108/bills/hr1.json
{},"{u'title': u'An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr1.json', u'latest_action': u'Became Public Law No: 108-173', u'sponsor_id': u'H000323', u'bill_id': u'hr1-108'}",House,108,2003-11-22,"Medicare Prescription Drug, Improvement, and Modernization Act",J000286,Yes,On Agreeing to the Conference Report,Passed,669,1,05:53:00,"{u'not_voting': 0, u'yes': 220, u'present': 0, u'no': 215}",https://api.propublica.org/congress/v1/108/house/sessions/1/votes/669.json,hr1,H000323,https://api.propublica.org/congress/v1/108/bills/hr1.json
