amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H R 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",House,110,2007-12-19,"Department of State, Foreign Operations, and Related Programs Appropriations for FY 2008",J000287,Not Voting,Agree to Senate Adt to House Adt to Senate Adt,Passed,1186,1,17:26:00,"{u'not_voting': 18, u'yes': 272, u'present': 0, u'no': 142}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1186.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{},"{u'title': u'To establish consumer product safety standards and other safety requirements for children&#39;s products and to reauthorize and modernize the Consumer Product Safety Commission.', u'number': u'H R 4040', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr4040.json', u'latest_action': u'Became Public Law No: 110-314', u'sponsor_id': u'R000515', u'bill_id': u'hr4040-110'}",House,110,2007-12-19,Consumer Product Safety Modernization Act,J000287,Not Voting,"On Motion to Suspend the Rules and Pass, as Amended",Passed,1185,1,16:36:00,"{u'not_voting': 25, u'yes': 407, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1185.json,hr4040,R000515,https://api.propublica.org/congress/v1/110/bills/hr4040.json
{},"{u'title': u'A bill to amend titles XVIII, XIX, and XXI of the Social Security Act to extend provisions under the Medicare, Medicaid, and SCHIP programs, and for other purposes.', u'number': u'S 2499', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s2499.json', u'latest_action': u'Became Public Law No: 110-173', u'sponsor_id': u'B000243', u'bill_id': u's2499-110'}",House,110,2007-12-19,SCHIP Extension Act,J000287,Not Voting,On Motion to Suspend the Rules and Pass,Passed,1184,1,16:30:00,"{u'not_voting': 18, u'yes': 411, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1184.json,s2499,B000243,https://api.propublica.org/congress/v1/110/bills/s2499.json
{},"{u'title': u'To amend the Internal Revenue Code of 1986 to extend certain expiring provisions, and for other purposes.', u'number': u'H R 3996', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3996.json', u'latest_action': u'Became Public Law No: 110-166', u'sponsor_id': u'R000053', u'bill_id': u'hr3996-110'}",House,110,2007-12-19,Temporary Tax Relief Act of 2007,J000287,Not Voting,Suspend the Rules and Agree to the Senate amendment,Passed,1183,1,16:19:00,"{u'not_voting': 17, u'yes': 352, u'present': 0, u'no': 64}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1183.json,hr3996,R000053,https://api.propublica.org/congress/v1/110/bills/hr3996.json
{},"{u'title': u'To provide for the transfer of the Library of Congress police to the United States Capitol Police, and for other purposes.', u'number': u'H R 3690', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3690.json', u'latest_action': u'Became Public Law No: 110-178', u'sponsor_id': u'B001227', u'bill_id': u'hr3690-110'}",House,110,2007-12-18,U.S. Capitol Police and Library of Congress Police Merger Implementation Act of 2007.,J000287,Not Voting,Suspend the Rules and Agree to the Senate amendment,Passed,1182,1,17:56:00,"{u'not_voting': 19, u'yes': 413, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1182.json,hr3690,B001227,https://api.propublica.org/congress/v1/110/bills/hr3690.json
{},"{u'title': u'Providing for the concurrence by the House in the Senate amendments to H.R. 3997, with an amendment.', u'number': u'H RES 884', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres884.json', u'latest_action': u'Passed/agreed to in House. Status: On motion to suspend the rules and agree to the resolution Agreed to by the Yeas and Nays: (2/3 required): 411 - 0 (Roll no. 1181).', u'sponsor_id': u'R000053', u'bill_id': u'hres884-110'}",House,110,2007-12-18,"Providing for the concurrence by the House in the Senate Amendments to H.R. 3997, with an amendment",J000287,Not Voting,On Motion to Suspend the Rules and Agree,Passed,1181,1,17:47:00,"{u'not_voting': 21, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1181.json,hres884,R000053,https://api.propublica.org/congress/v1/110/bills/hres884.json
{},"{u'title': u'Expressing the unconditional support of the House of Representatives for the members of the National Guard.', u'number': u'H RES 542', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres542.json', u'latest_action': u'Passed/agreed to in House. Status: On motion to suspend the rules and agree to the resolution, as amended Agreed to by the Yeas and Nays: (2/3 required): 408 - 0 (Roll no. 1180).', u'sponsor_id': u'B001247', u'bill_id': u'hres542-110'}",House,110,2007-12-18,Expressing the unconditional support of the House of Representatives for the members of the National Guard,J000287,Not Voting,"On Motion to Suspend the Rules and Agree, as Amended",Passed,1180,1,15:56:00,"{u'not_voting': 24, u'yes': 408, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1180.json,hres542,B001247,https://api.propublica.org/congress/v1/110/bills/hres542.json
{},"{u'title': u'An original bill to authorize State and local governments to divest assets in companies that conduct business operations in Sudan, to prohibit United States Government contracts with such companies, and for other purposes.', u'number': u'S 2271', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s2271.json', u'latest_action': u'Became Public Law No: 110-174', u'sponsor_id': u'D000388', u'bill_id': u's2271-110'}",House,110,2007-12-18,Sudan Accountability and Divestment Act,J000287,Not Voting,On Motion to Suspend the Rules and Pass,Passed,1179,1,15:49:00,"{u'not_voting': 22, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1179.json,s2271,D000388,https://api.propublica.org/congress/v1/110/bills/s2271.json
{},"{u'title': u'To extend the Terrorism Insurance Program of the Department of the Treasury, and for other purposes.', u'number': u'H R 2761', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2761.json', u'latest_action': u'Became Public Law No: 110-160', u'sponsor_id': u'C001037', u'bill_id': u'hr2761-110'}",House,110,2007-12-18,Terrorism Risk Insurance Revision and Extension Act,J000287,Not Voting,Suspend the Rules and Agree to the Senate amendment,Passed,1178,1,15:43:00,"{u'not_voting': 19, u'yes': 360, u'present': 0, u'no': 53}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1178.json,hr2761,C001037,https://api.propublica.org/congress/v1/110/bills/hr2761.json
{},"{u'title': u'An Act to move the United States toward greater energy independence and security, to increase the production of clean renewable fuels, to protect consumers, to increase the  efficiency of products, buildings, and vehicles, to promote research on and deploy greenhouse gas capture and storage options, and to improve the energy performance of the Federal Government, and for other purposes.', u'number': u'H R 6', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6.json', u'latest_action': u'Became Public Law No: 110-140', u'sponsor_id': u'R000011', u'bill_id': u'hr6-110'}",House,110,2007-12-18,Energy Independence and Security Act,J000287,Not Voting,On Agreeing to Senate Adt to House Adt to Senate Adt,Passed,1177,1,13:45:00,"{u'not_voting': 19, u'yes': 314, u'present': 0, u'no': 100}",https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1177.json,hr6,R000011,https://api.propublica.org/congress/v1/110/bills/hr6.json
