amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4328', u'bill_id': u'h.r.4328-105', u'latest_action': None}",Senate,105,1998-10-21,Conference Report H.R. 4328; Women&#39;s Health and Cancer Rights Act of 1998,K000088,Yes,On the Conference Report,Agreed to,314,2,09:02:00,"{u'not_voting': 6, u'yes': 65, u'present': 0, u'no': 29}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/314.json,h.r.4328,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3150', u'bill_id': u'h.r.3150-105', u'latest_action': None}",Senate,105,1998-10-09,Motion to Proceed to Consider Conference Report on H.R.3150; Bankruptcy Reform Act of 1998,K000088,Yes,On the Motion to Proceed,Agreed to,313,2,18:00:00,"{u'not_voting': 4, u'yes': 94, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/313.json,h.r.3150,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4104', u'bill_id': u'h.r.4104-105', u'latest_action': None}",Senate,105,1998-10-09,"Motion to Proceed to Consider Conference Report on H.R.4104; Treasury and General Government Appropriations Act, 1999",K000088,Yes,On the Motion to Proceed,Agreed to,312,2,15:46:00,"{u'not_voting': 3, u'yes': 58, u'present': 0, u'no': 39}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/312.json,h.r.4104,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4250', u'bill_id': u'h.r.4250-105', u'latest_action': None}",Senate,105,1998-10-09,Motion to Table Motion to Proceed to Consider H.R.4250; Patient Protection Act of 1998,K000088,Yes,On the Motion to Table,Agreed to,311,2,11:26:00,"{u'not_voting': 3, u'yes': 50, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/311.json,h.r.4250,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2431', u'bill_id': u'h.r.2431-105', u'latest_action': None}",Senate,105,1998-10-09,H.R.2431 as Amended; International Religious Freedom Act of 1998,K000088,Yes,On Passage of the Bill,Passed,310,2,09:51:00,"{u'not_voting': 2, u'yes': 98, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/310.json,h.r.2431,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'', u'bill_id': u'-105', u'latest_action': None}",Senate,105,1998-10-08,nomination William A. Fletcher re: U.S.Circuit Judge for 9th Circuit,K000088,No,On the Nomination,Confirmed,309,2,15:29:00,"{u'not_voting': 2, u'yes': 57, u'present': 0, u'no': 41}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/309.json,,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..442', u'bill_id': u's.442-105', u'latest_action': None}",Senate,105,1998-10-08,S. 442 as amended; Internet Tax Freedom Act,K000088,Yes,On Passage of the Bill,Passed,308,2,12:44:00,"{u'not_voting': 2, u'yes': 96, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/308.json,s.442,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4194', u'bill_id': u'h.r.4194-105', u'latest_action': None}",Senate,105,1998-10-08,"conference report H.R. 4194; Departments of Veterans Affairs and Housing and Urban Development, and Independent Agencies Appropriations Act, 1999",K000088,Yes,On the Conference Report,Agreed to,307,2,11:04:00,"{u'not_voting': 3, u'yes': 96, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/307.json,h.r.4194,NA,NA
{u'number': u'S.Amdt. 3719'},"{u'api_uri': None, u'title': None, u'number': u'S..442', u'bill_id': u's.442-105', u'latest_action': None}",Senate,105,1998-10-07,Motion to Table Mccain Amdt. No. 3719 (As Amended and Modified); To make minor and technical changes in the moratorium provision.,K000088,No,On the Motion to Table ,Rejected,306,2,18:56:00,"{u'not_voting': 3, u'yes': 28, u'present': 0, u'no': 69}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/306.json,s.442,NA,NA
{u'number': u'S.Amdt. 3783'},"{u'api_uri': None, u'title': None, u'number': u'S..442', u'bill_id': u's.442-105', u'latest_action': None}",Senate,105,1998-10-07,Mccain Amdt. No. 3783; To extend the ending date of the moratorium.,K000088,No,On the Amendment ,Rejected,305,2,17:47:00,"{u'not_voting': 3, u'yes': 45, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/105/senate/sessions/2/votes/305.json,s.442,NA,NA
