amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,A bill making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.,K000105,,Not Voting,On Passage of the Bill,Bill Passed,270,1,19:58:00,"{u'not_voting': 3, u'yes': 60, u'present': 0, u'no': 37}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/270.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,A bill making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.,K000105,,Not Voting,On the Motion,Motion Agreed to,269,1,19:38:00,"{u'not_voting': 3, u'yes': 60, u'present': 0, u'no': 37}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/269.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2306'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,"To amend the Internal Revenue Code of 1986 to provide an income tax credit for certain home purchasers, and to transfer to the Treasury unobligated funds made available by the ...",K000105,,Not Voting,On the Motion,Motion Rejected,268,1,19:20:00,"{u'not_voting': 3, u'yes': 47, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/268.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2303'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,To provide for a date certain for termination of the Troubled Asset Relief Program.,K000105,,Not Voting,On the Amendment,Amendment Rejected,267,1,19:03:00,"{u'not_voting': 3, u'yes': 41, u'present': 0, u'no': 56}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/267.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2304'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,To provide assistance to charities and families in need.,K000105,,Not Voting,On the Motion,Motion Rejected,266,1,18:45:00,"{u'not_voting': 3, u'yes': 41, u'present': 0, u'no': 56}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/266.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2302'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,To protect the generations of tomorrow from paying for new cars today.,K000105,,Not Voting,On the Motion,Motion Rejected,265,1,18:26:00,"{u'not_voting': 3, u'yes': 46, u'present': 0, u'no': 51}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/265.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2301'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,In the nature of a substitute.,K000105,,Not Voting,On the Amendment,Amendment Rejected,264,1,18:08:00,"{u'not_voting': 3, u'yes': 40, u'present': 0, u'no': 57}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/264.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{u'number': u'S.Amdt. 2300'},"{u'title': u'Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.', u'number': u'H.R. 3435', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3435.json', u'latest_action': u'Became Public Law No: 111-47', u'sponsor_id': u'O000007', u'bill_id': u'hr3435-111'}",Senate,111,2009-08-06,"To limit the provision of vouchers to individuals with adjusted gross income of less than $50,000 or joint filers with adjusted gross incomes of less than $75,000.",K000105,,Not Voting,On the Motion to Table,Motion to Table Agreed to,263,1,17:41:00,"{u'not_voting': 3, u'yes': 65, u'present': 0, u'no': 32}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/263.json,hr3435,O000007,https://api.propublica.org/congress/v1/111/bills/hr3435.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN506', u'bill_id': u'pn506-111', u'latest_action': None}",Senate,111,2009-08-06,"Sonia Sotomayor, of New York, to be an Associate Justice of the Supreme Court of the United States",K000105,"{u'nomination_id': u'PN506-111', u'agency': u'', u'number': u'PN506', u'name': u'Sonia Sotomayor'}",Not Voting,On the Nomination,Nomination Confirmed,262,1,15:03:00,"{u'not_voting': 1, u'yes': 68, u'present': 0, u'no': 31}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/262.json,pn506,NA,NA
{},"{u'title': u'Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H.R. 2997', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2997.json', u'latest_action': u'Became Public Law No: 111-80', u'sponsor_id': u'D000216', u'bill_id': u'hr2997-111'}",Senate,111,2009-08-04,"A bill making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2010, and for other purposes.",K000105,,Not Voting,On Passage of the Bill,Bill Passed,261,1,17:27:00,"{u'not_voting': 3, u'yes': 80, u'present': 0, u'no': 17}",https://api.propublica.org/congress/v1/111/senate/sessions/1/votes/261.json,hr2997,D000216,https://api.propublica.org/congress/v1/111/bills/hr2997.json
