amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt953.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/D000563.json', u'number': u'S.Amdt. 953', u'sponsor_party': u'D', u'sponsor': u'Richard J. Durbin', u'sponsor_id': u'D000563', u'sponsor_state': u'Ill.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-23,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 953 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Agreed to,139,1,15:42:00,"{u'not_voting': 8, u'yes': 59, u'present': 0, u'no': 33}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/139.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt1031.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/H001049.json', u'number': u'S.Amdt. 1031', u'sponsor_party': u'D', u'sponsor': u'Kay Hagan', u'sponsor_id': u'H001049', u'sponsor_state': u'N.C.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-23,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 1031 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Agreed to,138,1,15:15:00,"{u'not_voting': 6, u'yes': 94, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/138.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt923.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/F000062.json', u'number': u'S.Amdt. 923', u'sponsor_party': u'D', u'sponsor': u'Dianne Feinstein', u'sponsor_id': u'F000062', u'sponsor_state': u'Calif.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-23,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 923 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,137,1,14:28:00,"{u'not_voting': 4, u'yes': 44, u'present': 0, u'no': 52}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/137.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
{},"{u'api_uri': None, u'title': None, u'number': u'PN6', u'bill_id': u'pn6-113', u'latest_action': None}",Senate,113,2013-05-23,"Srikanth Srinivasan, of Virginia, to be United States Circuit Judge for the District of Columbia Circuit",L000123,"{u'nomination_id': u'PN6-113', u'agency': u'', u'number': u'PN6', u'name': u''}",Not Voting,On the Nomination PN6,Nomination Confirmed,136,1,13:59:00,"{u'not_voting': 3, u'yes': 97, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/136.json,pn6,NA,NA
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt965.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/S000033.json', u'number': u'S.Amdt. 965', u'sponsor_party': u'I', u'sponsor': u'Bernard Sanders', u'sponsor_id': u'S000033', u'sponsor_state': u'Vt.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-23,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 965 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,135,1,10:38:00,"{u'not_voting': 2, u'yes': 27, u'present': 0, u'no': 71}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/135.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt925.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/S001181.json', u'number': u'S.Amdt. 925', u'sponsor_party': u'D', u'sponsor': u'Jeanne Shaheen', u'sponsor_id': u'S001181', u'sponsor_state': u'N.H.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-22,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 925 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,134,1,17:04:00,"{u'not_voting': 1, u'yes': 45, u'present': 0, u'no': 54}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/134.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
{},"{u'title': u'A resolution strongly supporting the full implementation of United States and international sanctions on Iran and urging the President to continue to strengthen enforcement of sanctions legislation.', u'number': u'S.Res.65', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/sres65.json', u'latest_action': u'Resolution agreed to in Senate with an amendment and with a preamble by Yea-Nay Vote. 99 - 0. Record Vote Number: 133. (text: CR S3745)', u'sponsor_id': u'G000359', u'bill_id': u'sres65-113'}",Senate,113,2013-05-22,A resolution strongly supporting the full implementation of United States and international sanctions on Iran and urging the President to continue to strengthen enforcement of sanctions legislation.,L000123,,Not Voting,On the Resolution S.Res. 65,Resolution Agreed to,133,1,16:36:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/133.json,sres65,G000359,https://api.propublica.org/congress/v1/113/bills/sres65.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt960.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/I000024.json', u'number': u'S.Amdt. 960', u'sponsor_party': u'R', u'sponsor': u'James M. Inhofe', u'sponsor_id': u'I000024', u'sponsor_state': u'Okla.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-22,An original bill to reauthorize agricultural programs through 2018.,L000123,,Not Voting,"On the Amendment S.Amdt. 960 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,132,1,12:00:00,"{u'not_voting': 4, u'yes': 36, u'present': 0, u'no': 60}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/132.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt931.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/G000555.json', u'number': u'S.Amdt. 931', u'sponsor_party': u'D', u'sponsor': u'Kirsten E. Gillibrand', u'sponsor_id': u'G000555', u'sponsor_state': u'N.Y.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-21,An original bill to reauthorize agricultural programs through 2018.,L000123,,Yes,"On the Amendment S.Amdt. 931 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,131,1,16:35:00,"{u'not_voting': 4, u'yes': 26, u'present': 0, u'no': 70}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/131.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
"{u'api_uri': u'https://api.propublica.org/congress/v1/113/amendments/samdt948.json', u'sponsor_uri': u'https://api.propublica.org/congress/v1/members/R000307.json', u'number': u'S.Amdt. 948', u'sponsor_party': u'R', u'sponsor': u'Pat Roberts', u'sponsor_id': u'R000307', u'sponsor_state': u'Kan.'}","{u'title': u'An original bill to reauthorize agricultural programs through 2018.', u'number': u'S. 954', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/s954.json', u'latest_action': u'By Senator Stabenow from Committee on Agriculture, Nutrition, and Forestry filed written report under authority of the order of the Senate of 08/01/2013. Report No. 113-88. Additional views filed.', u'sponsor_id': u'S000770', u'bill_id': u's954-113'}",Senate,113,2013-05-21,An original bill to reauthorize agricultural programs through 2018.,L000123,,No,"On the Amendment S.Amdt. 948 to S. 954 (Agriculture Reform, Food, and Jobs Act of 2013)",Amendment Rejected,130,1,16:07:00,"{u'not_voting': 2, u'yes': 40, u'present': 0, u'no': 58}",https://api.propublica.org/congress/v1/113/senate/sessions/1/votes/130.json,s954,S000770,https://api.propublica.org/congress/v1/113/bills/s954.json
