amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To amend the Communications Act of 1934 to strengthen and clarify prohibitions on electronic eavesdropping, and for other purposes.', u'number': u'H R 514', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr514.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and read twice and referred to the Committee on Commerce.', u'sponsor_id': u'W000789', u'bill_id': u'hr514-106'}",House,106,1999-02-25,Wireless Privacy Enhancement Act,L000371,Not Voting,On Passage,Passed,28,1,11:47:00,"{u'not_voting': 28, u'yes': 403, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/28.json,hr514,W000789,https://api.propublica.org/congress/v1/106/bills/hr514.json
{},"{u'api_uri': None, u'title': None, u'number': u'JOURNAL', u'bill_id': u'journal-106', u'latest_action': None}",House,106,1999-02-25,,L000371,Yes,On Approving the Journal,Passed,27,1,10:22:00,"{u'not_voting': 41, u'yes': 362, u'present': 2, u'no': 28}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/27.json,journal,NA,NA
{},"{u'title': u'To improve the effectiveness and performance of Federal financial assistance programs, simplify Federal financial assistance application and reporting requirements, and improve the delivery of services to the public.', u'number': u'H R 409', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr409.json', u'latest_action': u'Referred to Senate subcommittee. Status: Referred to Subcommittee on Oversight of Government Management.', u'sponsor_id': u'P000449', u'bill_id': u'hr409-106'}",House,106,1999-02-24,Federal Financial Assistance Management Improvement Act,L000371,Not Voting,On Passage,Passed,26,1,14:29:00,"{u'not_voting': 7, u'yes': 426, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/26.json,hr409,P000449,https://api.propublica.org/congress/v1/106/bills/hr409.json
{},"{u'title': u'To reduce waste, fraud, and error in Government programs by making improvements with respect to Federal management and debt collection practices, Federal payment systems, Federal benefit programs, and for other purposes.', u'number': u'H R 436', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr436.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and read twice and referred to the Committee on Governmental Affairs.', u'sponsor_id': u'H000789', u'bill_id': u'hr436-106'}",House,106,1999-02-24,"Government Waste, Fraud and Error Reduction Act",L000371,Not Voting,On Passage,Passed,25,1,13:12:00,"{u'not_voting': 13, u'yes': 419, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/25.json,hr436,H000789,https://api.propublica.org/congress/v1/106/bills/hr436.json
{},"{u'title': u'To promote and enhance public safety through use of 911 as the universal emergency assistance number, and for other purposes.', u'number': u'H R 438', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr438.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and read twice and referred to the Committee on Commerce.', u'sponsor_id': u'S000364', u'bill_id': u'hr438-106'}",House,106,1999-02-24,Wireless Communications and Public Safety Act,L000371,Not Voting,On Passage,Passed,24,1,11:51:00,"{u'not_voting': 16, u'yes': 415, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/24.json,hr438,S000364,https://api.propublica.org/congress/v1/106/bills/hr438.json
{},"{u'title': u'To designate a portion of the Sudbury, Assabet, and Concord Rivers as a component of the National Wild and Scenic Rivers System.', u'number': u'H R 193', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr193.json', u'latest_action': u'Became Public Law No: 106-20', u'sponsor_id': u'M000627', u'bill_id': u'hr193-106'}",House,106,1999-02-23,"Sudbury, Assabet, and Concord Wild and Scenic River Act",L000371,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,23,1,15:58:00,"{u'not_voting': 16, u'yes': 395, u'present': 0, u'no': 22}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/23.json,hr193,M000627,https://api.propublica.org/congress/v1/106/bills/hr193.json
{},"{u'title': u'To authorize appropriations for the Coastal Heritage Trail Route in New Jersey, and for other purposes.', u'number': u'H R 171', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr171.json', u'latest_action': u'Became Public Law No: 106-18', u'sponsor_id': u'L000554', u'bill_id': u'hr171-106'}",House,106,1999-02-23,Coastal Heritage Trail Route in New Jersey,L000371,Yes,On Motion to Suspend the Rules and Pass,Passed,22,1,15:45:00,"{u'not_voting': 18, u'yes': 394, u'present': 0, u'no': 21}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/22.json,hr171,L000554,https://api.propublica.org/congress/v1/106/bills/hr171.json
{},"{u'title': u'To provide for a Chief Financial Officer in the Executive Office of the President.', u'number': u'H R 437', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr437.json', u'latest_action': u'Referred to Senate committee. Status: Read twice and referred to the Committee on Governmental Affairs.', u'sponsor_id': u'H000789', u'bill_id': u'hr437-106'}",House,106,1999-02-11,Presidential and Executive Office Financial Accountability Act,L000371,Yes,On Passage,Passed,21,1,15:08:00,"{u'not_voting': 18, u'yes': 413, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/21.json,hr437,H000789,https://api.propublica.org/congress/v1/106/bills/hr437.json
{},"{u'title': u'To amend chapter 35 of title 44, United States Code, for the purpose of facilitating compliance by small businesses with certain Federal paperwork requirements, to establish a task force to examine the feasibility of streamlining paperwork requirements applicable to small businesses, and for other purposes.', u'number': u'H R 391', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr391.json', u'latest_action': u'Senate committee/subcommittee actions. Status: Committee on Governmental Affairs. Hearings held.', u'sponsor_id': u'M000481', u'bill_id': u'hr391-106'}",House,106,1999-02-11,Small Business Paperwork Reduction Act Amendments,L000371,Yes,On Passage,Passed,20,1,13:56:00,"{u'not_voting': 8, u'yes': 274, u'present': 0, u'no': 151}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/20.json,hr391,M000481,https://api.propublica.org/congress/v1/106/bills/hr391.json
{},"{u'title': u'To amend chapter 35 of title 44, United States Code, for the purpose of facilitating compliance by small businesses with certain Federal paperwork requirements, to establish a task force to examine the feasibility of streamlining paperwork requirements applicable to small businesses, and for other purposes.', u'number': u'H R 391', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr391.json', u'latest_action': u'Senate committee/subcommittee actions. Status: Committee on Governmental Affairs. Hearings held.', u'sponsor_id': u'M000481', u'bill_id': u'hr391-106'}",House,106,1999-02-11,Kucinich of Ohio Amendment,L000371,No,On Agreeing to the Amendment,Failed,19,1,13:37:00,"{u'not_voting': 10, u'yes': 210, u'present': 0, u'no': 214}",https://api.propublica.org/congress/v1/106/house/sessions/1/votes/19.json,hr391,M000481,https://api.propublica.org/congress/v1/106/bills/hr391.json
