amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'', u'bill_id': u'-110', u'latest_action': None}",Senate,110,2007-12-18,"Confirmation John Daniel Tinder, of Indiana, to be U.S. Circuit Judge",L000447,Yes,On the Nomination,Confirmed,442,1,23:00:00,"{u'not_voting': 7, u'yes': 93, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/442.json,,NA,NA
{},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,Reid Motion to Concur in House Amdt. No. 1 to Senate Amdt. to H.R. 2764; Border Infrastructure and Technology Modernization Act of 2007,L000447,Yes,On the Motion,Agreed to,441,1,22:34:00,"{u'not_voting': 6, u'yes': 76, u'present': 1, u'no': 17}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/441.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,"Reid Motion to Concur in House Amdt. No. 1 to Senate Amdt. To H.R. 2764, with an Amdt. No. 3877; Border Infrastructure and Technology Modernization Act of 2007",L000447,No,On the Motion,Rejected,440,1,21:14:00,"{u'not_voting': 6, u'yes': 48, u'present': 0, u'no': 46}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/440.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,"McConnell Motion to Concur in House Amdt. No. 2 to the Senate Amdt. to H.R. 2764, with an Amdt. No. 3874; Border Infrastructure and Technology Modernization Act of 2007",L000447,Yes,On the Motion,Agreed to,439,1,20:35:00,"{u'not_voting': 5, u'yes': 70, u'present': 0, u'no': 25}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/439.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{u'number': u'S.Amdt. 3876'},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,Levin Amdt. No. 3876; To express the sense of Congress on the transition of the missions of United States Forces in Iraq to a more limited set of missions as ...,L000447,No,On the Amendment ,Rejected,438,1,20:14:00,"{u'not_voting': 5, u'yes': 50, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/438.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{u'number': u'S.Amdt. 3875'},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,Feingold Amdt. No. 3875; To provide for the safe redeployment of United States troops from Iraq.,L000447,No,On the Amendment ,Rejected,437,1,18:59:00,"{u'not_voting': 5, u'yes': 24, u'present': 0, u'no': 71}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/437.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{},"{u'title': u'Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2008, and for other purposes.', u'number': u'H.R. 2764', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2764.json', u'latest_action': u'Became Public Law No: 110-161', u'sponsor_id': u'L000480', u'bill_id': u'hr2764-110'}",Senate,110,2007-12-18,Motion to Invoke Cloture on the Reid motion to Concur in the House Amdts. to the Senate Amdt. to H.R. 2764; Border Infrastructure and Technology Modernization Act of 2007,L000447,No,On the Cloture Motion,Rejected,436,1,17:21:00,"{u'not_voting': 5, u'yes': 44, u'present': 0, u'no': 51}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/436.json,hr2764,L000480,https://api.propublica.org/congress/v1/110/bills/hr2764.json
{},"{u'title': u'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', u'number': u'S. 2248', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s2248.json', u'latest_action': u'Returned to the Calendar. Calendar No. 512.Note: For further action, see H.R. 3773.', u'sponsor_id': u'R000361', u'bill_id': u's2248-110'}",Senate,110,2007-12-17,Motion to Invoke Cloture on the Motion to Proceed to Consider S. 2248; FISA Amendments Act of 2008,L000447,Yes,On the Cloture Motion,Agreed to,435,1,12:19:00,"{u'not_voting': 14, u'yes': 76, u'present': 0, u'no': 10}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/435.json,s2248,R000361,https://api.propublica.org/congress/v1/110/bills/s2248.json
{},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-14,H.R. 2419 as Amended; Food and Energy Security Act of 2007,L000447,Yes,On Passage of the Bill,Passed,434,1,15:03:00,"{u'not_voting': 7, u'yes': 79, u'present': 0, u'no': 14}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/434.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
{},"{u'title': u'To authorize appropriations for fiscal year 2008 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', u'number': u'H.R. 1585', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr1585.json', u'latest_action': u'Vetoed by President.Note: For more information, see Presidential Vetoes, 2001-present at the Senate Vetoes reference page. For further action on the National Defense Authorization Act for FY 2008, see H.R. 4986, which became Public Law 110-181 on 1/28/2008.', u'sponsor_id': u'S000465', u'bill_id': u'hr1585-110'}",Senate,110,2007-12-14,H.R. 1585 Conference Report; National Defense Authorization Act for Fiscal Year 2008,L000447,Yes,On the Conference Report,Agreed to,433,1,13:26:00,"{u'not_voting': 7, u'yes': 90, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/433.json,hr1585,S000465,https://api.propublica.org/congress/v1/110/bills/hr1585.json
{},"{u'title': u'An original bill to modernize and update the National Housing Act and enable the Federal Housing Administration to more effectively reach underserved borrowers, and for other purposes.', u'number': u'S. 2338', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s2338.json', u'latest_action': u'Held at the desk.', u'sponsor_id': u'D000388', u'bill_id': u's2338-110'}",Senate,110,2007-12-14,S. 2338 as Amended; FHA Modernization Act of 2007,L000447,Yes,On Passage of the Bill,Passed,432,1,11:43:00,"{u'not_voting': 6, u'yes': 93, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/432.json,s2338,D000388,https://api.propublica.org/congress/v1/110/bills/s2338.json
{u'number': u'S.Amdt. 3500'},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-13,Motion to Invoke Cloture on the Harkin Amdt. No. 3500 to H.R. 2419; In the nature of a substitute.,L000447,Not Voting,On the Cloture Motion ,Agreed to,431,1,21:02:00,"{u'not_voting': 10, u'yes': 78, u'present': 0, u'no': 12}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/431.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
{},"{u'title': u'An Act to move the United States toward greater energy independence and security, to increase the production of clean renewable fuels, to protect consumers, to increase the  efficiency of products, buildings, and vehicles, to promote research on and deploy greenhouse gas capture and storage options, and to improve the energy performance of the Federal Government, and for other purposes.', u'number': u'H.R. 6', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6.json', u'latest_action': u'Became Public Law No: 110-140', u'sponsor_id': u'R000011', u'bill_id': u'hr6-110'}",Senate,110,2007-12-13,"Motion to Concur in the Amendment of the House to the Amendment of the Senate to the Text of H.R. 6, with an Amendment; Renewable Fuels, Consumer Protection, and Energy ...",L000447,Yes,On the Motion,Agreed to,430,1,18:25:00,"{u'not_voting': 6, u'yes': 86, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/430.json,hr6,R000011,https://api.propublica.org/congress/v1/110/bills/hr6.json
{u'number': u'S.Amdt. 3640'},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-13,"Craig Amdt. No. 3640; To prohibit the involuntary acquisition of farmland and grazing land by Federal, State, and local governments for parks, open space, or similar purposes.",L000447,Yes,On the Amendment ,Rejected,429,1,17:14:00,"{u'not_voting': 5, u'yes': 37, u'present': 0, u'no': 58}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/429.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
{u'number': u'S.Amdt. 3819'},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-13,Brown Amdt. No. 3819; To increase funding for critical Farm Bill programs and improve crop insurance.,L000447,No,On the Amendment ,Rejected,428,1,16:55:00,"{u'not_voting': 5, u'yes': 32, u'present': 0, u'no': 63}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/428.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
{u'number': u'S.Amdt. 3666'},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-13,Tester Amdt. No. 3666; To modify the provisions relating to unlawful practices under the Packers and Stockyards Act.,L000447,No,On the Amendment ,Rejected,427,1,16:34:00,"{u'not_voting': 5, u'yes': 40, u'present': 0, u'no': 55}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/427.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
{u'number': u'S.Amdt. 3810'},"{u'title': u'To provide for the continuation of agricultural programs through fiscal year 2012, and for other purposes.', u'number': u'H.R. 2419', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr2419.json', u'latest_action': u'Became Public Law No: 110-234', u'sponsor_id': u'P000258', u'bill_id': u'hr2419-110'}",Senate,110,2007-12-13,Klobuchar Amdt. No. 3810; To improve the adjusted gross income limitation and use the savings to provide additional funding for certain programs and reduce the Federal deficit.,L000447,No,On the Amendment ,Rejected,426,1,16:09:00,"{u'not_voting': 5, u'yes': 48, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/426.json,hr2419,P000258,https://api.propublica.org/congress/v1/110/bills/hr2419.json
