amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.', u'number': u'H R 1836', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1836.json', u'latest_action': u'Became Public Law No: 107-16', u'sponsor_id': u'T000188', u'bill_id': u'hr1836-107'}",House,107,2001-05-26,Economic Growth and Tax Relief Reconciliation Act,M000834,Not Voting,On Agreeing to the Conference Report,Passed,149,1,10:11:00,"{u'not_voting': 39, u'yes': 240, u'present': 0, u'no': 154}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/149.json,hr1836,T000188,https://api.propublica.org/congress/v1/107/bills/hr1836.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 1836) to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.', u'number': u'H RES 153', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hres153.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 213 - 177 (Roll No. 148).', u'sponsor_id': u'R000569', u'bill_id': u'hres153-107'}",House,107,2001-05-26,"Waiving points of order against the conference report to accompany H.R. 1836, Economic Growth and Tax Relief Act of 2001",M000834,Not Voting,On Agreeing to the Resolution,Passed,148,1,08:23:00,"{u'not_voting': 43, u'yes': 213, u'present': 0, u'no': 177}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/148.json,hres153,R000569,https://api.propublica.org/congress/v1/107/bills/hres153.json
{},"{u'api_uri': None, u'title': None, u'number': u'JOURNAL', u'bill_id': u'journal-107', u'latest_action': None}",House,107,2001-05-24,,M000834,Not Voting,On Approving the Journal,Passed,147,1,10:58:00,"{u'not_voting': 24, u'yes': 336, u'present': 1, u'no': 71}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/147.json,journal,NA,NA
{},"{u'title': u'To provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.', u'number': u'H R 1836', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1836.json', u'latest_action': u'Became Public Law No: 107-16', u'sponsor_id': u'T000188', u'bill_id': u'hr1836-107'}",House,107,2001-05-23,Economic Growth and Tax Relief Reconciliation Act,M000834,Not Voting,On Motion to Instruct Conferees,Failed,146,1,21:08:00,"{u'not_voting': 24, u'yes': 198, u'present': 0, u'no': 210}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/146.json,hr1836,T000188,https://api.propublica.org/congress/v1/107/bills/hr1836.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,No Child Left Behind Act,M000834,Not Voting,On Passage,Passed,145,1,19:25:00,"{u'not_voting': 4, u'yes': 384, u'present': 0, u'no': 45}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/145.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,No Child Left Behind Act,M000834,Not Voting,On Motion to Recommit with Instructions,Failed,144,1,18:52:00,"{u'not_voting': 3, u'yes': 207, u'present': 0, u'no': 223}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/144.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,Cox of California Amendment,M000834,Not Voting,On Agreeing to the Amendment,Failed,143,1,18:19:00,"{u'not_voting': 5, u'yes': 101, u'present': 0, u'no': 326}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/143.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,Kirk of Illinois Amendment,M000834,Not Voting,On Agreeing to the Amendment,Agreed to,142,1,18:12:00,"{u'not_voting': 4, u'yes': 425, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/142.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,Brady of Texas Amendment,M000834,Not Voting,On Agreeing to the Amendment,Agreed to,141,1,18:04:00,"{u'not_voting': 4, u'yes': 239, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/141.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
{},"{u'title': u'To close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.', u'number': u'H R 1', u'bill_uri': u'https://api.propublica.org/congress/v1/107/bills/hr1.json', u'latest_action': u'Became Public Law No: 107-110', u'sponsor_id': u'B000589', u'bill_id': u'hr1-107'}",House,107,2001-05-23,Traficant of Ohio Amendment,M000834,Not Voting,On Agreeing to the Amendment,Agreed to,140,1,15:37:00,"{u'not_voting': 8, u'yes': 415, u'present': 0, u'no': 9}",https://api.propublica.org/congress/v1/107/house/sessions/1/votes/140.json,hr1,B000589,https://api.propublica.org/congress/v1/107/bills/hr1.json
