amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..127', u'bill_id': u'h.j.res.127-106', u'latest_action': None}",Senate,106,2000-12-07,"H. J. Res. 127; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On the Joint Resolution,Agreed to,298,2,16:18:00,"{u'not_voting': 3, u'yes': 96, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/298.json,h.j.res.127,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2415', u'bill_id': u'h.r.2415-106', u'latest_action': None}",Senate,106,2000-12-07,"H.R. 2415 Conference Report; Admiral James W. Nance Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",M001054,No,On the Conference Report,Agreed to,297,2,15:46:00,"{u'not_voting': 1, u'yes': 70, u'present': 1, u'no': 28}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/297.json,h.r.2415,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2415', u'bill_id': u'h.r.2415-106', u'latest_action': None}",Senate,106,2000-12-05,"Motion To Invoke Cloture On Conf. Rept. To H.R. 2415, Upon Reconsideration; Admiral James W. Nance Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",M001054,No,On the Cloture Motion,Agreed to,296,2,15:13:00,"{u'not_voting': 1, u'yes': 67, u'present': 1, u'no': 31}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/296.json,h.r.2415,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..126', u'bill_id': u'h.j.res.126-106', u'latest_action': None}",Senate,106,2000-12-05,"H. J. Res. 126; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On the Joint Resolution,Agreed to,295,2,14:35:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/295.json,h.j.res.126,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2415', u'bill_id': u'h.r.2415-106', u'latest_action': None}",Senate,106,2000-11-01,"Motion To Invoke Cloture On The Conference Report To Accompany H.R. 2415; Admiral James W. Nance Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",M001054,No,On the Cloture Motion,Rejected,294,2,09:35:00,"{u'not_voting': 16, u'yes': 53, u'present': 1, u'no': 30}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/294.json,h.r.2415,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..120', u'bill_id': u'h.j.res.120-106', u'latest_action': None}",Senate,106,2000-10-30,"H. J. Res. 120; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On the Joint Resolution,Agreed to,293,2,19:04:00,"{u'not_voting': 29, u'yes': 70, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/293.json,h.j.res.120,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..119', u'bill_id': u'h.j.res.119-106', u'latest_action': None}",Senate,106,2000-10-29,"H.J.RES.119; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On Passage of the Bill,Passed,292,2,19:31:00,"{u'not_voting': 32, u'yes': 67, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/292.json,h.j.res.119,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..118', u'bill_id': u'h.j.res.118-106', u'latest_action': None}",Senate,106,2000-10-28,"H. J. Res. 118; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On the Joint Resolution,Agreed to,291,2,11:05:00,"{u'not_voting': 31, u'yes': 67, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/291.json,h.j.res.118,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..117', u'bill_id': u'h.j.res.117-106', u'latest_action': None}",Senate,106,2000-10-27,"H.J. Res 117; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On Passage of the Bill,Passed,290,2,15:29:00,"{u'not_voting': 11, u'yes': 86, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/290.json,h.j.res.117,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4942', u'bill_id': u'h.r.4942-106', u'latest_action': None}",Senate,106,2000-10-27,"Conference Report H.R. 4942; District of Columbia Appropriations Act, 2001",M001054,No,On the Conference Report,Agreed to,289,2,15:02:00,"{u'not_voting': 9, u'yes': 48, u'present': 0, u'no': 43}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/289.json,h.r.4942,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2415', u'bill_id': u'h.r.2415-106', u'latest_action': None}",Senate,106,2000-10-27,"Motion To Proceed To Consider H.R. 2415 Conference Report; Admiral James W. Nance Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",M001054,Yes,On the Motion to Proceed,Agreed to,288,2,11:08:00,"{u'not_voting': 11, u'yes': 87, u'present': 1, u'no': 1}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/288.json,h.r.2415,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.Res..116', u'bill_id': u'h.j.res.116-106', u'latest_action': None}",Senate,106,2000-10-26,"H.J. Res. 116; A joint resolution making further continuing appropriations for the fiscal year 2001, and for other purposes.",M001054,Yes,On Passage of the Bill,Passed,287,2,18:32:00,"{u'not_voting': 5, u'yes': 94, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/287.json,h.j.res.116,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..2614', u'bill_id': u'h.r.2614-106', u'latest_action': None}",Senate,106,2000-10-26,Motion To Proceed To consider H.R. 2614 Conference Report; Certified Development Company Program Improvements Act of 2000,M001054,Yes,On the Motion to Proceed,Agreed to,286,2,18:05:00,"{u'not_voting': 5, u'yes': 55, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/286.json,h.r.2614,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..782', u'bill_id': u'h.r.782-106', u'latest_action': None}",Senate,106,2000-10-26,H.R. 782; Older American Community Service Employment Act,M001054,Yes,On Passage of the Bill,Passed,285,2,17:39:00,"{u'not_voting': 6, u'yes': 94, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/senate/sessions/2/votes/285.json,h.r.782,NA,NA
