amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To improve maritime and cargo security through enhanced layered defenses, and for other purposes.', u'number': u'H R 4954', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr4954.json', u'latest_action': u'Became Public Law No: 109-347', u'sponsor_id': u'L000517', u'bill_id': u'hr4954-109'}",House,109,2006-09-30,Security and Accountability for Every Port (SAFE) Act,N000081,Not Voting,On Agreeing to the Conference Report,Passed,516,2,00:32:00,"{u'not_voting': 21, u'yes': 409, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/516.json,hr4954,L000517,https://api.propublica.org/congress/v1/109/bills/hr4954.json
{},"{u'title': u'A bill to amend section 29 of the International Air Transportation Competition Act of 1979 relating to air transportation to and from Love Field, Texas.', u'number': u'S 3661', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/s3661.json', u'latest_action': u'Became Public Law No: 109-352', u'sponsor_id': u'H001016', u'bill_id': u's3661-109'}",House,109,2006-09-29,Wright Amendment Reform Act,N000081,Not Voting,On Motion to Suspend the Rules and Pass,Passed,515,2,23:05:00,"{u'not_voting': 24, u'yes': 386, u'present': 0, u'no': 22}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/515.json,s3661,H001016,https://api.propublica.org/congress/v1/109/bills/s3661.json
{},"{u'api_uri': None, u'title': None, u'number': u'MOTION', u'bill_id': u'motion-109', u'latest_action': None}",House,109,2006-09-29,,N000081,Not Voting,On motion to refer the Resolution,Passed,514,2,22:57:00,"{u'not_voting': 23, u'yes': 409, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/514.json,motion,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'MOTION', u'bill_id': u'motion-109', u'latest_action': None}",House,109,2006-09-29,,N000081,Not Voting,Ordering the previous question on the motion to refer,Passed,513,2,22:40:00,"{u'not_voting': 22, u'yes': 410, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/513.json,motion,NA,NA
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 4954) to improve maritime and cargo security through enhanced layered defenses, and for other purposes.', u'number': u'H RES 1064', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres1064.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by voice vote.', u'sponsor_id': u'S000250', u'bill_id': u'hres1064-109'}",House,109,2006-09-29,"Waiving points of order against the conference report to accompany the bill (H.R. 4954) to improve maritime and cargo security through enhanced layered defenses, and for other purposes.",N000081,Not Voting,On Ordering the Previous Question,Passed,512,2,22:19:00,"{u'not_voting': 23, u'yes': 220, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/512.json,hres1064,S000250,https://api.propublica.org/congress/v1/109/bills/hres1064.json
{},"{u'title': u'To simplify and expedite access to the Federal courts for injured parties whose rights and privileges under the United States Constitution have been deprived by final actions of Federal agencies or other government officials or entities acting under color of State law, and for other purposes.', u'number': u'H R 4772', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr4772.json', u'latest_action': u'Referred to Senate committee. Status: Read twice and referred to the Committee on the Judiciary.', u'sponsor_id': u'C000266', u'bill_id': u'hr4772-109'}",House,109,2006-09-29,Private Property Rights Implementation Act of 2006,N000081,Not Voting,On Passage,Passed,511,2,18:31:00,"{u'not_voting': 20, u'yes': 231, u'present': 0, u'no': 181}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/511.json,hr4772,C000266,https://api.propublica.org/congress/v1/109/bills/hr4772.json
{},"{u'title': u'To authorize appropriations for fiscal year 2007 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.', u'number': u'H R 5122', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr5122.json', u'latest_action': u'Became Public Law No: 109-364', u'sponsor_id': u'H000981', u'bill_id': u'hr5122-109'}",House,109,2006-09-29,National Defense Authorization Act for Fiscal Year 2007,N000081,Not Voting,On Agreeing to the Conference Report,Passed,510,2,18:23:00,"{u'not_voting': 12, u'yes': 398, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/510.json,hr5122,H000981,https://api.propublica.org/congress/v1/109/bills/hr5122.json
{},"{u'title': u'Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2007, and for other purposes.', u'number': u'H R 5441', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hr5441.json', u'latest_action': u'Became Public Law No: 109-295', u'sponsor_id': u'R000395', u'bill_id': u'hr5441-109'}",House,109,2006-09-29,"Department of Homeland Security Appropriations Act, 2007",N000081,Not Voting,On Agreeing to the Conference Report,Passed,509,2,18:10:00,"{u'not_voting': 14, u'yes': 412, u'present': 0, u'no': 6}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/509.json,hr5441,R000395,https://api.propublica.org/congress/v1/109/bills/hr5441.json
{},"{u'title': u'A bill to authorize trial by military commission for violations of the law of war, and for other purposes.', u'number': u'S 3930', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/s3930.json', u'latest_action': u'Became Public Law No: 109-366', u'sponsor_id': u'M000355', u'bill_id': u's3930-109'}",House,109,2006-09-29,Military Commissions Act,N000081,Not Voting,On Passage,Passed,508,2,14:47:00,"{u'not_voting': 12, u'yes': 250, u'present': 0, u'no': 170}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/508.json,s3930,M000355,https://api.propublica.org/congress/v1/109/bills/s3930.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 1053', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres1053.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 227 - 193 (Roll no. 507).', u'sponsor_id': u'C001053', u'bill_id': u'hres1053-109'}",House,109,2006-09-29,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Commitee on Rules.,N000081,Not Voting,On Agreeing to the Resolution,Passed,507,2,14:32:00,"{u'not_voting': 12, u'yes': 227, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/507.json,hres1053,C001053,https://api.propublica.org/congress/v1/109/bills/hres1053.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 1053', u'bill_uri': u'https://api.propublica.org/congress/v1/109/bills/hres1053.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 227 - 193 (Roll no. 507).', u'sponsor_id': u'C001053', u'bill_id': u'hres1053-109'}",House,109,2006-09-29,Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Commitee on Rules.,N000081,Not Voting,On Ordering the Previous Question,Passed,506,2,14:24:00,"{u'not_voting': 20, u'yes': 215, u'present': 0, u'no': 197}",https://api.propublica.org/congress/v1/109/house/sessions/2/votes/506.json,hres1053,C001053,https://api.propublica.org/congress/v1/109/bills/hres1053.json
