amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3539', u'bill_id': u'h.r.3539-104', u'latest_action': None}",Senate,104,1996-10-03,"H.R.3539, CONFERENCE REPORT; Federal Aviation Reauthorization Act of 1996",N000171,Yes,On the Conference Report,Agreed to,306,2,11:20:00,"{u'not_voting': 6, u'yes': 92, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/306.json,h.r.3539,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3539', u'bill_id': u'h.r.3539-104', u'latest_action': None}",Senate,104,1996-10-03,shall the decision of the chair stand? Re: conf. rept. to H.R. 3539; Federal Aviation Reauthorization Act of 1996,N000171,Yes,On the Decision of the Chair,Not Sustained,305,2,10:50:00,"{u'not_voting': 5, u'yes': 39, u'present': 0, u'no': 56}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/305.json,h.r.3539,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3539', u'bill_id': u'h.r.3539-104', u'latest_action': None}",Senate,104,1996-10-03,motion to invoke cloture on conference report on H.R.3539; Federal Aviation Reauthorization Act of 1996,N000171,Yes,On the Cloture Motion,Agreed to,304,2,10:07:00,"{u'not_voting': 3, u'yes': 66, u'present': 0, u'no': 31}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/304.json,h.r.3539,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3539', u'bill_id': u'h.r.3539-104', u'latest_action': None}",Senate,104,1996-09-30,motion to table the motion to postpone the motion to proceed; Federal Aviation Reauthorization Act of 1996,N000171,Yes,On the Motion to Table,Agreed to,303,2,18:53:00,"{u'not_voting': 3, u'yes': 97, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/303.json,h.r.3539,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..4278', u'bill_id': u'h.r.4278-104', u'latest_action': None}",Senate,104,1996-09-30,passage of H.R. 4278; Child Pornography Prevention Act of 1996,N000171,Yes,On Passage of the Bill,Passed,302,2,18:07:00,"{u'not_voting': 1, u'yes': 84, u'present': 0, u'no': 15}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/302.json,h.r.4278,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..1833', u'bill_id': u'h.r.1833-104', u'latest_action': None}",Senate,104,1996-09-26,shall h.r.1833 pass over the veto of the President of the U.S.?; Partial-Birth Abortion Ban Act of 1995,N000171,Yes,On Overriding the Veto,Veto Sustained,301,2,15:53:00,"{u'not_voting': 2, u'yes': 58, u'present': 0, u'no': 40}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/301.json,h.r.1833,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..1350', u'bill_id': u'h.r.1350-104', u'latest_action': None}",Senate,104,1996-09-24,h.r.1350; Maritime Security Act of 1996,N000171,Yes,On Passage of the Bill,Passed,300,2,18:08:00,"{u'not_voting': 2, u'yes': 88, u'present': 0, u'no': 10}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/300.json,h.r.1350,NA,NA
{u'number': u'S.Amdt. 5394'},"{u'api_uri': None, u'title': None, u'number': u'H.R..1350', u'bill_id': u'h.r.1350-104', u'latest_action': None}",Senate,104,1996-09-24,motion to table grassley amendment no. 5394; To prohibit the use of funds received as a payment or subsidy for lobbying or public education and to prohibit the use of ...,N000171,No,On the Motion to Table ,Agreed to,299,2,17:50:00,"{u'not_voting': 2, u'yes': 50, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/299.json,h.r.1350,NA,NA
{u'number': u'S.Amdt. 5393'},"{u'api_uri': None, u'title': None, u'number': u'H.R..1350', u'bill_id': u'h.r.1350-104', u'latest_action': None}",Senate,104,1996-09-24,motion to table grassley amendment no. 5393; To clarify the term fair and reasonable compensation and for other purposes.,N000171,Yes,On the Motion to Table ,Agreed to,298,2,17:31:00,"{u'not_voting': 2, u'yes': 65, u'present': 0, u'no': 33}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/298.json,h.r.1350,NA,NA
{u'number': u'S.Amdt. 5396'},"{u'api_uri': None, u'title': None, u'number': u'H.R..1350', u'bill_id': u'h.r.1350-104', u'latest_action': None}",Senate,104,1996-09-24,motion to table harkin amendment no. 5396; To provide for payment by the Secretary of Transportation of certain ocean freight charges for Federal food or export assistance.,N000171,Yes,On the Motion to Table ,Agreed to,297,2,17:10:00,"{u'not_voting': 2, u'yes': 89, u'present': 0, u'no': 9}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/297.json,h.r.1350,NA,NA
{u'number': u'S.Amdt. 5391'},"{u'api_uri': None, u'title': None, u'number': u'H.R..1350', u'bill_id': u'h.r.1350-104', u'latest_action': None}",Senate,104,1996-09-20,motion to table grassley amendment no. 5391; To provide for a uniform system of incentive pay for certain hazardous duties performed by merchant seamen.,N000171,Not Voting,On the Motion to Table ,Agreed to,296,2,10:02:00,"{u'not_voting': 7, u'yes': 77, u'present': 0, u'no': 16}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/296.json,h.r.1350,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'S..39', u'bill_id': u's.39-104', u'latest_action': None}",Senate,104,1996-09-19,s.39 as amended; Sustainable Fisheries Act Fisheries Financing Act,N000171,Yes,On Passage of the Bill,Passed,295,2,11:22:00,"{u'not_voting': 0, u'yes': 100, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/295.json,s.39,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3675', u'bill_id': u'h.r.3675-104', u'latest_action': None}",Senate,104,1996-09-18,"h.r.3675 conference report; Department of Transportation and Related Agencies Appropriations Act, 1997",N000171,Yes,On the Conference Report,Agreed to,294,2,17:47:00,"{u'not_voting': 1, u'yes': 85, u'present': 0, u'no': 14}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/294.json,h.r.3675,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3539', u'bill_id': u'h.r.3539-104', u'latest_action': None}",Senate,104,1996-09-18,h.r.3539 as amended; Federal Aviation Reauthorization Act of 1996,N000171,Yes,On Passage of the Bill,Passed,293,2,14:00:00,"{u'not_voting': 1, u'yes': 99, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/293.json,h.r.3539,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3816', u'bill_id': u'h.r.3816-104', u'latest_action': None}",Senate,104,1996-09-17,"h.r.3816 conference report; Energy and Water Development Appropriations Act, 1997",N000171,Yes,On the Conference Report,Agreed to,292,2,14:58:00,"{u'not_voting': 0, u'yes': 92, u'present': 0, u'no': 8}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/292.json,h.r.3816,NA,NA
{u'number': u'S.Amdt. 5353'},"{u'api_uri': None, u'title': None, u'number': u'H.R..3662', u'bill_id': u'h.r.3662-104', u'latest_action': None}",Senate,104,1996-09-17,motion to table bumpers amdt no. 5353 as modified; To increase the fee charged for grazing on Federal land.,N000171,No,On the Motion to Table ,Rejected,291,2,14:36:00,"{u'not_voting': 0, u'yes': 50, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/291.json,h.r.3662,NA,NA
{u'number': u'S.Amdt. 5244'},"{u'api_uri': None, u'title': None, u'number': u'H.R..3756', u'bill_id': u'h.r.3756-104', u'latest_action': None}",Senate,104,1996-09-12,"Motion to table Kohl amdt. no. 5244; To amend title 18, United States Code, with respect to gun free schools, and for other purposes.",N000171,No,On the Motion to Table ,Rejected,290,2,19:26:00,"{u'not_voting': 1, u'yes': 27, u'present': 0, u'no': 72}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/290.json,h.r.3756,NA,NA
{u'number': u'S.Amdt. 5241'},"{u'api_uri': None, u'title': None, u'number': u'H.R..3756', u'bill_id': u'h.r.3756-104', u'latest_action': None}",Senate,104,1996-09-12,lautenberg amendment no. 5241; To prohibit persons convicted of a crime involving domestic violence from owning or possessing firearms.,N000171,Yes,On the Amendment ,Agreed to,289,2,16:34:00,"{u'not_voting': 1, u'yes': 97, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/289.json,h.r.3756,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R..3756', u'bill_id': u'h.r.3756-104', u'latest_action': None}",Senate,104,1996-09-12,"motion to table committee amdt beginning on p.129,l.20 thru p.130,l.1; Treasury Department Appropriations Act, 1997",N000171,No,On the Motion to Table,Rejected,288,2,15:32:00,"{u'not_voting': 2, u'yes': 36, u'present': 0, u'no': 62}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/288.json,h.r.3756,NA,NA
{u'number': u'S.Amdt. 5279'},"{u'api_uri': None, u'title': None, u'number': u'H.R..3756', u'bill_id': u'h.r.3756-104', u'latest_action': None}",Senate,104,1996-09-12,"motion to table kerry amendment no. 5279; To make funds available for a study of tagging explosive materials, and for other purposes.",N000171,Yes,On the Motion to Table ,Agreed to,287,2,14:19:00,"{u'not_voting': 1, u'yes': 57, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/104/senate/sessions/2/votes/287.json,h.r.3756,NA,NA
