amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'James Zadroga 9/11 Health and Compensation Act of 2010', u'number': u'H R 847', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr847.json', u'latest_action': u'Became Public Law No: 111-347', u'sponsor_id': u'M000087', u'bill_id': u'hr847-111'}",House,111,2010-12-22,James Zadroga 9/11 Health and Compensation Act of 2010 ,O000007,Yes,On Motion to Concur in the Senate Amendment,Passed,664,2,17:36:00,"{u'not_voting': 168, u'yes': 206, u'present': 0, u'no': 60}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/664.json,hr847,M000087,https://api.propublica.org/congress/v1/111/bills/hr847.json
{},"{u'title': u'Protecting Students from Sexual and Violent Predators Act', u'number': u'H R 6547', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr6547.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions.', u'sponsor_id': u'M000725', u'bill_id': u'hr6547-111'}",House,111,2010-12-21,To amend the Elementary and Secondary Education Act of 1965 to require criminal background checks for school employees. ,O000007,Yes,On Motion to Suspend the Rules and Pass,Passed,663,2,19:44:00,"{u'not_voting': 99, u'yes': 314, u'present': 0, u'no': 20}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/663.json,hr6547,M000725,https://api.propublica.org/congress/v1/111/bills/hr6547.json
{},"{u'title': u'Continuing Appropriations and Surface Transportation Extensions Act, 2011', u'number': u'H R 3082', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr3082.json', u'latest_action': u'Became Public Law No: 111-322', u'sponsor_id': u'E000063', u'bill_id': u'hr3082-111'}",House,111,2010-12-21,"Consolidated Appropriations Act, 2011 ",O000007,Yes,On Motion to Concur in the Senate amendment to House amendment to Senate amendment,Passed,662,2,19:35:00,"{u'not_voting': 75, u'yes': 193, u'present': 0, u'no': 165}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/662.json,hr3082,E000063,https://api.propublica.org/congress/v1/111/bills/hr3082.json
{},"{u'title': u'FDA Food Safety Modernization Act', u'number': u'H R 2751', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2751.json', u'latest_action': u'Became Public Law No: 111-353', u'sponsor_id': u'S001174', u'bill_id': u'hr2751-111'}",House,111,2010-12-21,FDA Food Safety Modernization Act ,O000007,Yes,On Motion to Concur in the Senate Amendments,Passed,661,2,16:49:00,"{u'not_voting': 74, u'yes': 215, u'present': 0, u'no': 144}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/661.json,hr2751,S001174,https://api.propublica.org/congress/v1/111/bills/hr2751.json
{},"{u'title': u'GPRA Modernization Act of 2010', u'number': u'H R 2142', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2142.json', u'latest_action': u'Became Public Law No: 111-352', u'sponsor_id': u'C001063', u'bill_id': u'hr2142-111'}",House,111,2010-12-21,GPRA Modernization Act of 2010 ,O000007,Yes,On Motion to Concur in the Senate Amendment,Passed,660,2,16:42:00,"{u'not_voting': 78, u'yes': 216, u'present': 0, u'no': 139}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/660.json,hr2142,C001063,https://api.propublica.org/congress/v1/111/bills/hr2142.json
{},"{u'title': u'America COMPETES Reauthorization Act of 2010', u'number': u'H R 5116', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5116.json', u'latest_action': u'Became Public Law No: 111-358', u'sponsor_id': u'G000309', u'bill_id': u'hr5116-111'}",House,111,2010-12-21,"America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Reauthorization Act of 2010 ",O000007,Yes,On Motion to Concur in the Senate Amendment,Passed,659,2,16:31:00,"{u'not_voting': 75, u'yes': 228, u'present': 0, u'no': 130}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/659.json,hr5116,G000309,https://api.propublica.org/congress/v1/111/bills/hr5116.json
{},"{u'title': u'Defense Level Playing Field Act', u'number': u'H R 6540', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr6540.json', u'latest_action': u'Referred to the Subcommittee on Air and Land Forces.', u'sponsor_id': u'I000026', u'bill_id': u'hr6540-111'}",House,111,2010-12-21,Defense Level Playing Field Act ,O000007,Yes,On Motion to Suspend the Rules and Pass,Passed,658,2,13:06:00,"{u'not_voting': 85, u'yes': 325, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/658.json,hr6540,I000026,https://api.propublica.org/congress/v1/111/bills/hr6540.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of motions to suspend the rules.', u'number': u'H RES 1771', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hres1771.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'M000312', u'bill_id': u'hres1771-111'}",House,111,2010-12-21,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of motions to suspend ...",O000007,Yes,On Agreeing to the Resolution,Passed,657,2,13:00:00,"{u'not_voting': 83, u'yes': 199, u'present': 0, u'no': 151}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/657.json,hres1771,M000312,https://api.propublica.org/congress/v1/111/bills/hres1771.json
{},"{u'title': u'Reduction of Lead in Drinking Water Act', u'number': u'S 3874', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/s3874.json', u'latest_action': u'Became Public Law No: 111-380', u'sponsor_id': u'B000711', u'bill_id': u's3874-111'}",House,111,2010-12-17,Reduction of Lead in Drinking Water Act ,O000007,Yes,On Motion to Suspend the Rules and Pass,Passed,656,2,17:05:00,"{u'not_voting': 98, u'yes': 226, u'present': 0, u'no': 109}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/656.json,s3874,B000711,https://api.propublica.org/congress/v1/111/bills/s3874.json
{},"{u'title': u'Aiding Those Facing Foreclosure Act of 2010', u'number': u'H R 5510', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr5510.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On motion to suspend the rules and pass the bill, as amended Failed by the Yeas and Nays: (2/3 required): 210 - 145 (Roll no. 655).', u'sponsor_id': u'K000009', u'bill_id': u'hr5510-111'}",House,111,2010-12-17,H.R.5510 -- Aiding Those Facing Foreclosure Act of 2010,O000007,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Failed,655,2,16:53:00,"{u'not_voting': 78, u'yes': 210, u'present': 0, u'no': 145}",https://api.propublica.org/congress/v1/111/house/sessions/2/votes/655.json,hr5510,K000009,https://api.propublica.org/congress/v1/111/bills/hr5510.json
