amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To amend the Communications Act of 1934 to require multi-line telephone systems to have a configuration that permits users to directly initiate a call to 9-1-1 without dialing any additional digit, code, prefix, or post-fix, and for other purposes.', u'number': u'H R 582', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr582.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.', u'sponsor_id': u'G000552', u'bill_id': u'hr582-115'}",House,115,2017-01-23,Kari’s Law Act,P000602,Not Voting,On Motion to Suspend the Rules and Pass,Passed,61,1,19:04:00,"{u'not_voting': 26, u'yes': 408, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/61.json,hr582,G000552,https://api.propublica.org/congress/v1/115/bills/hr582.json
{},"{u'title': u'To amend the Communications Act of 1934 to expand and clarify the prohibition on provision of misleading or inaccurate caller identification information, and for other purposes.', u'number': u'H R 423', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr423.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.', u'sponsor_id': u'M001188', u'bill_id': u'hr423-115'}",House,115,2017-01-23,Anti-Spoofing Act,P000602,Not Voting,On Motion to Suspend the Rules and Pass,Passed,60,1,18:51:00,"{u'not_voting': 31, u'yes': 398, u'present': 0, u'no': 5}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/60.json,hr423,M001188,https://api.propublica.org/congress/v1/115/bills/hr423.json
{},"{u'title': u'A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.', u'number': u'S 84', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/s84.json', u'latest_action': u'Became Public Law No: 115-2.', u'sponsor_id': u'M000303', u'bill_id': u's84-115'}",House,115,2017-01-13,To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of ...,P000602,Not Voting,On Passage,Passed,59,1,15:37:00,"{u'not_voting': 14, u'yes': 268, u'present': 1, u'no': 151}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/59.json,s84,M000303,https://api.propublica.org/congress/v1/115/bills/s84.json
{},"{u'title': u'A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.', u'number': u'S CON RES 3', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/sconres3.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'E000285', u'bill_id': u'sconres3-115'}",House,115,2017-01-13,Setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026,P000602,Not Voting,On Agreeing to the Resolution,Passed,58,1,15:31:00,"{u'not_voting': 10, u'yes': 227, u'present': 0, u'no': 198}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/58.json,sconres3,E000285,https://api.propublica.org/congress/v1/115/bills/sconres3.json
{},"{u'title': u'A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.', u'number': u'S CON RES 3', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/sconres3.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'E000285', u'bill_id': u'sconres3-115'}",House,115,2017-01-13,Yarmuth of Kentucky Amendment No. 1,P000602,Not Voting,On Agreeing to the Amendment,Failed,57,1,15:24:00,"{u'not_voting': 13, u'yes': 149, u'present': 0, u'no': 272}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/57.json,sconres3,E000285,https://api.propublica.org/congress/v1/115/bills/sconres3.json
{},"{u'title': u'Providing for consideration of the concurrent resolution (S. Con. Res. 3) setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026, and providing for consideration of the bill (S. 84) to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.', u'number': u'H RES 48', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hres48.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'W000810', u'bill_id': u'hres48-115'}",House,115,2017-01-13,"Providing for consideration of S.Con.Res 3, setting forth the congressional budget for the United States Government for fiscal year 2017 and for other purposes; and S. 84, to provide for ...",P000602,Not Voting,On Agreeing to the Resolution,Passed,56,1,10:53:00,"{u'not_voting': 11, u'yes': 235, u'present': 0, u'no': 188}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/56.json,hres48,W000810,https://api.propublica.org/congress/v1/115/bills/hres48.json
{},"{u'title': u'Providing for consideration of the concurrent resolution (S. Con. Res. 3) setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026, and providing for consideration of the bill (S. 84) to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.', u'number': u'H RES 48', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hres48.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'W000810', u'bill_id': u'hres48-115'}",House,115,2017-01-13,"Providing for consideration of S.Con.Res 3, setting forth the congressional budget for the United States Government for fiscal year 2017 and for other purposes; and S. 84, to provide for ...",P000602,Not Voting,On Ordering the Previous Question,Passed,55,1,10:47:00,"{u'not_voting': 21, u'yes': 234, u'present': 0, u'no': 179}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/55.json,hres48,W000810,https://api.propublica.org/congress/v1/115/bills/hres48.json
{},"{u'title': u'To reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes.', u'number': u'H R 238', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr238.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.', u'sponsor_id': u'C001062', u'bill_id': u'hr238-115'}",House,115,2017-01-12,Commodity End-User Relief Act,P000602,Not Voting,On Passage,Passed,54,1,17:40:00,"{u'not_voting': 13, u'yes': 239, u'present': 0, u'no': 182}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/54.json,hr238,C001062,https://api.propublica.org/congress/v1/115/bills/hr238.json
{},"{u'title': u'To reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes.', u'number': u'H R 238', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr238.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.', u'sponsor_id': u'C001062', u'bill_id': u'hr238-115'}",House,115,2017-01-12,Commodity End-User Relief Act,P000602,Not Voting,On Motion to Recommit with Instructions,Failed,53,1,17:34:00,"{u'not_voting': 9, u'yes': 190, u'present': 0, u'no': 235}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/53.json,hr238,C001062,https://api.propublica.org/congress/v1/115/bills/hr238.json
{},"{u'title': u'To reauthorize the Commodity Futures Trading Commission, to better protect futures customers, to provide end-users with market certainty, to make basic reforms to ensure transparency and accountability at the Commission, to help farmers, ranchers, and end-users manage risks, to help keep consumer costs low, and for other purposes.', u'number': u'H R 238', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr238.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.', u'sponsor_id': u'C001062', u'bill_id': u'hr238-115'}",House,115,2017-01-12,Conaway of Texas Part B Amendment No. 4,P000602,Not Voting,On Agreeing to the Amendment,Agreed to,52,1,17:17:00,"{u'not_voting': 7, u'yes': 236, u'present': 0, u'no': 191}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/52.json,hr238,C001062,https://api.propublica.org/congress/v1/115/bills/hr238.json
