amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Term Limits Constitutional Amendment,R000229,Not Voting,On Passage,Failed,21,1,18:33:00,"{u'not_voting': 6, u'yes': 217, u'present': 0, u'no': 211}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/21.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,barton of texas substitute amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,20,1,18:00:00,"{u'not_voting': 7, u'yes': 152, u'present': 0, u'no': 274}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/20.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,scott of virginia substitute amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,19,1,16:58:00,"{u'not_voting': 7, u'yes': 97, u'present': 0, u'no': 329}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/19.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,fowler of florida substitute amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,18,1,16:49:00,"{u'not_voting': 7, u'yes': 91, u'present': 0, u'no': 335}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/18.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Thune of South Dakota Substitute Amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,17,1,16:40:00,"{u'not_voting': 8, u'yes': 83, u'present': 0, u'no': 342}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/17.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Ensign of Nevada Substitute Amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,16,1,15:57:00,"{u'not_voting': 9, u'yes': 85, u'present': 0, u'no': 339}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/16.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Christensen of Nebraska Substitute Amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,15,1,15:48:00,"{u'not_voting': 8, u'yes': 83, u'present': 0, u'no': 342}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/15.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Blunt of Missouri Substitute Amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,14,1,15:36:00,"{u'not_voting': 8, u'yes': 72, u'present': 0, u'no': 353}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/14.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,Crapo of Idaho Substitute Amendment,R000229,Not Voting,On Agreeing to the Amendment,Failed,13,1,14:48:00,"{u'not_voting': 9, u'yes': 85, u'present': 0, u'no': 339}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/13.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
{},"{u'title': u'Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.', u'number': u'H J RES 2', u'bill_uri': u'https://api.propublica.org/congress/v1/105/bills/hjres2.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On passage Failed by the Yeas and Nays (2/3 required): 217 - 211 (Roll No. 21).', u'sponsor_id': u'M000350', u'bill_id': u'hjres2-105'}",House,105,1997-02-12,McInnis of Colorado Substitute Amendment0,R000229,Not Voting,On Agreeing to the Amendment,Failed,12,1,14:37:00,"{u'not_voting': 7, u'yes': 87, u'present': 0, u'no': 339}",https://api.propublica.org/congress/v1/105/house/sessions/1/votes/12.json,hjres2,M000350,https://api.propublica.org/congress/v1/105/bills/hjres2.json
