amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'A bill to reform the intelligence community and the intelligence and intelligence-related activities of the United States Government, and for other purposes.', u'number': u'S 2845', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/s2845.json', u'latest_action': u'Became Public Law No: 108-458', u'sponsor_id': u'C001035', u'bill_id': u's2845-108'}",House,108,2004-12-07,Intelligence Reform and Terrorism Prevention Act,S000597,Not Voting,On Agreeing to the Conference Report,Passed,544,2,19:38:00,"{u'not_voting': 22, u'yes': 336, u'present': 0, u'no': 75}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/544.json,s2845,C001035,https://api.propublica.org/congress/v1/108/bills/s2845.json
{},"{u'title': u'Directing the Clerk of the House of Representatives to make corrections in the enrollment of H.R. 4818.', u'number': u'H CON RES 528', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hconres528.json', u'latest_action': u'Resolving differences -- House actions. Status: On motion that the House suspend the rules and agree to the Senate amendment Agreed to by the Yeas and Nays (2/3 required): 381 - 0 (Roll No. 543).', u'sponsor_id': u'Y000031', u'bill_id': u'hconres528-108'}",House,108,2004-12-06,Directing the Clerk of the House of Representatives to make technical corrections in the enrollment of the bill H. R. 4818,S000597,Yes,On Motion to Suspend the Rules and Agree to Senate Amendment,Passed,543,2,18:59:00,"{u'not_voting': 51, u'yes': 381, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/543.json,hconres528,Y000031,https://api.propublica.org/congress/v1/108/bills/hconres528.json
{},"{u'title': u'Making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2005, and for other purposes.', u'number': u'H R 4818', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr4818.json', u'latest_action': u'Became Public Law No: 108-447', u'sponsor_id': u'K000306', u'bill_id': u'hr4818-108'}",House,108,2004-11-20,"Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2005",S000597,Not Voting,On Agreeing to the Conference Report,Passed,542,2,16:04:00,"{u'not_voting': 37, u'yes': 344, u'present': 1, u'no': 51}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/542.json,hr4818,K000306,https://api.propublica.org/congress/v1/108/bills/hr4818.json
{},"{u'title': u'To promote the development of the emerging commercial human space flight industry, and for other purposes.', u'number': u'H R 5382', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr5382.json', u'latest_action': u'Became Public Law No: 108-492', u'sponsor_id': u'R000409', u'bill_id': u'hr5382-108'}",House,108,2004-11-20,Commercial Space Launch Amendments Act,S000597,Yes,On Motion to Suspend the Rules and Pass,Passed,541,2,14:32:00,"{u'not_voting': 43, u'yes': 269, u'present': 0, u'no': 120}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/541.json,hr5382,R000409,https://api.propublica.org/congress/v1/108/bills/hr5382.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 4818) making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2005, and for other purposes, and providing for consideration of the joint resolution (H.J. Res. 114) making further continuing appropriations for the fiscal year 2005, and for other purposes.', u'number': u'H RES 866', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres866.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 233 - 158 (Roll no. 540).', u'sponsor_id': u'P000586', u'bill_id': u'hres866-108'}",House,108,2004-11-20,"Waiving points of order against the conference report to accompany the bill (H.R. 4818) Foreign Operations, Export Financing, and Related Programs Appropriations Act, 2005, and providing for consideration of the ...",S000597,Yes,On Agreeing to the Resolution,Passed,540,2,14:20:00,"{u'not_voting': 42, u'yes': 233, u'present': 0, u'no': 158}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/540.json,hres866,P000586,https://api.propublica.org/congress/v1/108/bills/hres866.json
{},"{u'title': u'Recognizing the Boy Scouts of America for the public service the organization performs for neighborhoods and communities across the United States.', u'number': u'H RES 853', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres853.json', u'latest_action': u'Passed/agreed to in House. Status: On motion to suspend the rules and agree to the resolution Agreed to by the Yeas and Nays: (2/3 required): 391 - 3 (Roll no. 539).', u'sponsor_id': u'I000056', u'bill_id': u'hres853-108'}",House,108,2004-11-20,Recognizing the Boy Scouts of America for the public service the organization performs for neighborhoods and communities across the United States,S000597,Yes,On Motion to Suspend the Rules and Agree,Passed,539,2,11:11:00,"{u'not_voting': 38, u'yes': 391, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/539.json,hres853,I000056,https://api.propublica.org/congress/v1/108/bills/hres853.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 846', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres846.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 234 - 159 (Roll no. 538).', u'sponsor_id': u'S000250', u'bill_id': u'hres846-108'}",House,108,2004-11-20,Waiving a requirement of clause 6(a) of Rule XIII with respect to the same day consideration of certain resolutions reported by the Rules committee,S000597,Yes,On Agreeing to the Resolution,Passed,538,2,11:01:00,"{u'not_voting': 39, u'yes': 234, u'present': 0, u'no': 159}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/538.json,hres846,S000250,https://api.propublica.org/congress/v1/108/bills/hres846.json
{},"{u'title': u'To reauthorize the Individuals with Disabilities Education Act, and for other purposes.', u'number': u'H R 1350', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr1350.json', u'latest_action': u'Became Public Law No: 108-446', u'sponsor_id': u'C000243', u'bill_id': u'hr1350-108'}",House,108,2004-11-19,"To reauthorize the Individuals with Disabilities Education Act, and for other purposes",S000597,Yes,On Agreeing to the Conference Report,Passed,537,2,11:49:00,"{u'not_voting': 32, u'yes': 397, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/537.json,hr1350,C000243,https://api.propublica.org/congress/v1/108/bills/hr1350.json
{},"{u'title': u'A bill to amend title 31 of the United States Code to increase the public debt limit.', u'number': u'S 2986', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/s2986.json', u'latest_action': u'Became Public Law No: 108-415', u'sponsor_id': u'F000439', u'bill_id': u's2986-108'}",House,108,2004-11-18,To amend title 31 of the United States Code to increase the public debt limit,S000597,No,On Passage,Passed,536,2,23:11:00,"{u'not_voting': 21, u'yes': 208, u'present': 0, u'no': 204}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/536.json,s2986,F000439,https://api.propublica.org/congress/v1/108/bills/s2986.json
{},"{u'title': u'A bill to amend title 31 of the United States Code to increase the public debt limit.', u'number': u'S 2986', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/s2986.json', u'latest_action': u'Became Public Law No: 108-415', u'sponsor_id': u'F000439', u'bill_id': u's2986-108'}",House,108,2004-11-18,To amend title 31 of the United States Code to increase the public debt limit,S000597,No,On Motion to Commit with Instructions,Failed,535,2,22:54:00,"{u'not_voting': 21, u'yes': 194, u'present': 0, u'no': 218}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/535.json,s2986,F000439,https://api.propublica.org/congress/v1/108/bills/s2986.json
{},"{u'title': u'Providing for consideration of the bill (S. 2986) to amend title 31 of the United States Code to increase the public debt limit.', u'number': u'H RES 856', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hres856.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by voice vote.', u'sponsor_id': u'R000569', u'bill_id': u'hres856-108'}",House,108,2004-11-18,Providing for consideration of the bill (S. 2986) to amend title 31 of the United States Code to increase the public debt limit,S000597,Yes,On Ordering the Previous Question,Passed,534,2,21:02:00,"{u'not_voting': 36, u'yes': 205, u'present': 0, u'no': 191}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/534.json,hres856,R000569,https://api.propublica.org/congress/v1/108/bills/hres856.json
{},"{u'title': u'A bill to improve access to physicians in medically underserved areas.', u'number': u'S 2302', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/s2302.json', u'latest_action': u'Became Public Law No: 108-441', u'sponsor_id': u'C000705', u'bill_id': u's2302-108'}",House,108,2004-11-17,A bill to improve access to physicians in medically underserved areas.,S000597,Yes,On Motion to Suspend the Rules and Pass,Passed,533,2,18:31:00,"{u'not_voting': 21, u'yes': 407, u'present': 0, u'no': 4}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/533.json,s2302,C000705,https://api.propublica.org/congress/v1/108/bills/s2302.json
{},"{u'title': u'To amend title 17, United States Code, to replace copyright arbitration royalty panels with Copyright Royalty Judges.', u'number': u'H R 1417', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hr1417.json', u'latest_action': u'Became Public Law No: 108-419', u'sponsor_id': u'S000583', u'bill_id': u'hr1417-108'}",House,108,2004-11-17,Copyright Royalty and Distribution Reform Act,S000597,Yes,On Motion to Suspend the Rules and Agree to Senate Amendment,Passed,532,2,18:22:00,"{u'not_voting': 25, u'yes': 407, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/532.json,hr1417,S000583,https://api.propublica.org/congress/v1/108/bills/hr1417.json
{},"{u'title': u'Recognizing the 60th anniversary of the Battle of the Bulge during World War II.', u'number': u'H J RES 110', u'bill_uri': u'https://api.propublica.org/congress/v1/108/bills/hjres110.json', u'latest_action': u'Became Public Law No: 108-432', u'sponsor_id': u'H000323', u'bill_id': u'hjres110-108'}",House,108,2004-11-16,Recognizing the 60th anniversary of the Battle of the Bulge during World War II,S000597,Yes,On Motion to Suspend the Rules and Pass,Passed,531,2,18:57:00,"{u'not_voting': 40, u'yes': 392, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/108/house/sessions/2/votes/531.json,hjres110,H000323,https://api.propublica.org/congress/v1/108/bills/hjres110.json
