amendment,bill,chamber,congress,date,description,member_id,nomination,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'PN33', u'bill_id': u'pn33-115', u'latest_action': None}",Senate,115,2017-02-08,"Thomas Price, of Georgia, to be Secretary of Health and Human Services",S001141,"{u'nomination_id': u'PN33-115', u'agency': u'Department of Health and Human Services', u'number': u'PN33', u'name': u'Thomas Price'}",Not Voting,On the Cloture Motion,Cloture Motion Agreed to,60,1,19:25:00,"{u'not_voting': 1, u'yes': 51, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/60.json,pn33,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-08,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Present,On the Nomination,Nomination Confirmed,59,1,18:58:00,"{u'not_voting': 0, u'yes': 52, u'present': 1, u'no': 47}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/59.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-07,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Not Voting,On the Motion,Motion Agreed to,58,1,21:06:00,"{u'not_voting': 7, u'yes': 43, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/58.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-07,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Not Voting,On the Decision of the Chair,Decision of Chair Sustained,57,1,20:43:00,"{u'not_voting': 8, u'yes': 49, u'present': 0, u'no': 43}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/57.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-07,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Not Voting,On the Motion for Attendance,Motion for Attendance Agreed to,56,1,20:01:00,"{u'not_voting': 9, u'yes': 88, u'present': 0, u'no': 3}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/56.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN30', u'bill_id': u'pn30-115', u'latest_action': None}",Senate,115,2017-02-07,"Jeff Sessions, of Alabama, to be Attorney General",S001141,"{u'nomination_id': u'PN30-115', u'agency': u'Department of Justice', u'number': u'PN30', u'name': u'Jeff Sessions'}",Present,On the Cloture Motion,Cloture Motion Agreed to,55,1,12:31:00,"{u'not_voting': 0, u'yes': 52, u'present': 1, u'no': 47}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/55.json,pn30,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN37', u'bill_id': u'pn37-115', u'latest_action': None}",Senate,115,2017-02-07,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",S001141,"{u'nomination_id': u'PN37-115', u'agency': u'Department of Education', u'number': u'PN37', u'name': u'Elisabeth Prince DeVos'}",Yes,On the Nomination,Nomination Confirmed,54,1,12:02:00,"{u'not_voting': 0, u'yes': 50, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/54.json,pn37,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN37', u'bill_id': u'pn37-115', u'latest_action': None}",Senate,115,2017-02-06,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",S001141,"{u'nomination_id': u'PN37-115', u'agency': u'Department of Education', u'number': u'PN37', u'name': u'Elisabeth Prince DeVos'}",Yes,On the Motion for Attendance,Motion for Attendance Agreed to,53,1,18:04:00,"{u'not_voting': 5, u'yes': 91, u'present': 0, u'no': 4}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/53.json,pn37,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'PN37', u'bill_id': u'pn37-115', u'latest_action': None}",Senate,115,2017-02-03,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",S001141,"{u'nomination_id': u'PN37-115', u'agency': u'Department of Education', u'number': u'PN37', u'name': u'Elisabeth Prince DeVos'}",Yes,On the Cloture Motion,Cloture Motion Agreed to,52,1,06:56:00,"{u'not_voting': 0, u'yes': 52, u'present': 0, u'no': 48}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/52.json,pn37,NA,NA
{},"{u'title': u'Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to &quot;Disclosure of Payments by Resource Extraction Issuers&quot;.', u'number': u'H.J.Res.41', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres41.json', u'latest_action': u'Became Public Law No: 115-4.', u'sponsor_id': u'H001058', u'bill_id': u'hjres41-115'}",Senate,115,2017-02-03,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to &quot;Disclosure of ...",S001141,,Yes,On the Joint Resolution,Joint Resolution Passed,51,1,06:34:00,"{u'not_voting': 1, u'yes': 52, u'present': 0, u'no': 47}",https://api.propublica.org/congress/v1/115/senate/sessions/1/votes/51.json,hjres41,H001058,https://api.propublica.org/congress/v1/115/bills/hjres41.json
