amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'American Clean Energy and Security Act of 2009', u'number': u'H R 2454', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2454.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 97.', u'sponsor_id': u'W000215', u'bill_id': u'hr2454-111'}",House,111,2009-06-26,American Clean Energy and Security Act of 2009 ,T000057,Yes,On Passage,Passed,477,1,19:17:00,"{u'not_voting': 3, u'yes': 219, u'present': 0, u'no': 212}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/477.json,hr2454,W000215,https://api.propublica.org/congress/v1/111/bills/hr2454.json
{},"{u'title': u'American Clean Energy and Security Act of 2009', u'number': u'H R 2454', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2454.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 97.', u'sponsor_id': u'W000215', u'bill_id': u'hr2454-111'}",House,111,2009-06-26,American Clean Energy and Security Act of 2009 ,T000057,No,On Agreeing to the Amendment,Failed,476,1,18:59:00,"{u'not_voting': 5, u'yes': 172, u'present': 0, u'no': 256}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/476.json,hr2454,W000215,https://api.propublica.org/congress/v1/111/bills/hr2454.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,"Department of Interior and Related Agencies Appropriation, 2010",T000057,Yes,On Passage,Passed,475,1,12:43:00,"{u'not_voting': 6, u'yes': 254, u'present': 0, u'no': 173}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/475.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Campbell of California Part C Amendment No. 4,T000057,No,On Agreeing to the Amendment,Failed,474,1,12:25:00,"{u'not_voting': 8, u'yes': 114, u'present': 0, u'no': 317}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/474.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Campbell of California Part E Amendment No. 1,T000057,No,On Agreeing to the Amendment,Failed,473,1,12:21:00,"{u'not_voting': 12, u'yes': 131, u'present': 0, u'no': 296}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/473.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Campbell of California Part C Amendment No. 3,T000057,No,On Agreeing to the Amendment,Failed,472,1,12:16:00,"{u'not_voting': 16, u'yes': 122, u'present': 0, u'no': 301}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/472.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Campbell of California Part D Amendment No. 3,T000057,No,On Agreeing to the Amendment,Failed,471,1,12:12:00,"{u'not_voting': 8, u'yes': 122, u'present': 0, u'no': 309}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/471.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Campbell of California Part C Amendment No. 1,T000057,No,On Agreeing to the Amendment,Failed,470,1,12:08:00,"{u'not_voting': 11, u'yes': 123, u'present': 0, u'no': 305}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/470.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Stearns of Florida Part B Amendment No. 6,T000057,No,On Agreeing to the Amendment,Failed,469,1,12:03:00,"{u'not_voting': 8, u'yes': 170, u'present': 0, u'no': 261}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/469.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
{},"{u'title': u'Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2010, and for other purposes.', u'number': u'H R 2996', u'bill_uri': u'https://api.propublica.org/congress/v1/111/bills/hr2996.json', u'latest_action': u'Became Public Law No: 111-88', u'sponsor_id': u'D000327', u'bill_id': u'hr2996-111'}",House,111,2009-06-26,Jordan of Ohio Part B Amendment No. 4,T000057,No,On Agreeing to the Amendment,Failed,468,1,11:58:00,"{u'not_voting': 11, u'yes': 169, u'present': 0, u'no': 259}",https://api.propublica.org/congress/v1/111/house/sessions/1/votes/468.json,hr2996,D000327,https://api.propublica.org/congress/v1/111/bills/hr2996.json
