amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.1988', u'bill_id': u'hr1988-102', u'latest_action': None}",House,102,1991-05-02,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION MULTIYEAR AUTHORIZATION ACT OF 1991,U000001,Not Voting,On Passage,Passed,76,1,14:59:00,"{u'not_voting': 34, u'yes': 361, u'present': 0, u'no': 36}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/76.json,hr1988,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.1236', u'bill_id': u'hr1236-102', u'latest_action': None}",House,102,1991-05-01,"NATIONAL FLOOD INSURANCE, MITIGATION, AND EROSION MANAGEMENT ACT OF 1991",U000001,Not Voting,On Passage,Passed,75,1,18:15:00,"{u'not_voting': 25, u'yes': 388, u'present': 0, u'no': 18}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/75.json,hr1236,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.R.1236', u'bill_id': u'hr1236-102', u'latest_action': None}",House,102,1991-05-01,GRADISON,U000001,Not Voting,On Agreeing to the Amendment,Failed,74,1,17:57:00,"{u'not_voting': 23, u'yes': 160, u'present': 0, u'no': 248}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/74.json,hr1236,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'MOTION', u'bill_id': u'motion-102', u'latest_action': None}",House,102,1991-05-01,,U000001,Not Voting,On Approving the Journal,Passed,73,1,13:22:00,"{u'not_voting': 36, u'yes': 288, u'present': 1, u'no': 106}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/73.json,motion,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.J.RES.222', u'bill_id': u'hjres222-102', u'latest_action': None}",House,102,1991-04-17,RAILROAD LABOR/MANAGEMENT DISPUTES,U000001,Not Voting,On Passage,Passed,72,1,22:35:00,"{u'not_voting': 26, u'yes': 400, u'present': 0, u'no': 5}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/72.json,hjres222,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.CON.RES.121', u'bill_id': u'hconres121-102', u'latest_action': None}",House,102,1991-04-17,REVISING THE CONGRESSIONAL BUDGET FOR THE U.S. GOVERNMENT FOR FY 1991 AND SETTING FORTH THE BUDGET FOR FY 1992 THRU 1996,U000001,Not Voting,On Agreeing to the Resolution,Passed,71,1,17:55:00,"{u'not_voting': 7, u'yes': 261, u'present': 0, u'no': 163}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/71.json,hconres121,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.CON.RES.121', u'bill_id': u'hconres121-102', u'latest_action': None}",House,102,1991-04-17,GRADISON SUBSTITUTE,U000001,Not Voting,On Agreeing to the Amendment,Failed,70,1,17:16:00,"{u'not_voting': 7, u'yes': 89, u'present': 0, u'no': 335}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/70.json,hconres121,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.CON.RES.121', u'bill_id': u'hconres121-102', u'latest_action': None}",House,102,1991-04-17,KASICH SUBSTITUTE,U000001,Not Voting,On Agreeing to the Amendment,Failed,69,1,14:33:00,"{u'not_voting': 14, u'yes': 114, u'present': 0, u'no': 303}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/69.json,hconres121,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.CON.RES.121', u'bill_id': u'hconres121-102', u'latest_action': None}",House,102,1991-04-17,DANNEMEYER SUBSTITUT,U000001,Not Voting,On Agreeing to the Amendment,Failed,68,1,13:13:00,"{u'not_voting': 20, u'yes': 79, u'present': 0, u'no': 332}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/68.json,hconres121,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'H.CON.RES.121', u'bill_id': u'hconres121-102', u'latest_action': None}",House,102,1991-04-17,FORD OF MICHIGAN,U000001,Not Voting,On Agreeing to the Amendment,Agreed to,67,1,11:54:00,"{u'not_voting': 12, u'yes': 261, u'present': 0, u'no': 158}",https://api.propublica.org/congress/v1/102/house/sessions/1/votes/67.json,hconres121,NA,NA
