amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To combat trafficking of persons, especially into the sex trade, slavery, and slavery-like conditions in the United States and countries around the world through prevention, through prosecution and enforcement against traffickers, and through protection and assistance to victims of trafficking.', u'number': u'H R 3244', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr3244.json', u'latest_action': u'Became Public Law No: 106-386', u'sponsor_id': u'S000522', u'bill_id': u'hr3244-106'}",House,106,2000-10-06,Trafficking Victims Protection Act,V000087,Not Voting,On Agreeing to the Conference Report,Passed,518,2,14:01:00,"{u'not_voting': 62, u'yes': 371, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/518.json,hr3244,S000522,https://api.propublica.org/congress/v1/106/bills/hr3244.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 3244) to combat trafficking of persons, especially into the sex trade, slavery, and slavery-like conditions in the United States and countries around the world through prevention, through prosecution and enforcement against traffickers, and through protection and assistance to victims of trafficking.', u'number': u'H RES 613', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hres613.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 356 - 28 (Roll no. 517).', u'sponsor_id': u'P000555', u'bill_id': u'hres613-106'}",House,106,2000-10-06,Waiving points of order against the conference report to accompany H.R. 3244; Trafficking Victims Protection Act,V000087,Not Voting,On Agreeing to the Resolution,Passed,517,2,13:02:00,"{u'not_voting': 49, u'yes': 356, u'present': 0, u'no': 28}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/517.json,hres613,P000555,https://api.propublica.org/congress/v1/106/bills/hres613.json
{},"{u'title': u'Making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 2001, and for other purposes.', u'number': u'H R 4475', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr4475.json', u'latest_action': u'Became Public Law No: 106-346', u'sponsor_id': u'W000672', u'bill_id': u'hr4475-106'}",House,106,2000-10-06,"Transportation and Related Agencies Appropriations, FY 2001",V000087,Not Voting,On Agreeing to the Conference Report,Passed,516,2,11:50:00,"{u'not_voting': 39, u'yes': 344, u'present': 0, u'no': 50}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/516.json,hr4475,W000672,https://api.propublica.org/congress/v1/106/bills/hr4475.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 4475) making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 2001, and for other purposes.', u'number': u'H RES 612', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hres612.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 244 - 136 (Roll no. 515).', u'sponsor_id': u'R000569', u'bill_id': u'hres612-106'}",House,106,2000-10-06,"Waiving Points of Order Against the Conference Report on H.R. 4475, Transportation and Related Agencies Appropriations for FY 2001",V000087,Not Voting,On Agreeing to the Resolution,Passed,515,2,10:15:00,"{u'not_voting': 53, u'yes': 244, u'present': 0, u'no': 136}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/515.json,hres612,R000569,https://api.propublica.org/congress/v1/106/bills/hres612.json
{},"{u'api_uri': None, u'title': None, u'number': u'JOURNAL', u'bill_id': u'journal-106', u'latest_action': None}",House,106,2000-10-06,,V000087,Not Voting,On Approving the Journal,Passed,514,2,09:31:00,"{u'not_voting': 116, u'yes': 267, u'present': 1, u'no': 50}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/514.json,journal,NA,NA
{},"{u'title': u'Providing for consideration of the bill (H.R. 2941) to establish the Las Cienegas National Conservation Area in the State of Arizona.', u'number': u'H RES 610', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hres610.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 411 - 0 (Roll no. 513).', u'sponsor_id': u'H000329', u'bill_id': u'hres610-106'}",House,106,2000-10-05,Providing for consideration of H.R. 2941 Las Cienegas National Conservation Area Establishment Act,V000087,Not Voting,On Agreeing to the Resolution,Passed,513,2,12:20:00,"{u'not_voting': 22, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/513.json,hres610,H000329,https://api.propublica.org/congress/v1/106/bills/hres610.json
{},"{u'title': u'A bill to revise and extend the Ryan White CARE Act programs under title XXVI of the Public Health Service Act, to improve access to health care and the quality of health care under such programs, and to provide for the development of increased capacity to provide health care and related support services to individuals and families with HIV disease, and for other purposes.', u'number': u'S 2311', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/s2311.json', u'latest_action': u'Became Public Law No: 106-345', u'sponsor_id': u'J000072', u'bill_id': u's2311-106'}",House,106,2000-10-05,Ryan White CARE Act,V000087,Not Voting,On Passage,Passed,512,2,11:51:00,"{u'not_voting': 22, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/512.json,s2311,J000072,https://api.propublica.org/congress/v1/106/bills/s2311.json
{},"{u'title': u'To direct the American Folklife Center at the Library of Congress to establish a program to collect video and audio recordings of personal histories and testimonials of American war veterans, and for other purposes.', u'number': u'H R 5212', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr5212.json', u'latest_action': u'Became Public Law No: 106-380', u'sponsor_id': u'K000188', u'bill_id': u'hr5212-106'}",House,106,2000-10-04,Veterans,V000087,Not Voting,"Motion to Suspend the Rules and Pass, as Amended",Passed,511,2,12:01:00,"{u'not_voting': 26, u'yes': 407, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/511.json,hr5212,K000188,https://api.propublica.org/congress/v1/106/bills/hr5212.json
{},"{u'title': u'Making appropriations for the government of the District of Columbia and other activities chargeable in whole or in part against the revenues of said District for the fiscal year ending September 30, 2001, and for other purposes.', u'number': u'H R 4942', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr4942.json', u'latest_action': u'Became Public Law No: 106-553', u'sponsor_id': u'I000047', u'bill_id': u'hr4942-106'}",House,106,2000-10-04,District of Columbia Appropriations for F.Y. 2001,V000087,Not Voting,On Motion to Instruct Conferees,Failed,510,2,11:51:00,"{u'not_voting': 24, u'yes': 190, u'present': 0, u'no': 219}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/510.json,hr4942,I000047,https://api.propublica.org/congress/v1/106/bills/hr4942.json
{},"{u'title': u'Making further continuing appropriations for the fiscal year 2001, and for other purposes.', u'number': u'H J RES 110', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hjres110.json', u'latest_action': u'Became Public Law No: 106-282', u'sponsor_id': u'Y000031', u'bill_id': u'hjres110-106'}",House,106,2000-10-03,Making further continuing appropriations for the fiscal year 2001,V000087,Not Voting,On Passage,Passed,509,2,15:43:00,"{u'not_voting': 17, u'yes': 415, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/509.json,hjres110,Y000031,https://api.propublica.org/congress/v1/106/bills/hjres110.json
{},"{u'title': u'Expressing the sense of the House of Representatives regarding the importance of education, early detection and treatment, and other efforts in the fight against breast cancer.', u'number': u'H RES 278', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hres278.json', u'latest_action': u'Passed/agreed to in House. Status: On motion to suspend the rules and agree to the resolution Agreed to by the Yeas and Nays: (2/3 required): 420 - 0 (Roll no. 508).', u'sponsor_id': u'B000220', u'bill_id': u'hres278-106'}",House,106,2000-10-03,Sense of the House Regarding Efforts in the Fight Against Breast Cancer,V000087,Not Voting,On Motion to Suspend the Rules and Agree,Passed,508,2,14:41:00,"{u'not_voting': 14, u'yes': 420, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/508.json,hres278,B000220,https://api.propublica.org/congress/v1/106/bills/hres278.json
{},"{u'title': u'Making appropriations for the Department of the Interior and related agencies for the fiscal year ending September 30, 2001, and for other purposes.', u'number': u'H R 4578', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr4578.json', u'latest_action': u'Became Public Law No: 106-291', u'sponsor_id': u'R000141', u'bill_id': u'hr4578-106'}",House,106,2000-10-03,Department of the Interior Appropriations for FY 2001,V000087,Not Voting,On Agreeing to the Conference Report,Passed,507,2,14:31:00,"{u'not_voting': 16, u'yes': 348, u'present': 0, u'no': 69}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/507.json,hr4578,R000141,https://api.propublica.org/congress/v1/106/bills/hr4578.json
{},"{u'title': u'Waiving points of order against the conference report to accompany the bill (H.R. 4578) making appropriations for the Department of Interior and related agencies for the fiscal year ending September 30, 2001, and for other purposes.', u'number': u'H RES 603', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hres603.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 354 - 65 (Roll no. 506).', u'sponsor_id': u'H000329', u'bill_id': u'hres603-106'}",House,106,2000-10-03,"Waiving Points of Order Against the Conference Report on H.R. 4578, Interior and Related Agencies Appropriations for FY 2001",V000087,Not Voting,On Agreeing to the Resolution,Passed,506,2,13:10:00,"{u'not_voting': 15, u'yes': 354, u'present': 0, u'no': 65}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/506.json,hres603,H000329,https://api.propublica.org/congress/v1/106/bills/hres603.json
{},"{u'title': u'To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide additional protections to victims of rape.', u'number': u'H R 3088', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr3088.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'W000267', u'bill_id': u'hr3088-106'}",House,106,2000-10-02,Victims of Rape Health Protection Act,V000087,Not Voting,On Motion to Suspend the Rules and Pass,Passed,505,2,18:45:00,"{u'not_voting': 34, u'yes': 380, u'present': 0, u'no': 19}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/505.json,hr3088,W000267,https://api.propublica.org/congress/v1/106/bills/hr3088.json
{},"{u'title': u'To amend title 18, United States Code, to increase the age of persons considered to be minors for the purposes of the prohibition on transporting obscene materials to minors.', u'number': u'H R 4147', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr4147.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'T000458', u'bill_id': u'hr4147-106'}",House,106,2000-10-02,Stop Material Unsuitable for Teens Act,V000087,Not Voting,On Motion to Suspend the Rules and Pass,Passed,504,2,18:36:00,"{u'not_voting': 34, u'yes': 397, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/504.json,hr4147,T000458,https://api.propublica.org/congress/v1/106/bills/hr4147.json
{},"{u'title': u'To establish the Commission for the Comprehensive Study of Privacy Protection.', u'number': u'H R 4049', u'bill_uri': u'https://api.propublica.org/congress/v1/106/bills/hr4049.json', u'latest_action': u'Failed of passage/not agreed to in House. Status: On motion to suspend the rules and pass the bill, as amended Failed by the Yeas and Nays: (2/3 required): 250 - 146 (Roll no. 503).', u'sponsor_id': u'H001014', u'bill_id': u'hr4049-106'}",House,106,2000-10-02,Privacy Commission Act,V000087,Not Voting,"On Motion to Suspend the Rules and Pass, as Amended",Failed,503,2,18:26:00,"{u'not_voting': 37, u'yes': 250, u'present': 0, u'no': 146}",https://api.propublica.org/congress/v1/106/house/sessions/2/votes/503.json,hr4049,H001014,https://api.propublica.org/congress/v1/106/bills/hr4049.json
