amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'Administrative Conference of the United States Reauthorization Act of 2011', u'number': u'H R 2480', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr2480.json', u'latest_action': u'Placed on Senate Legislative Calendar under General Orders. Calendar No. 180.', u'sponsor_id': u'S000583', u'bill_id': u'hr2480-112'}",House,112,2011-08-01,Administrative Conference of the United States Reauthorization Act of 2011,W000793,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,691,1,19:33:00,"{u'not_voting': 27, u'yes': 382, u'present': 0, u'no': 23}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/691.json,hr2480,S000583,https://api.propublica.org/congress/v1/112/bills/hr2480.json
{},"{u'title': u'Budget Control Act of 2011', u'number': u'S 365', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/s365.json', u'latest_action': u'Became Public Law No: 112-25', u'sponsor_id': u'H000206', u'bill_id': u's365-112'}",House,112,2011-08-01,To make a technical amendment to the Education Sciences Reform Act of 2002. ,W000793,Yes,On Passage,Passed,690,1,19:09:00,"{u'not_voting': 3, u'yes': 269, u'present': 0, u'no': 161}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/690.json,s365,H000206,https://api.propublica.org/congress/v1/112/bills/s365.json
{},"{u'api_uri': None, u'title': None, u'number': u'QUORUM', u'bill_id': u'quorum-112', u'latest_action': None}",House,112,2011-08-01,,W000793,Present,Call of the House,Passed,689,1,18:51:00,"{u'not_voting': 13, u'yes': 0, u'present': 419, u'no': 0}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/689.json,quorum,NA,NA
{},"{u'api_uri': None, u'title': None, u'number': u'JOURNAL', u'bill_id': u'journal-112', u'latest_action': None}",House,112,2011-08-01,,W000793,No,On Approving the Journal,Passed,688,1,17:00:00,"{u'not_voting': 12, u'yes': 304, u'present': 1, u'no': 115}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/688.json,journal,NA,NA
{},"{u'title': u'Providing for consideration of the bill (S. 365) to make a technical amendment to the Education Sciences Reform Act of 2002.', u'number': u'H RES 384', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hres384.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'D000492', u'bill_id': u'hres384-112'}",House,112,2011-08-01,"Providing for consideration of S. 365, to make a technical amendment to the Education Sciences Reform Act of 2002",W000793,No,On Agreeing to the Resolution,Passed,687,1,16:48:00,"{u'not_voting': 5, u'yes': 249, u'present': 0, u'no': 178}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/687.json,hres384,D000492,https://api.propublica.org/congress/v1/112/bills/hres384.json
{},"{u'title': u'Providing for consideration of the bill (S. 365) to make a technical amendment to the Education Sciences Reform Act of 2002.', u'number': u'H RES 384', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hres384.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'D000492', u'bill_id': u'hres384-112'}",House,112,2011-08-01,"Providing for consideration of S. 365, to make a technical amendment to the Education Sciences Reform Act of 2002",W000793,No,On Ordering the Previous Question,Passed,686,1,16:32:00,"{u'not_voting': 6, u'yes': 242, u'present': 0, u'no': 184}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/686.json,hres384,D000492,https://api.propublica.org/congress/v1/112/bills/hres384.json
{},"{u'title': u'To amend the Immigration and Nationality Act to modify the requirements for admission of nonimmigrant nurses in health professional shortage areas.', u'number': u'H R 1933', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr1933.json', u'latest_action': u'Referred to Senate committee. Status: Received in the Senate and Read twice and referred to the Committee on the Judiciary.', u'sponsor_id': u'S000583', u'bill_id': u'hr1933-112'}",House,112,2011-08-01,To amend the Immigration and Nationality Act to modify the requirements for admission of nonimmigrant nurses in health professional shortage areas,W000793,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,685,1,14:54:00,"{u'not_voting': 8, u'yes': 407, u'present': 0, u'no': 17}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/685.json,hr1933,S000583,https://api.propublica.org/congress/v1/112/bills/hr1933.json
{},"{u'title': u'To amend the Immigration and Nationality Act to toll, during active-duty service abroad in the Armed Forces, the periods of time to file a petition and appear for an interview to remove the conditional basis for permanent resident status, and for other purposes.', u'number': u'H R 398', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr398.json', u'latest_action': u'Became Public Law No: 112-58', u'sponsor_id': u'L000397', u'bill_id': u'hr398-112'}",House,112,2011-08-01,"To amend the Immigration and Nationality Act to toll, during active-duty service abroad in the Armed Forces, the periods of time to file a petition and appear for an interview ...",W000793,Yes,On Motion to Suspend the Rules and Pass,Passed,684,1,14:46:00,"{u'not_voting': 6, u'yes': 426, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/684.json,hr398,L000397,https://api.propublica.org/congress/v1/112/bills/hr398.json
{},"{u'title': u'To provide the Consumer Product Safety Commission with greater authority and discretion in enforcing the consumer product safety laws, and for other purposes.', u'number': u'H R 2715', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr2715.json', u'latest_action': u'Became Public Law No: 112-28', u'sponsor_id': u'B001228', u'bill_id': u'hr2715-112'}",House,112,2011-08-01,"To provide the Consumer Product Safety Commission with greater authority and discretion in enforcing the consumer product safety laws, and for other purposes",W000793,Yes,On Motion to Suspend the Rules and Pass,Passed,683,1,14:28:00,"{u'not_voting': 9, u'yes': 421, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/683.json,hr2715,B001228,https://api.propublica.org/congress/v1/112/bills/hr2715.json
{},"{u'title': u'Budget Control Act of 2011', u'number': u'H R 2693', u'bill_uri': u'https://api.propublica.org/congress/v1/112/bills/hr2693.json', u'latest_action': u'Referred to the Subcommittee on Communications and Technology.', u'sponsor_id': u'D000492', u'bill_id': u'hr2693-112'}",House,112,2011-07-30,Budget Control Act of 2011,W000793,No,"On Motion to Suspend the Rules and Pass, as Amended",Failed,682,1,15:13:00,"{u'not_voting': 13, u'yes': 173, u'present': 0, u'no': 246}",https://api.propublica.org/congress/v1/112/house/sessions/1/votes/682.json,hr2693,D000492,https://api.propublica.org/congress/v1/112/bills/hr2693.json
