amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To condition the provision of premium and cost-sharing subsidies under the Patient Protection and Affordable Care Act upon a certification that a program to verify household income and other qualifications for such subsidies is operational, and for other purposes.', u'number': u'H R 2775', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hr2775.json', u'latest_action': u'Became Public Law No: 113-46.', u'sponsor_id': u'B001273', u'bill_id': u'hr2775-113'}",House,113,2013-10-16,To condition the provision of premium and cost-sharing subsidies under the Patient Protection and Affordable Care Act upon a certification that a program to verify household income and other qualifications ...,Y000031,Not Voting,On Motion to Concur in the Senate Amendments,Passed,550,1,22:18:00,"{u'not_voting': 3, u'yes': 285, u'present': 0, u'no': 144}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/550.json,hr2775,B001273,https://api.propublica.org/congress/v1/113/bills/hr2775.json
{},"{u'title': u'Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes.', u'number': u'H J RES 80', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hjres80.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 221.', u'sponsor_id': u'S001148', u'bill_id': u'hjres80-113'}",House,113,2013-10-14,"Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes",Y000031,Not Voting,On Agreeing to the Grayson (FL) amendment to the title,Failed,549,1,19:20:00,"{u'not_voting': 42, u'yes': 161, u'present': 0, u'no': 228}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/549.json,hjres80,S001148,https://api.propublica.org/congress/v1/113/bills/hjres80.json
{},"{u'title': u'Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes.', u'number': u'H J RES 80', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hjres80.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 221.', u'sponsor_id': u'S001148', u'bill_id': u'hjres80-113'}",House,113,2013-10-14,"Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes",Y000031,Not Voting,On Passage,Passed,548,1,19:03:00,"{u'not_voting': 38, u'yes': 233, u'present': 0, u'no': 160}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/548.json,hjres80,S001148,https://api.propublica.org/congress/v1/113/bills/hjres80.json
{},"{u'title': u'Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes.', u'number': u'H J RES 80', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hjres80.json', u'latest_action': u'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 221.', u'sponsor_id': u'S001148', u'bill_id': u'hjres80-113'}",House,113,2013-10-14,"Making continuing appropriations for the Bureau of Indian Affairs, the Bureau of Indian Education, and the Indian Health Service for fiscal year 2014, and for other purposes",Y000031,Not Voting,Table Appeal of the Ruling of the Chair,Passed,547,1,18:54:00,"{u'not_voting': 35, u'yes': 216, u'present': 0, u'no': 180}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/547.json,hjres80,S001148,https://api.propublica.org/congress/v1/113/bills/hjres80.json
{},"{u'title': u'To provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes.', u'number': u'H R 2642', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hr2642.json', u'latest_action': u'Became Public Law No: 113-79.', u'sponsor_id': u'L000491', u'bill_id': u'hr2642-113'}",House,113,2013-10-12,Federal Agriculture Reform and Risk Management Act,Y000031,Not Voting,On Motion to Instruct Conferees,Failed,546,1,11:07:00,"{u'not_voting': 30, u'yes': 195, u'present': 2, u'no': 204}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/546.json,hr2642,L000491,https://api.propublica.org/congress/v1/113/bills/hr2642.json
{},"{u'title': u'Expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to the Secretary of Agriculture&#39;s administration of tariff-rate quotas for raw and refined sugar.', u'number': u'H RES 378', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hres378.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'P000373', u'bill_id': u'hres378-113'}",House,113,2013-10-12,Expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to the Secretary of Agriculture,Y000031,Not Voting,On Agreeing to the Resolution,Failed,545,1,10:59:00,"{u'not_voting': 26, u'yes': 192, u'present': 1, u'no': 212}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/545.json,hres378,P000373,https://api.propublica.org/congress/v1/113/bills/hres378.json
{},"{u'title': u'Relating to consideration of the House amendment to the Senate amendment to the bill (H.R. 2642) to provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes, providing for consideration of the resolution (H. Res. 378) expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to the Secretary of Agriculture&#39;s administration of tariff-rate quotas for raw and refined sugar, and providing for consideration of the resolution (H. Res. 379) expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to crop insurance.', u'number': u'H RES 380', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hres380.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'F000450', u'bill_id': u'hres380-113'}",House,113,2013-10-11,"Relating to consideration of the House amendment to the Senate amendment to H.R. 2642, the Federal Agriculture Reform and Risk Management Act, and for consideration of H.Res. 378 and H.Res. ...",Y000031,Not Voting,On Agreeing to the Resolution,Passed,544,1,15:51:00,"{u'not_voting': 19, u'yes': 223, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/544.json,hres380,F000450,https://api.propublica.org/congress/v1/113/bills/hres380.json
{},"{u'title': u'Relating to consideration of the House amendment to the Senate amendment to the bill (H.R. 2642) to provide for the reform and continuation of agricultural and other programs of the Department of Agriculture through fiscal year 2018, and for other purposes, providing for consideration of the resolution (H. Res. 378) expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to the Secretary of Agriculture&#39;s administration of tariff-rate quotas for raw and refined sugar, and providing for consideration of the resolution (H. Res. 379) expressing the sense of the House of Representatives regarding certain provisions of the Senate amendment to H.R. 2642 relating to crop insurance.', u'number': u'H RES 380', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hres380.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'F000450', u'bill_id': u'hres380-113'}",House,113,2013-10-11,"Relating to consideration of the House amendment to the Senate amendment to H.R. 2642, the Federal Agriculture Reform and Risk Management Act, and for consideration of H.Res. 378 and H.Res. ...",Y000031,Not Voting,On Ordering the Previous Question,Passed,543,1,15:40:00,"{u'not_voting': 19, u'yes': 219, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/543.json,hres380,F000450,https://api.propublica.org/congress/v1/113/bills/hres380.json
{},"{u'title': u'Making continuing appropriations for the National Nuclear Security Administration for fiscal year 2014, and for other purposes.', u'number': u'H J RES 76', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hjres76.json', u'latest_action': u'Became Public Law No: 113-145.', u'sponsor_id': u'F000372', u'bill_id': u'hjres76-113'}",House,113,2013-10-11,"Making continuing appropriations for the National Nuclear Security Administration for fiscal year 2014, and for other purposes",Y000031,Not Voting,On Passage,Passed,542,1,11:06:00,"{u'not_voting': 7, u'yes': 248, u'present': 0, u'no': 176}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/542.json,hjres76,F000372,https://api.propublica.org/congress/v1/113/bills/hjres76.json
{},"{u'title': u'Making continuing appropriations for the National Nuclear Security Administration for fiscal year 2014, and for other purposes.', u'number': u'H J RES 76', u'bill_uri': u'https://api.propublica.org/congress/v1/113/bills/hjres76.json', u'latest_action': u'Became Public Law No: 113-145.', u'sponsor_id': u'F000372', u'bill_id': u'hjres76-113'}",House,113,2013-10-11,"Making continuing appropriations for the National Nuclear Security Administration for fiscal year 2014, and for other purposes",Y000031,Not Voting,Table Appeal of the Ruling of the Chair,Passed,541,1,10:55:00,"{u'not_voting': 10, u'yes': 226, u'present': 0, u'no': 195}",https://api.propublica.org/congress/v1/113/house/sessions/1/votes/541.json,hjres76,F000372,https://api.propublica.org/congress/v1/113/bills/hjres76.json
