amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To provide for the establishment of a process for the review of rules and sets of rules, and for other purposes.', u'number': u'H R 998', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr998.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.', u'sponsor_id': u'S001195', u'bill_id': u'hr998-115'}",House,115,2017-02-28,Krishnamoorthi of Illinois Amendment No. 7,Z000018,Not Voting,On Agreeing to the Amendment,Failed,108,1,16:22:00,"{u'not_voting': 8, u'yes': 192, u'present': 0, u'no': 230}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/108.json,hr998,S001195,https://api.propublica.org/congress/v1/115/bills/hr998.json
{},"{u'title': u'To provide for the establishment of a process for the review of rules and sets of rules, and for other purposes.', u'number': u'H R 998', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr998.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.', u'sponsor_id': u'S001195', u'bill_id': u'hr998-115'}",House,115,2017-02-28,Krishnamoorthi of Illinois Amendment No. 6,Z000018,Not Voting,On Agreeing to the Amendment,Failed,107,1,16:18:00,"{u'not_voting': 7, u'yes': 189, u'present': 0, u'no': 234}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/107.json,hr998,S001195,https://api.propublica.org/congress/v1/115/bills/hr998.json
{},"{u'title': u'To provide for the establishment of a process for the review of rules and sets of rules, and for other purposes.', u'number': u'H R 998', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr998.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.', u'sponsor_id': u'S001195', u'bill_id': u'hr998-115'}",House,115,2017-02-28,Plaskett of Virgin Islands Amendment No. 4,Z000018,Not Voting,On Agreeing to the Amendment,Failed,106,1,16:14:00,"{u'not_voting': 6, u'yes': 181, u'present': 0, u'no': 243}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/106.json,hr998,S001195,https://api.propublica.org/congress/v1/115/bills/hr998.json
{},"{u'title': u'To provide for the establishment of a process for the review of rules and sets of rules, and for other purposes.', u'number': u'H R 998', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr998.json', u'latest_action': u'Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.', u'sponsor_id': u'S001195', u'bill_id': u'hr998-115'}",House,115,2017-02-28,DeSaulnier of California Amendment No. 2,Z000018,Not Voting,On Agreeing to the Amendment,Agreed to,105,1,16:11:00,"{u'not_voting': 7, u'yes': 348, u'present': 0, u'no': 75}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/105.json,hr998,S001195,https://api.propublica.org/congress/v1/115/bills/hr998.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 998) to provide for the establishment of a process for the review of rules and sets of rules, and for other purposes, and providing for consideration of the joint resolution (H.J. Res. 83) disapproving the rule submitted by the Department of Labor relating to &quot;Clarification of Employer&#39;s Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness&quot;.', u'number': u'H RES 150', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hres150.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'C001093', u'bill_id': u'hres150-115'}",House,115,2017-02-28,"Providing for consideration of the bill (H.R. 998) SCRUB Act, and providing for consideration of (H.J.Res. 83) disapproving the rule submitted by the Department of Labor relating to “Clarification of ...",Z000018,Not Voting,On Agreeing to the Resolution,Passed,104,1,14:18:00,"{u'not_voting': 17, u'yes': 225, u'present': 0, u'no': 188}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/104.json,hres150,C001093,https://api.propublica.org/congress/v1/115/bills/hres150.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 998) to provide for the establishment of a process for the review of rules and sets of rules, and for other purposes, and providing for consideration of the joint resolution (H.J. Res. 83) disapproving the rule submitted by the Department of Labor relating to &quot;Clarification of Employer&#39;s Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness&quot;.', u'number': u'H RES 150', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hres150.json', u'latest_action': u'Motion to reconsider laid on the table Agreed to without objection.', u'sponsor_id': u'C001093', u'bill_id': u'hres150-115'}",House,115,2017-02-28,"Providing for consideration of the bill (H.R. 998) SCRUB Act, and providing for consideration of (H.J.Res. 83) disapproving the rule submitted by the Department of Labor relating to “Clarification of ...",Z000018,Not Voting,On Ordering the Previous Question,Passed,103,1,14:11:00,"{u'not_voting': 15, u'yes': 224, u'present': 0, u'no': 191}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/103.json,hres150,C001093,https://api.propublica.org/congress/v1/115/bills/hres150.json
{},"{u'title': u'To facilitate the addition of park administration at the Coltsville National Historical Park, and for other purposes.', u'number': u'H R 863', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr863.json', u'latest_action': u'Placed on Senate Legislative Calendar under General Orders. Calendar No. 88.', u'sponsor_id': u'L000557', u'bill_id': u'hr863-115'}",House,115,2017-02-27,"To facilitate the addition of park administration at the Coltsville National Historical Park, and for other purposes",Z000018,Not Voting,On Motion to Suspend the Rules and Pass,Passed,102,1,19:34:00,"{u'not_voting': 19, u'yes': 369, u'present': 0, u'no': 42}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/102.json,hr863,L000557,https://api.propublica.org/congress/v1/115/bills/hr863.json
{},"{u'api_uri': None, u'title': None, u'number': u'MOTION', u'bill_id': u'motion-115', u'latest_action': None}",House,115,2017-02-27,,Z000018,Not Voting,Table Appeal of the Ruling of the Chair,Passed,101,1,19:27:00,"{u'not_voting': 14, u'yes': 229, u'present': 2, u'no': 185}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/101.json,motion,NA,NA
{},"{u'title': u'To amend the Omnibus Public Land Management Act of 2009 to modify provisions relating to certain land exchanges in the Mt. Hood Wilderness in the State of Oregon.', u'number': u'H R 699', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hr699.json', u'latest_action': u'Placed on Senate Legislative Calendar under General Orders. Calendar No. 72.', u'sponsor_id': u'W000791', u'bill_id': u'hr699-115'}",House,115,2017-02-27,Mount Hood Cooper Spur Land Exchange Clarification Act,Z000018,Not Voting,On Motion to Suspend the Rules and Pass,Passed,100,1,18:52:00,"{u'not_voting': 14, u'yes': 415, u'present': 0, u'no': 1}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/100.json,hr699,W000791,https://api.propublica.org/congress/v1/115/bills/hr699.json
{},"{u'title': u'Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.', u'number': u'H J RES 43', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres43.json', u'latest_action': u'Became Public Law No: 115-23.', u'sponsor_id': u'B001273', u'bill_id': u'hjres43-115'}",House,115,2017-02-16,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title ...",Z000018,Not Voting,On Passage,Passed,99,1,15:27:00,"{u'not_voting': 12, u'yes': 230, u'present': 0, u'no': 188}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/99.json,hjres43,B001273,https://api.propublica.org/congress/v1/115/bills/hjres43.json
{},"{u'title': u'Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to &quot;Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska&quot;.', u'number': u'H J RES 69', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres69.json', u'latest_action': u'Became Public Law No: 115-20.', u'sponsor_id': u'Y000033', u'bill_id': u'hjres69-115'}",House,115,2017-02-16,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to “Non-Subsistence Take of Wildlife, and ...",Z000018,Not Voting,On Passage,Passed,98,1,15:16:00,"{u'not_voting': 12, u'yes': 225, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/98.json,hjres69,Y000033,https://api.propublica.org/congress/v1/115/bills/hjres69.json
{},"{u'title': u'Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.', u'number': u'H J RES 42', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres42.json', u'latest_action': u'Became Public Law No: 115-17.', u'sponsor_id': u'B000755', u'bill_id': u'hjres42-115'}",House,115,2017-02-15,Disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants,Z000018,Not Voting,On Passage,Passed,97,1,17:10:00,"{u'not_voting': 6, u'yes': 236, u'present': 0, u'no': 189}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/97.json,hjres42,B000755,https://api.propublica.org/congress/v1/115/bills/hjres42.json
{},"{u'title': u'Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.', u'number': u'H J RES 66', u'bill_uri': u'https://api.propublica.org/congress/v1/115/bills/hjres66.json', u'latest_action': u'Became Public Law No: 115-35.', u'sponsor_id': u'W000798', u'bill_id': u'hjres66-115'}",House,115,2017-02-15,Disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,Z000018,Not Voting,On Passage,Passed,96,1,17:02:00,"{u'not_voting': 7, u'yes': 231, u'present': 0, u'no': 193}",https://api.propublica.org/congress/v1/115/house/sessions/1/votes/96.json,hjres66,W000798,https://api.propublica.org/congress/v1/115/bills/hjres66.json
