api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,ocd_id,office,party,phone,rss_url,seniority,short_title,state,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000014.json,False,,,,1938-06-26,1,,,,,Neil,1501,/m/0255rj,400001,15244,A000014,,False,Abercrombie,,,49,4.01,ocd-division/country:us/state:hi/cd:1,,D,,,16,Rep.,HI,Representative,1,1221,neilabercrombie,,92.58,,hawaiirep1,108
https://api.propublica.org/congress/v1/members/A000359.json,True,,,,1962-02-13,At-Large,,,,,An,7298,,400002,70601,A000359,,False,Acevedo-Vila,,,0,0.0,ocd-division/country:us/state:pr/cd:80,,D,,,4,R.C.,PR,Resident Commissioner,0,0,,,0.0,,,108
https://api.propublica.org/congress/v1/members/A000022.json,False,,,1002061,1942-11-19,5,,,,,Gary,3605,/m/03rhdq,400003,15080,A000022,,False,Ackerman,,L.,134,10.97,ocd-division/country:us/state:ny/cd:5,,D,,,22,Rep.,NY,Representative,2,1221,repgaryackerman,,94.57,,RepAckerman,108
https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,,RobertAderholt,,,Robert,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,,B.,46,3.77,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,8,Rep.,AL,Representative,0,1221,Robert_Aderholt,https://aderholt.house.gov/,94.13,441,RobertAderholt,108
https://api.propublica.org/congress/v1/members/A000358.json,False,,,87412,1947-07-05,2,,,,,Todd,2902,/m/025xzm,400005,20123,A000358,,False,Akin,,,43,3.52,ocd-division/country:us/state:mo/cd:2,,R,,,4,Rep.,MO,Representative,0,1221,reptoddakin,,92.95,,RepToddAkin,108
https://api.propublica.org/congress/v1/members/A000361.json,False,,,1004256,1946-12-05,5,,RepRodneyAlexander,,,Rodney,2205,/m/025jxc,400006,90327,A000361,,False,Alexander,,,18,1.47,ocd-division/country:us/state:la/cd:5,,D,,,2,Rep.,LA,Representative,0,1221,USRepAlexander,,79.22,,RepRodneyMAlexander,108
https://api.propublica.org/congress/v1/members/A000361.json,False,,,1004256,1946-12-05,5,,RepRodneyAlexander,,,Rodney,2205,/m/025jxc,400006,90327,A000361,,False,Alexander,,,0,0.0,ocd-division/country:us/state:la/cd:5,,R,,,2,Rep.,LA,Representative,0,0,USRepAlexander,,0.0,,RepRodneyMAlexander,108
https://api.propublica.org/congress/v1/members/A000357.json,False,,,,1945-04-16,1,,,,,Thomas,2301,,400007,29728,A000357,,False,Allen,,H.,22,1.8,ocd-division/country:us/state:me/cd:1,,D,,,8,Rep.,ME,Representative,0,1221,,,93.49,,,108
https://api.propublica.org/congress/v1/members/A000210.json,False,,,19670,1957-08-04,1,,,,,Robert,3401,,400008,29132,A000210,,False,Andrews,,E.,59,4.83,ocd-division/country:us/state:nj/cd:1,,D,,,16,Rep.,NJ,Representative,0,1221,RepAndrews,http://andrews.house.gov/,92.77,,,108
https://api.propublica.org/congress/v1/members/B001234.json,False,,,81682,1947-01-23,43,,,,,Joe,0643,/m/024xk0,400009,29942,B001234,,False,Baca,,,23,1.88,ocd-division/country:us/state:ca/cd:43,,D,,,6,Rep.,CA,Representative,0,1221,,,92.57,,,108
