api_uri,begin_date,district,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/L000043.json,2007-01-04,22,2009-01-03,Nicholas,L000043,Lampson,V.,,D,TX,Defeated in general election,110
https://api.propublica.org/congress/v1/members/G000210.json,2007-01-04,5,2007-09-05,Paul,G000210,Gillmor,E.,Died 9/5/2007,R,OH,Left Congress,110
https://api.propublica.org/congress/v1/members/N000159.json,2007-01-04,10,2007-02-13,Charles,N000159,Norwood,W.,Died 2/13/2007,R,GA,Left Congress,110
https://api.propublica.org/congress/v1/members/S001144.json,2007-01-04,4,2009-01-03,Christopher,S001144,Shays,H.,,R,CT,Defeated in general election,110
https://api.propublica.org/congress/v1/members/D000605.json,2007-01-04,2,2009-01-03,Thelma,D000605,Drake,D.,,R,VA,Defeated in general election,110
https://api.propublica.org/congress/v1/members/W000798.json,2007-01-04,7,2009-01-03,Tim,W000798,Walberg,,,R,MI,Defeated in general election,110
https://api.propublica.org/congress/v1/members/B000072.json,2007-01-04,6,2008-02-02,Richard,B000072,Baker,Hugh,"Resigned from the House on Feb. 2, 2008",R,LA,Left Congress,110
https://api.propublica.org/congress/v1/members/M000714.json,2007-01-04,37,2007-04-22,Juanita,M000714,Millender-McDonald,,Died 4/22/2007,D,CA,Left Congress,110
https://api.propublica.org/congress/v1/members/K000288.json,2007-01-04,9,2009-01-03,Joseph,K000288,Knollenberg,K.,,R,MI,Defeated in general election,110
https://api.propublica.org/congress/v1/members/R000569.json,2007-01-04,26,2009-01-03,Thomas,R000569,Reynolds,M.,,R,NY,Retiring,110
https://api.propublica.org/congress/v1/members/W000273.json,2007-01-04,11,2009-01-03,Gerald,W000273,Weller,C.,,R,IL,Retiring,110
https://api.propublica.org/congress/v1/members/F000447.json,2007-01-04,24,2009-01-03,Tom,F000447,Feeney,C.,,R,FL,Defeated in general election,110
https://api.propublica.org/congress/v1/members/D000136.json,2007-01-04,11,2008-11-24,Thomas,D000136,Davis,M.,,R,VA,Retiring,110
https://api.propublica.org/congress/v1/members/G000280.json,2007-01-03,5,2009-01-03,Virgil,G000280,Goode,H.,,R,VA,Retiring,110
https://api.propublica.org/congress/v1/members/B001258.json,2007-01-04,2,2009-01-03,Nancy,B001258,Boyda,E.,,D,KS,Defeated in general election,110
https://api.propublica.org/congress/v1/members/L000090.json,2007-01-04,12,2008-02-11,Tom,L000090,Lantos,,"Died on Feb. 11, 2008",D,CA,Left Congress,110
https://api.propublica.org/congress/v1/members/H000323.json,2007-01-04,14,2007-11-26,J. Dennis,H000323,Hastert,,Resigned from the House effective 11/26/2007,R,IL,Left Congress,110
https://api.propublica.org/congress/v1/members/P000263.json,2007-01-04,5,2009-01-03,John,P000263,Peterson,E.,,R,PA,Retiring,110
https://api.propublica.org/congress/v1/members/S001167.json,2007-01-04,1,2009-01-03,Bill,S001167,Sali,,,R,ID,Defeated in general election,110
