api_uri,begin_date,end_date,first_name,id,last_name,middle_name,note,party,state,status,session
https://api.propublica.org/congress/v1/members/C000877.json,1991-01-03,1993-01-03,Alan,C000877,Cranston,,,D,CA,Retiring,102
https://api.propublica.org/congress/v1/members/F000329.json,1991-01-03,1993-01-03,Wyche,F000329,Fowler,,,D,GA,Defeated in general election,102
https://api.propublica.org/congress/v1/members/D000366.json,1991-01-03,1993-01-03,Alan,D000366,Dixon,John,,D,IL,Defeated in primary election,102
https://api.propublica.org/congress/v1/members/S000269.json,1991-01-07,1992-11-10,John,S000269,Seymour,,replaced Pete Wilson,R,CA,Defeated in general election,102
https://api.propublica.org/congress/v1/members/S000055.json,1991-01-03,1993-01-03,James,S000055,Sanford,Terry,,D,NC,Defeated in general election,102
https://api.propublica.org/congress/v1/members/G000321.json,1991-01-03,1993-01-03,Albert,G000321,Gore,Arnold,,D,TN,Elected to federal post,102
https://api.propublica.org/congress/v1/members/H000456.json,1991-01-03,1993-01-03,Henry,H000456,Heinz,John,,R,PA,Left Congress,102
https://api.propublica.org/congress/v1/members/B001077.json,1991-01-03,1993-01-03,Quentin,B001077,Burdick,Northrup,,D,ND,Left Congress,102
https://api.propublica.org/congress/v1/members/W000647.json,1991-01-03,1993-01-03,Timothy,W000647,Wirth,E.,,D,CO,Retiring,102
https://api.propublica.org/congress/v1/members/A000031.json,1991-01-03,1993-01-03,Brockman,A000031,Adams,,,D,WA,Retiring,102
https://api.propublica.org/congress/v1/members/S001138.json,1991-01-03,1993-01-03,Steven,S001138,Symms,Douglas,,R,ID,Retiring,102
https://api.propublica.org/congress/v1/members/B001076.json,1991-01-03,1993-01-03,Jocelyn,B001076,Burdick,Birch,,D,ND,Retiring,102
https://api.propublica.org/congress/v1/members/G000072.json,1991-01-03,1993-01-03,Edwin,G000072,Garn,Jacob,,R,UT,Retiring,102
https://api.propublica.org/congress/v1/members/W000607.json,1991-01-03,1991-01-07,Pete,W000607,Wilson,,elected governor,R,CA,Left Congress,102
https://api.propublica.org/congress/v1/members/K000019.json,1991-01-03,1993-01-03,Robert,K000019,Kasten,Walter,,R,WI,Defeated in general election,102
https://api.propublica.org/congress/v1/members/R000497.json,1991-01-03,1993-01-03,Warren,R000497,Rudman,Bruce,,R,NH,Retiring,102
