api_uri,contact_form,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,lis_id,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account,session
https://api.propublica.org/congress/v1/members/A000355.json,,,,1952-06-12,,,,,Spencer,,400555,49500,A000355,,False,Abraham,,S238,,0,0.0,2000,ocd-division/country:us/state:mi,,R,,,1,1,Sen.,MI,,"Senator, 1st Class",0,916,,,92.58,,,104
https://api.propublica.org/congress/v1/members/A000069.json,,,8704,1924-09-11,,,,,Daniel,/m/01rbrq,300001,14400,A000069,,False,Akaka,,S213,K.,12,1.31,2000,ocd-division/country:us/state:hi,,D,,,1,5,Sen.,HI,,"Senator, 1st Class",0,916,SenatorAkaka,,92.26,,senatorakaka,104
https://api.propublica.org/congress/v1/members/A000356.json,,,,1942-05-09,,,,,John,,400556,49501,A000356,,False,Ashcroft,,S239,,14,1.53,2000,ocd-division/country:us/state:mo,,R,,,1,1,Sen.,MO,,"Senator, 1st Class",0,916,,,92.79,,,104
https://api.propublica.org/congress/v1/members/B000243.json,,,1727,1941-12-11,,,,,Max,/m/01rcm2,300005,14203,B000243,,False,Baucus,,S127,,7,0.76,1996,ocd-division/country:us/state:mt,,D,,,2,17,Sen.,MT,,"Senator, 2nd Class",0,916,,http://www.baucus.senate.gov,74.92,,SenatorBaucus,104
https://api.propublica.org/congress/v1/members/B000382.json,,,25708,1933-09-18,,,,,Robert,/m/01xtg9,300007,49307,B000382,,False,Bennett,,S231,F.,29,3.17,1998,ocd-division/country:us/state:ut,,R,,,3,3,Sen.,UT,,"Senator, 3rd Class",0,916,,,93.8,,SenatorBennett,104
https://api.propublica.org/congress/v1/members/B000444.json,,,34,1942-11-20,,,,,Joseph,,300008,14101,B000444,,False,Biden Jr.,,S010,R.,25,2.73,1996,ocd-division/country:us/state:de,,D,,,2,23,Sen.,DE,,"Senator, 2nd Class",0,916,,,84.06,,,104
https://api.propublica.org/congress/v1/members/B000468.json,,,590,1943-10-03,,,,,Jeff,/m/01xck2,300009,15101,B000468,,False,Bingaman,,S167,,8,0.87,2000,ocd-division/country:us/state:nm,,D,,,1,13,Sen.,NM,,"Senator, 1st Class",0,916,jeffbingaman,,84.36,,SenJeffBingaman,104
https://api.propublica.org/congress/v1/members/B000611.json,,,2360,1939-03-06,,,,,Christopher,/m/01_6h2,300010,15500,B000611,,False,Bond,,S200,S.,24,2.62,1998,ocd-division/country:us/state:mo,,R,,,3,9,Sen.,MO,,"Senator, 3rd Class",17,916,,,91.48,,CSBondMO,104
https://api.propublica.org/congress/v1/members/B000711.json,,,2470,1940-11-11,,senatorboxer,,,Barbara,/m/01c1n5,300011,15011,B000711,,False,Boxer,,S223,,16,1.75,1998,ocd-division/country:us/state:ca,,D,,https://www.boxer.senate.gov/rss/?p=release,3,3,Sen.,CA,,"Senator, 3rd Class",2,916,SenatorBoxer,https://www.boxer.senate.gov,89.44,,SenatorBoxer,104
https://api.propublica.org/congress/v1/members/B001225.json,,,,1943-07-28,,,,,William,,401709,14702,B001225,,False,Bradley,,S132,Warren,80,8.73,1996,ocd-division/country:us/state:nj,,D,,,2,17,Sen.,NJ,,"Senator, 2nd Class",1,916,,,85.89,,,104
https://api.propublica.org/congress/v1/members/B000780.json,,,,1944-03-01,,,,,John,,300012,13056,B000780,,False,Breaux,,S179,B.,8,0.87,1998,ocd-division/country:us/state:la,,D,,,3,9,Sen.,LA,,"Senator, 3rd Class",0,916,,,77.97,,,104
https://api.propublica.org/congress/v1/members/B000919.json,,,,1940-02-12,,,,,Hank,,401874,14803,B000919,,False,Brown,,S214,,0,0.0,1996,ocd-division/country:us/state:co,,R,,,2,5,Sen.,CO,,"Senator, 2nd Class",0,916,,,86.03,,,104
https://api.propublica.org/congress/v1/members/B000953.json,,,,1956-09-12,,,,,Sam,/m/0202ny,300013,29523,B000953,,False,Brownback,,S249,,0,0.0,1998,ocd-division/country:us/state:ks,,R,,,3,1,Sen.,KS,,"Senator, 3rd Class",0,0,SenSamBrownback,,0.0,,SenatorSamBrownback,104
https://api.propublica.org/congress/v1/members/B000993.json,,,,1937-07-16,,,,,Richard,,400557,15701,B000993,,False,Bryan,,S206,H.,2,0.22,2000,ocd-division/country:us/state:nv,,D,,,1,7,Sen.,NV,,"Senator, 1st Class",0,916,,,82.06,,,104
https://api.propublica.org/congress/v1/members/B001057.json,,,,1925-08-12,,,,,Dale,,402004,14300,B001057,,False,Bumpers,,S014,,39,4.26,1998,ocd-division/country:us/state:ar,,D,,,3,21,Sen.,AR,,"Senator, 3rd Class",0,916,,,89.85,,,104
https://api.propublica.org/congress/v1/members/B001126.json,,,,1935-01-25,,,,,Conrad,,300015,15702,B001126,,False,Burns,,S211,,2,0.22,2000,ocd-division/country:us/state:mt,,R,,,1,7,Sen.,MT,,"Senator, 1st Class",0,916,,,94.2,,,104
https://api.propublica.org/congress/v1/members/B001210.json,,,,1917-11-20,,,,,Robert,/m/06bss,300016,1366,B001210,,False,Byrd,,S017,C.,0,0.0,2000,ocd-division/country:us/state:wv,,D,,,1,37,Sen.,WV,,"Senator, 1st Class",0,916,,,81.33,,,104
https://api.propublica.org/congress/v1/members/C000077.json,,,,1933-04-13,,,,,Ben,,300017,15406,C000077,,False,Campbell,,S225,Nighthorse,34,4.15,1998,ocd-division/country:us/state:co,,R,,,3,3,Sen.,CO,,"Senator, 3rd Class",0,819,,,84.2,,,104
https://api.propublica.org/congress/v1/members/C000077.json,,,,1933-04-13,,,,,Ben,,300017,15406,C000077,,False,Campbell,,S225,Nighthorse,2,2.06,1998,ocd-division/country:us/state:co,,D,,,3,3,Sen.,CO,,"Senator, 3rd Class",0,97,,,58.95,,,104
https://api.propublica.org/congress/v1/members/C000269.json,,,,1922-10-22,,,,,John,,402412,14500,C000269,,False,Chafee,,S116,H.,6,0.66,2000,ocd-division/country:us/state:ri,,R,,,1,19,Sen.,RI,,"Senator, 1st Class",0,916,,,77.47,,,104
